Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,590.0,630.0,580.0,600.0,287200
2026-03-02 00:00:00+07:00,585.0,600.0,565.0,595.0,345200
2026-03-03 00:00:00+07:00,595.0,600.0,565.0,580.0,200300
2026-03-04 00:00:00+07:00,580.0,600.0,550.0,555.0,266200
2026-03-05 00:00:00+07:00,565.0,605.0,555.0,565.0,61200
2026-03-06 00:00:00+07:00,565.0,575.0,505.0,560.0,185100
2026-03-09 00:00:00+07:00,560.0,560.0,505.0,520.0,238700
2026-03-10 00:00:00+07:00,520.0,590.0,520.0,540.0,207700
2026-03-11 00:00:00+07:00,580.0,580.0,515.0,545.0,48100
2026-03-12 00:00:00+07:00,545.0,580.0,530.0,530.0,101400
2026-03-13 00:00:00+07:00,530.0,530.0,490.0,500.0,295700
2026-03-16 00:00:00+07:00,500.0,515.0,490.0,492.0,200200
2026-03-17 00:00:00+07:00,500.0,545.0,496.0,540.0,136100
2026-03-25 00:00:00+07:00,540.0,570.0,505.0,555.0,335900
2026-03-26 00:00:00+07:00,555.0,570.0,525.0,545.0,103100
2026-03-27 00:00:00+07:00,535.0,600.0,530.0,560.0,604300
2026-03-30 00:00:00+07:00,550.0,585.0,492.0,505.0,865900
2026-03-31 00:00:00+07:00,510.0,535.0,496.0,500.0,120400
2026-04-01 00:00:00+07:00,500.0,530.0,500.0,510.0,87000
2026-04-02 00:00:00+07:00,510.0,530.0,500.0,525.0,102700
2026-04-06 00:00:00+07:00,520.0,550.0,496.0,505.0,161100
2026-04-07 00:00:00+07:00,505.0,520.0,500.0,515.0,52600
2026-04-08 00:00:00+07:00,515.0,525.0,510.0,525.0,127400
2026-04-09 00:00:00+07:00,530.0,530.0,515.0,530.0,30300
2026-04-10 00:00:00+07:00,520.0,570.0,520.0,540.0,122400
2026-04-13 00:00:00+07:00,540.0,550.0,520.0,530.0,92000
2026-04-14 00:00:00+07:00,530.0,540.0,530.0,530.0,78800
2026-04-15 00:00:00+07:00,535.0,550.0,530.0,550.0,125700
2026-04-16 00:00:00+07:00,560.0,585.0,550.0,570.0,304200
2026-04-17 00:00:00+07:00,570.0,570.0,555.0,560.0,46100
2026-04-20 00:00:00+07:00,570.0,570.0,505.0,540.0,224600
2026-04-21 00:00:00+07:00,540.0,550.0,520.0,550.0,110200
2026-04-22 00:00:00+07:00,550.0,550.0,525.0,545.0,69000
2026-04-23 00:00:00+07:00,550.0,555.0,530.0,540.0,65100
2026-04-24 00:00:00+07:00,540.0,540.0,510.0,525.0,193800
2026-04-27 00:00:00+07:00,530.0,535.0,505.0,520.0,196500
2026-04-28 00:00:00+07:00,510.0,525.0,505.0,525.0,83500
2026-04-29 00:00:00+07:00,535.0,555.0,520.0,545.0,209400
2026-04-30 00:00:00+07:00,555.0,555.0,520.0,545.0,35600
2026-05-04 00:00:00+07:00,545.0,555.0,530.0,545.0,43100
2026-05-05 00:00:00+07:00,545.0,545.0,520.0,520.0,58900
2026-05-06 00:00:00+07:00,555.0,560.0,515.0,550.0,193900
2026-05-07 00:00:00+07:00,550.0,550.0,520.0,535.0,197500
2026-05-08 00:00:00+07:00,540.0,540.0,500.0,505.0,170200
2026-05-11 00:00:00+07:00,510.0,530.0,505.0,525.0,197400
2026-05-12 00:00:00+07:00,530.0,590.0,505.0,530.0,285200
2026-05-13 00:00:00+07:00,535.0,535.0,510.0,525.0,103200
2026-05-14 00:00:00+07:00,525.0,525.0,525.0,525.0,0
2026-05-15 00:00:00+07:00,525.0,525.0,525.0,525.0,0
2026-05-18 00:00:00+07:00,515.0,515.0,492.0,500.0,294000
2026-05-19 00:00:00+07:00,500.0,510.0,494.0,498.0,61900
2026-05-20 00:00:00+07:00,498.0,498.0,490.0,494.0,110800
2026-05-21 00:00:00+07:00,494.0,494.0,452.0,480.0,335800
2026-05-22 00:00:00+07:00,476.0,490.0,450.0,488.0,101400
2026-05-25 00:00:00+07:00,488.0,505.0,454.0,505.0,33100
2026-05-26 00:00:00+07:00,505.0,505.0,484.0,500.0,24100
2026-05-27 00:00:00+07:00,500.0,500.0,500.0,500.0,0
2026-05-28 00:00:00+07:00,500.0,500.0,500.0,500.0,0
2026-05-29 00:00:00+07:00,500.0,500.0,474.0,498.0,21200
2026-06-02 00:00:00+07:00,498.0,500.0,474.0,498.0,45200
2026-06-03 00:00:00+07:00,498.0,515.0,470.0,470.0,196800
2026-06-04 00:00:00+07:00,468.0,500.0,452.0,496.0,110700
2026-06-05 00:00:00+07:00,498.0,498.0,470.0,494.0,11600
2026-06-08 00:00:00+07:00,494.0,494.0,446.0,466.0,57200
2026-06-09 00:00:00+07:00,448.0,480.0,448.0,478.0,78100
2026-06-10 00:00:00+07:00,478.0,498.0,472.0,484.0,55800
2026-06-11 00:00:00+07:00,488.0,488.0,472.0,478.0,137900
2026-06-12 00:00:00+07:00,476.0,486.0,474.0,474.0,26800
2026-06-15 00:00:00+07:00,484.0,486.0,472.0,484.0,80000
2026-06-17 00:00:00+07:00,480.0,482.0,464.0,466.0,39400
2026-06-18 00:00:00+07:00,466.0,480.0,458.0,472.0,45100
2026-06-19 00:00:00+07:00,474.0,484.0,470.0,480.0,31100
2026-06-22 00:00:00+07:00,482.0,482.0,454.0,476.0,65600
2026-06-23 00:00:00+07:00,476.0,482.0,464.0,482.0,50500
2026-06-24 00:00:00+07:00,480.0,482.0,460.0,460.0,48300
2026-06-25 00:00:00+07:00,462.0,464.0,448.0,460.0,93700
2026-06-26 00:00:00+07:00,468.0,484.0,444.0,480.0,49900
2026-06-29 00:00:00+07:00,480.0,482.0,460.0,478.0,53400
2026-06-30 00:00:00+07:00,478.0,478.0,458.0,470.0,62600
2026-07-01 00:00:00+07:00,460.0,470.0,452.0,470.0,86500
2026-07-02 00:00:00+07:00,466.0,585.0,462.0,488.0,3233600
2026-07-03 00:00:00+07:00,488.0,510.0,488.0,492.0,709400
2026-07-06 00:00:00+07:00,494.0,496.0,466.0,480.0,279200
2026-07-07 00:00:00+07:00,484.0,490.0,474.0,486.0,213500
2026-07-08 00:00:00+07:00,486.0,486.0,460.0,468.0,160400
2026-07-09 00:00:00+07:00,462.0,468.0,456.0,462.0,109100
2026-07-10 00:00:00+07:00,468.0,470.0,458.0,460.0,48600
2026-07-13 00:00:00+07:00,462.0,480.0,456.0,472.0,137600
2026-07-14 00:00:00+07:00,472.0,472.0,456.0,464.0,337600
2026-07-15 00:00:00+07:00,468.0,492.0,468.0,474.0,109300
2026-07-16 00:00:00+07:00,474.0,498.0,470.0,480.0,123200
2026-07-17 00:00:00+07:00,492.0,496.0,472.0,488.0,87000
2026-07-20 00:00:00+07:00,488.0,540.0,468.0,478.0,1307800
2026-07-21 00:00:00+07:00,478.0,484.0,466.0,474.0,245900
2026-07-22 00:00:00+07:00,474.0,484.0,460.0,476.0,95200
2026-07-23 00:00:00+07:00,480.0,484.0,470.0,478.0,188700
2026-07-24 00:00:00+07:00,476.0,492.0,462.0,488.0,95000
2026-07-27 00:00:00+07:00,488.0,515.0,476.0,476.0,82000
2026-07-28 00:00:00+07:00,476.0,486.0,468.0,474.0,87300
2026-07-29 00:00:00+07:00,478.0,500.0,468.0,480.0,172700
2026-07-30 00:00:00+07:00,476.0,494.0,470.0,474.0,105100
2026-07-31 00:00:00+07:00,480.0,482.0,454.0,478.0,380600
2026-08-03 00:00:00+07:00,478.0,480.0,450.0,460.0,120700
2026-08-04 00:00:00+07:00,462.0,480.0,460.0,460.0,158400
2026-08-05 00:00:00+07:00,468.0,470.0,460.0,470.0,150300
2026-08-06 00:00:00+07:00,470.0,474.0,460.0,460.0,76400
2026-08-07 00:00:00+07:00,468.0,472.0,458.0,470.0,108000
2026-08-10 00:00:00+07:00,470.0,474.0,468.0,474.0,83300
2026-08-11 00:00:00+07:00,472.0,472.0,454.0,454.0,109300
2026-08-12 00:00:00+07:00,460.0,468.0,458.0,460.0,38000
2026-08-13 00:00:00+07:00,460.0,462.0,454.0,456.0,33600
2026-08-14 00:00:00+07:00,452.0,462.0,450.0,462.0,69900
2026-08-18 00:00:00+07:00,462.0,470.0,456.0,464.0,89500
2026-08-19 00:00:00+07:00,464.0,464.0,462.0,464.0,95600
2026-08-20 00:00:00+07:00,460.0,466.0,460.0,464.0,35500
2026-08-21 00:00:00+07:00,464.0,472.0,462.0,472.0,125200
2026-08-24 00:00:00+07:00,472.0,472.0,456.0,470.0,133700
2026-08-26 00:00:00+07:00,470.0,470.0,458.0,468.0,47700
2026-08-27 00:00:00+07:00,470.0,470.0,462.0,466.0,26800
2026-08-28 00:00:00+07:00,462.0,468.0,460.0,468.0,130100
2026-08-31 00:00:00+07:00,468.0,468.0,460.0,462.0,54400
2026-09-01 00:00:00+07:00,468.0,470.0,460.0,470.0,50700
2026-09-02 00:00:00+07:00,470.0,470.0,464.0,466.0,34900
2026-09-03 00:00:00+07:00,470.0,470.0,462.0,466.0,35600
2026-09-04 00:00:00+07:00,472.0,472.0,460.0,460.0,52700
2026-09-07 00:00:00+07:00,462.0,470.0,460.0,470.0,56200
2026-09-08 00:00:00+07:00,470.0,470.0,462.0,466.0,44600
2026-09-09 00:00:00+07:00,466.0,468.0,462.0,468.0,42800
2026-09-10 00:00:00+07:00,468.0,468.0,460.0,466.0,186600
2026-09-11 00:00:00+07:00,466.0,466.0,460.0,466.0,60100
2026-09-14 00:00:00+07:00,460.0,466.0,460.0,464.0,19500
2026-09-15 00:00:00+07:00,462.0,462.0,454.0,456.0,186200
2026-09-16 00:00:00+07:00,456.0,462.0,456.0,462.0,81800
2026-09-17 00:00:00+07:00,458.0,460.0,454.0,458.0,28700
2026-09-18 00:00:00+07:00,458.0,458.0,444.0,450.0,58400
2026-09-21 00:00:00+07:00,448.0,448.0,442.0,442.0,99200
2026-09-22 00:00:00+07:00,464.0,464.0,442.0,442.0,270000
2026-09-23 00:00:00+07:00,444.0,448.0,432.0,448.0,66000
2026-09-24 00:00:00+07:00,450.0,450.0,436.0,444.0,75900
2026-09-25 00:00:00+07:00,438.0,454.0,436.0,436.0,153400
