Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,304.0,304.0,284.0,284.0,2396100
2026-02-27 00:00:00+07:00,288.0,288.0,250.0,270.0,9643700
2026-03-02 00:00:00+07:00,246.0,264.0,242.0,248.0,3296700
2026-03-03 00:00:00+07:00,240.0,258.0,240.0,254.0,1108400
2026-03-04 00:00:00+07:00,260.0,260.0,222.0,234.0,3768300
2026-03-05 00:00:00+07:00,240.0,254.0,228.0,242.0,1054300
2026-03-06 00:00:00+07:00,242.0,242.0,224.0,228.0,1326600
2026-03-09 00:00:00+07:00,228.0,228.0,194.0,200.0,2637200
2026-03-10 00:00:00+07:00,214.0,248.0,206.0,228.0,4242400
2026-03-11 00:00:00+07:00,224.0,234.0,220.0,222.0,811000
2026-03-12 00:00:00+07:00,222.0,230.0,212.0,214.0,683300
2026-03-13 00:00:00+07:00,208.0,220.0,202.0,206.0,830900
2026-03-16 00:00:00+07:00,206.0,214.0,195.0,204.0,1571100
2026-03-17 00:00:00+07:00,202.0,232.0,200.0,210.0,714600
2026-03-25 00:00:00+07:00,208.0,230.0,204.0,218.0,638300
2026-03-26 00:00:00+07:00,224.0,224.0,206.0,210.0,557300
2026-03-27 00:00:00+07:00,204.0,208.0,200.0,204.0,757700
2026-03-30 00:00:00+07:00,200.0,204.0,195.0,204.0,370800
2026-03-31 00:00:00+07:00,206.0,212.0,200.0,202.0,453800
2026-04-01 00:00:00+07:00,210.0,210.0,196.0,200.0,702400
2026-04-02 00:00:00+07:00,204.0,206.0,187.0,194.0,1220100
2026-04-06 00:00:00+07:00,187.0,190.0,182.0,185.0,2078000
2026-04-07 00:00:00+07:00,185.0,200.0,184.0,184.0,1344200
2026-04-08 00:00:00+07:00,185.0,198.0,184.0,188.0,1193100
2026-04-09 00:00:00+07:00,190.0,190.0,183.0,184.0,1057900
2026-04-10 00:00:00+07:00,184.0,197.0,182.0,189.0,2118700
2026-04-13 00:00:00+07:00,191.0,200.0,187.0,197.0,952700
2026-04-14 00:00:00+07:00,197.0,230.0,197.0,212.0,4801200
2026-04-15 00:00:00+07:00,212.0,218.0,202.0,210.0,2291500
2026-04-16 00:00:00+07:00,210.0,214.0,208.0,208.0,599700
2026-04-17 00:00:00+07:00,208.0,210.0,204.0,210.0,660800
2026-04-20 00:00:00+07:00,210.0,262.0,210.0,262.0,11303900
2026-04-21 00:00:00+07:00,326.0,326.0,302.0,326.0,36872300
2026-04-22 00:00:00+07:00,406.0,406.0,350.0,406.0,59175100
2026-04-23 00:00:00+07:00,406.0,450.0,346.0,386.0,118053200
2026-04-24 00:00:00+07:00,372.0,398.0,330.0,330.0,35620800
2026-04-27 00:00:00+07:00,340.0,340.0,282.0,282.0,23348000
2026-04-28 00:00:00+07:00,300.0,334.0,288.0,298.0,23840100
2026-04-29 00:00:00+07:00,300.0,302.0,270.0,276.0,6085200
