Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,85.0,86.0,78.0,80.0,13116200
2026-02-27 00:00:00+07:00,79.0,80.0,76.0,80.0,6371900
2026-03-02 00:00:00+07:00,75.0,78.0,72.0,74.0,9393600
2026-03-03 00:00:00+07:00,75.0,76.0,72.0,75.0,2608800
2026-03-04 00:00:00+07:00,74.0,74.0,69.0,70.0,5778400
2026-03-05 00:00:00+07:00,76.0,76.0,71.0,73.0,2100500
2026-03-06 00:00:00+07:00,71.0,73.0,71.0,72.0,4712300
2026-03-09 00:00:00+07:00,72.0,72.0,65.0,72.0,8051400
2026-03-10 00:00:00+07:00,75.0,76.0,69.0,74.0,12269600
2026-03-11 00:00:00+07:00,76.0,77.0,73.0,76.0,6726200
2026-03-12 00:00:00+07:00,76.0,77.0,73.0,75.0,3140100
2026-03-13 00:00:00+07:00,75.0,76.0,67.0,67.0,2538300
2026-03-16 00:00:00+07:00,68.0,70.0,66.0,68.0,2733000
2026-03-17 00:00:00+07:00,69.0,70.0,67.0,68.0,870600
2026-03-25 00:00:00+07:00,68.0,72.0,68.0,70.0,5104200
2026-03-26 00:00:00+07:00,69.0,72.0,68.0,70.0,3039700
2026-03-27 00:00:00+07:00,70.0,72.0,68.0,68.0,1703900
2026-03-30 00:00:00+07:00,69.0,70.0,66.0,68.0,3345000
2026-03-31 00:00:00+07:00,69.0,72.0,67.0,70.0,2980800
2026-04-01 00:00:00+07:00,70.0,71.0,68.0,68.0,3950700
2026-04-02 00:00:00+07:00,69.0,69.0,65.0,67.0,4388400
2026-04-06 00:00:00+07:00,66.0,69.0,66.0,67.0,3596300
2026-04-07 00:00:00+07:00,67.0,69.0,65.0,68.0,4767300
2026-04-08 00:00:00+07:00,68.0,72.0,68.0,71.0,6098500
2026-04-09 00:00:00+07:00,71.0,72.0,69.0,70.0,2547300
2026-04-10 00:00:00+07:00,71.0,72.0,69.0,69.0,7926300
2026-04-13 00:00:00+07:00,69.0,72.0,68.0,70.0,6176800
2026-04-14 00:00:00+07:00,71.0,71.0,68.0,69.0,13971400
2026-04-15 00:00:00+07:00,70.0,74.0,69.0,70.0,31872400
2026-04-16 00:00:00+07:00,71.0,75.0,70.0,71.0,27965900
2026-04-17 00:00:00+07:00,73.0,89.0,73.0,77.0,158948000
2026-04-20 00:00:00+07:00,78.0,79.0,73.0,74.0,24267100
2026-04-21 00:00:00+07:00,74.0,80.0,71.0,78.0,73242500
2026-04-22 00:00:00+07:00,78.0,80.0,75.0,75.0,63193500
2026-04-23 00:00:00+07:00,75.0,77.0,72.0,73.0,15716600
2026-04-24 00:00:00+07:00,73.0,75.0,67.0,69.0,22861400
2026-04-27 00:00:00+07:00,69.0,71.0,67.0,69.0,9796900
2026-04-28 00:00:00+07:00,69.0,71.0,67.0,68.0,23891100
2026-04-29 00:00:00+07:00,68.0,72.0,67.0,68.0,22648400
2026-04-30 00:00:00+07:00,69.0,70.0,66.0,66.0,11336400
2026-05-04 00:00:00+07:00,80.0,89.0,76.0,89.0,656110300
2026-05-05 00:00:00+07:00,100.0,105.0,79.0,85.0,1154265800
2026-05-06 00:00:00+07:00,85.0,86.0,78.0,81.0,116933400
2026-05-07 00:00:00+07:00,82.0,88.0,80.0,81.0,135751100
2026-05-08 00:00:00+07:00,81.0,85.0,76.0,76.0,69701400
2026-05-11 00:00:00+07:00,77.0,79.0,73.0,76.0,30448500
2026-05-12 00:00:00+07:00,76.0,83.0,74.0,76.0,77222400
2026-05-13 00:00:00+07:00,77.0,79.0,74.0,74.0,28024400
2026-05-14 00:00:00+07:00,74.0,74.0,74.0,74.0,0
2026-05-15 00:00:00+07:00,74.0,74.0,74.0,74.0,0
2026-05-18 00:00:00+07:00,74.0,75.0,69.0,72.0,24511200
2026-05-19 00:00:00+07:00,73.0,75.0,67.0,69.0,29575900
2026-05-20 00:00:00+07:00,70.0,71.0,66.0,68.0,18131600
2026-05-21 00:00:00+07:00,68.0,69.0,62.0,62.0,20911200
2026-05-22 00:00:00+07:00,62.0,64.0,57.0,63.0,13868800
2026-05-25 00:00:00+07:00,63.0,66.0,62.0,63.0,32843200
2026-05-26 00:00:00+07:00,64.0,64.0,61.0,62.0,7366400
