Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,408.0,410.0,400.0,404.0,867800
2026-02-27 00:00:00+07:00,398.0,404.0,396.0,402.0,422400
2026-03-02 00:00:00+07:00,394.0,400.0,382.0,390.0,3509500
2026-03-03 00:00:00+07:00,390.0,394.0,386.0,390.0,542500
2026-03-04 00:00:00+07:00,390.0,394.0,370.0,374.0,2852400
2026-03-05 00:00:00+07:00,374.0,390.0,372.0,382.0,1099500
2026-03-06 00:00:00+07:00,380.0,388.0,376.0,388.0,514900
2026-03-09 00:00:00+07:00,386.0,386.0,370.0,372.0,1167800
2026-03-10 00:00:00+07:00,372.0,384.0,368.0,384.0,1096200
2026-03-11 00:00:00+07:00,386.0,388.0,372.0,374.0,84700
2026-03-12 00:00:00+07:00,374.0,374.0,368.0,372.0,287600
2026-03-13 00:00:00+07:00,370.0,378.0,362.0,368.0,526100
2026-03-16 00:00:00+07:00,368.0,368.0,354.0,360.0,674100
2026-03-17 00:00:00+07:00,360.0,372.0,360.0,370.0,1913600
2026-03-25 00:00:00+07:00,370.0,390.0,370.0,380.0,940300
2026-03-26 00:00:00+07:00,382.0,390.0,376.0,382.0,1063400
2026-03-27 00:00:00+07:00,384.0,384.0,376.0,380.0,282200
2026-03-30 00:00:00+07:00,380.0,380.0,370.0,380.0,228000
2026-03-31 00:00:00+07:00,382.0,386.0,374.0,380.0,286300
2026-04-01 00:00:00+07:00,380.0,382.0,374.0,380.0,581500
2026-04-02 00:00:00+07:00,380.0,390.0,372.0,384.0,464600
2026-04-06 00:00:00+07:00,384.0,384.0,370.0,380.0,181500
2026-04-07 00:00:00+07:00,380.0,380.0,370.0,376.0,256500
2026-04-08 00:00:00+07:00,376.0,412.0,376.0,394.0,2865000
2026-04-09 00:00:00+07:00,402.0,408.0,396.0,406.0,1130400
2026-04-10 00:00:00+07:00,414.0,414.0,392.0,396.0,577400
2026-04-13 00:00:00+07:00,396.0,402.0,390.0,398.0,163800
2026-04-14 00:00:00+07:00,398.0,400.0,392.0,400.0,411000
2026-04-15 00:00:00+07:00,402.0,402.0,396.0,396.0,354700
2026-04-16 00:00:00+07:00,398.0,402.0,396.0,398.0,159000
2026-04-17 00:00:00+07:00,394.0,404.0,394.0,398.0,623800
2026-04-20 00:00:00+07:00,398.0,402.0,394.0,400.0,1083100
2026-04-21 00:00:00+07:00,402.0,406.0,394.0,402.0,766300
2026-04-22 00:00:00+07:00,402.0,402.0,396.0,400.0,636300
2026-04-23 00:00:00+07:00,400.0,400.0,394.0,398.0,391200
2026-04-24 00:00:00+07:00,396.0,398.0,384.0,388.0,761100
2026-04-27 00:00:00+07:00,396.0,402.0,388.0,400.0,3594200
2026-04-28 00:00:00+07:00,398.0,398.0,390.0,392.0,631200
2026-04-29 00:00:00+07:00,396.0,398.0,390.0,398.0,184400
2026-04-30 00:00:00+07:00,396.0,398.0,390.0,394.0,645400
2026-05-04 00:00:00+07:00,394.0,402.0,390.0,398.0,1251900
2026-05-05 00:00:00+07:00,398.0,402.0,394.0,400.0,960400
2026-05-06 00:00:00+07:00,400.0,404.0,398.0,400.0,1576700
2026-05-07 00:00:00+07:00,400.0,400.0,394.0,398.0,479100
2026-05-08 00:00:00+07:00,398.0,402.0,394.0,394.0,633600
2026-05-11 00:00:00+07:00,396.0,402.0,372.0,396.0,2330700
2026-05-12 00:00:00+07:00,396.0,400.0,388.0,396.0,1015700
2026-05-13 00:00:00+07:00,396.0,398.0,388.0,392.0,770300
2026-05-14 00:00:00+07:00,392.0,392.0,392.0,392.0,0
2026-05-15 00:00:00+07:00,392.0,392.0,392.0,392.0,0
2026-05-18 00:00:00+07:00,390.0,392.0,382.0,388.0,705700
2026-05-19 00:00:00+07:00,388.0,392.0,374.0,390.0,359800
2026-05-20 00:00:00+07:00,390.0,390.0,368.0,376.0,838900
2026-05-21 00:00:00+07:00,376.0,378.0,346.0,372.0,810500
2026-05-22 00:00:00+07:00,370.0,378.0,338.0,356.0,1481400
2026-05-25 00:00:00+07:00,358.0,360.0,338.0,352.0,1880500
2026-05-26 00:00:00+07:00,352.0,352.0,340.0,350.0,728300
2026-05-27 00:00:00+07:00,350.0,350.0,350.0,350.0,0
2026-05-28 00:00:00+07:00,350.0,350.0,350.0,350.0,0
2026-05-29 00:00:00+07:00,344.0,350.0,338.0,344.0,4242800
2026-06-02 00:00:00+07:00,344.0,354.0,340.0,344.0,2924600
2026-06-03 00:00:00+07:00,350.0,350.0,338.0,340.0,966100
2026-06-04 00:00:00+07:00,340.0,342.0,330.0,340.0,1028900
2026-06-05 00:00:00+07:00,342.0,344.0,334.0,336.0,972500
2026-06-08 00:00:00+07:00,336.0,338.0,328.0,334.0,430900
2026-06-09 00:00:00+07:00,334.0,340.0,318.0,338.0,2711100
2026-06-10 00:00:00+07:00,338.0,366.0,332.0,348.0,3129300
2026-06-11 00:00:00+07:00,348.0,348.0,316.0,318.0,2699000
2026-06-12 00:00:00+07:00,318.0,324.0,316.0,320.0,461500
2026-06-15 00:00:00+07:00,322.0,338.0,320.0,338.0,798000
2026-06-17 00:00:00+07:00,338.0,338.0,328.0,330.0,235000
2026-06-18 00:00:00+07:00,330.0,336.0,328.0,332.0,120000
2026-06-19 00:00:00+07:00,332.0,336.0,330.0,334.0,233900
2026-06-22 00:00:00+07:00,336.0,338.0,320.0,328.0,576600
2026-06-23 00:00:00+07:00,328.0,334.0,326.0,334.0,193000
2026-06-24 00:00:00+07:00,334.0,338.0,328.0,328.0,163500
2026-06-25 00:00:00+07:00,328.0,338.0,328.0,334.0,150300
