Date,Open,High,Low,Close,Volume
2026-03-02 00:00:00+07:00,169.0,175.0,163.0,163.0,687200
2026-03-03 00:00:00+07:00,148.0,151.0,147.0,147.0,1744000
2026-03-04 00:00:00+07:00,161.0,161.0,161.0,161.0,1336000
2026-03-05 00:00:00+07:00,161.0,176.0,161.0,176.0,636300
2026-03-06 00:00:00+07:00,159.0,159.0,159.0,159.0,298800
2026-03-09 00:00:00+07:00,144.0,144.0,144.0,144.0,206800
2026-03-10 00:00:00+07:00,130.0,144.0,130.0,131.0,485600
2026-03-11 00:00:00+07:00,130.0,130.0,118.0,118.0,1548200
2026-03-12 00:00:00+07:00,107.0,109.0,107.0,107.0,754400
2026-03-13 00:00:00+07:00,101.0,101.0,97.0,97.0,2223400
2026-03-16 00:00:00+07:00,97.0,106.0,97.0,106.0,256300
2026-03-17 00:00:00+07:00,98.0,116.0,98.0,116.0,369000
2026-03-25 00:00:00+07:00,125.0,127.0,125.0,127.0,180000
2026-03-26 00:00:00+07:00,139.0,139.0,139.0,139.0,228100
2026-03-27 00:00:00+07:00,152.0,152.0,152.0,152.0,1049000
2026-03-30 00:00:00+07:00,137.0,165.0,137.0,165.0,439800
2026-03-31 00:00:00+07:00,151.0,165.0,151.0,165.0,143900
2026-04-01 00:00:00+07:00,166.0,166.0,152.0,152.0,120800
2026-04-02 00:00:00+07:00,152.0,152.0,137.0,137.0,291300
2026-04-06 00:00:00+07:00,124.0,127.0,124.0,127.0,264600
2026-04-07 00:00:00+07:00,120.0,120.0,115.0,115.0,254300
2026-04-08 00:00:00+07:00,117.0,126.0,117.0,126.0,456400
2026-04-09 00:00:00+07:00,138.0,138.0,138.0,138.0,549300
2026-04-10 00:00:00+07:00,151.0,151.0,151.0,151.0,794100
2026-04-13 00:00:00+07:00,166.0,166.0,151.0,151.0,919700
2026-04-14 00:00:00+07:00,139.0,139.0,136.0,136.0,1414300
2026-04-15 00:00:00+07:00,126.0,142.0,126.0,142.0,396800
2026-04-16 00:00:00+07:00,149.0,156.0,149.0,156.0,310700
2026-04-17 00:00:00+07:00,170.0,171.0,170.0,171.0,532900
2026-04-20 00:00:00+07:00,188.0,188.0,188.0,188.0,416700
2026-04-21 00:00:00+07:00,206.0,206.0,206.0,206.0,1228600
2026-04-22 00:00:00+07:00,226.0,226.0,186.0,186.0,2651000
2026-04-23 00:00:00+07:00,170.0,170.0,168.0,168.0,1326400
2026-04-24 00:00:00+07:00,155.0,155.0,152.0,152.0,775600
2026-04-27 00:00:00+07:00,162.0,162.0,160.0,160.0,614600
2026-04-28 00:00:00+07:00,174.0,174.0,173.0,173.0,368500
2026-04-29 00:00:00+07:00,173.0,173.0,156.0,156.0,572500
2026-04-30 00:00:00+07:00,142.0,142.0,141.0,141.0,1263100
2026-05-04 00:00:00+07:00,155.0,155.0,155.0,155.0,406000
2026-05-05 00:00:00+07:00,155.0,160.0,155.0,160.0,227700
2026-05-06 00:00:00+07:00,150.0,160.0,150.0,160.0,173700
2026-05-07 00:00:00+07:00,170.0,170.0,169.0,169.0,237000
2026-05-08 00:00:00+07:00,154.0,154.0,153.0,153.0,438200
2026-05-11 00:00:00+07:00,152.0,153.0,150.0,153.0,127700
2026-05-12 00:00:00+07:00,153.0,153.0,138.0,138.0,384600
2026-05-13 00:00:00+07:00,138.0,151.0,138.0,138.0,321400
2026-05-14 00:00:00+07:00,138.0,138.0,138.0,138.0,0
2026-05-15 00:00:00+07:00,138.0,138.0,138.0,138.0,0
2026-05-18 00:00:00+07:00,130.0,151.0,126.0,151.0,568900
2026-05-19 00:00:00+07:00,151.0,151.0,136.0,136.0,445300
2026-05-20 00:00:00+07:00,136.0,149.0,136.0,149.0,443600
2026-05-21 00:00:00+07:00,149.0,149.0,135.0,135.0,475200
2026-05-22 00:00:00+07:00,122.0,135.0,122.0,135.0,290600
2026-05-25 00:00:00+07:00,148.0,148.0,148.0,148.0,278100
2026-05-26 00:00:00+07:00,137.0,138.0,134.0,138.0,782900
2026-05-27 00:00:00+07:00,138.0,138.0,138.0,138.0,0
2026-05-28 00:00:00+07:00,138.0,138.0,138.0,138.0,0
2026-05-29 00:00:00+07:00,150.0,150.0,139.0,143.0,42600
2026-06-02 00:00:00+07:00,143.0,143.0,135.0,135.0,86600
2026-06-03 00:00:00+07:00,135.0,135.0,125.0,125.0,463400
2026-06-04 00:00:00+07:00,124.0,124.0,113.0,124.0,240400
2026-06-05 00:00:00+07:00,113.0,123.0,113.0,123.0,180000
2026-06-08 00:00:00+07:00,113.0,113.0,113.0,113.0,290100
2026-06-09 00:00:00+07:00,124.0,124.0,124.0,124.0,34600
2026-06-10 00:00:00+07:00,136.0,136.0,124.0,124.0,327900
2026-06-11 00:00:00+07:00,124.0,136.0,124.0,136.0,219100
2026-06-12 00:00:00+07:00,136.0,148.0,136.0,148.0,106300
2026-06-15 00:00:00+07:00,148.0,148.0,148.0,148.0,303300
2026-06-17 00:00:00+07:00,148.0,148.0,147.0,147.0,29800
2026-06-18 00:00:00+07:00,147.0,148.0,146.0,146.0,168900
2026-06-19 00:00:00+07:00,154.0,154.0,133.0,144.0,152500
2026-06-22 00:00:00+07:00,130.0,144.0,130.0,130.0,28200
2026-06-23 00:00:00+07:00,120.0,138.0,120.0,130.0,170200
2026-06-24 00:00:00+07:00,130.0,130.0,129.0,129.0,6200
2026-06-25 00:00:00+07:00,121.0,129.0,121.0,129.0,333800
2026-06-26 00:00:00+07:00,129.0,129.0,129.0,129.0,31500
2026-06-29 00:00:00+07:00,140.0,140.0,118.0,135.0,28600
2026-06-30 00:00:00+07:00,122.0,135.0,122.0,135.0,78500
2026-07-01 00:00:00+07:00,135.0,135.0,135.0,135.0,0
2026-07-02 00:00:00+07:00,135.0,135.0,135.0,135.0,0
2026-07-03 00:00:00+07:00,135.0,135.0,135.0,135.0,0
2026-07-06 00:00:00+07:00,135.0,135.0,135.0,135.0,0
2026-07-07 00:00:00+07:00,135.0,135.0,135.0,135.0,0
