Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,169.0,170.0,163.0,168.0,4247300
2026-02-27 00:00:00+07:00,167.0,171.0,163.0,168.0,3150300
2026-03-02 00:00:00+07:00,167.0,208.0,165.0,187.0,118527200
2026-03-03 00:00:00+07:00,200.0,200.0,177.0,179.0,36616800
2026-03-04 00:00:00+07:00,180.0,191.0,167.0,168.0,23781000
2026-03-05 00:00:00+07:00,168.0,175.0,168.0,172.0,4452100
2026-03-06 00:00:00+07:00,173.0,187.0,173.0,175.0,24545000
2026-03-09 00:00:00+07:00,176.0,179.0,157.0,161.0,13514300
2026-03-10 00:00:00+07:00,162.0,167.0,156.0,162.0,8511200
2026-03-11 00:00:00+07:00,162.0,169.0,161.0,162.0,5896300
2026-03-12 00:00:00+07:00,162.0,168.0,161.0,162.0,3529400
2026-03-13 00:00:00+07:00,160.0,167.0,159.0,159.0,4665300
2026-03-16 00:00:00+07:00,161.0,161.0,139.0,152.0,6796200
2026-03-17 00:00:00+07:00,152.0,162.0,150.0,159.0,5136700
2026-03-25 00:00:00+07:00,156.0,164.0,153.0,162.0,2632500
2026-03-26 00:00:00+07:00,161.0,165.0,158.0,158.0,2194000
2026-03-27 00:00:00+07:00,158.0,164.0,157.0,159.0,2036700
2026-03-30 00:00:00+07:00,159.0,182.0,159.0,177.0,33556600
2026-03-31 00:00:00+07:00,178.0,180.0,166.0,168.0,12293600
2026-04-01 00:00:00+07:00,170.0,171.0,166.0,168.0,4615700
2026-04-02 00:00:00+07:00,170.0,173.0,168.0,168.0,5519700
2026-04-06 00:00:00+07:00,168.0,169.0,163.0,164.0,2742800
2026-04-07 00:00:00+07:00,164.0,165.0,160.0,162.0,3053300
2026-04-08 00:00:00+07:00,161.0,165.0,160.0,164.0,3878700
2026-04-09 00:00:00+07:00,165.0,166.0,162.0,163.0,2277300
2026-04-10 00:00:00+07:00,164.0,167.0,163.0,165.0,3657400
2026-04-13 00:00:00+07:00,165.0,168.0,164.0,167.0,2270000
2026-04-14 00:00:00+07:00,167.0,171.0,167.0,170.0,3899100
2026-04-15 00:00:00+07:00,172.0,172.0,167.0,167.0,2838000
2026-04-16 00:00:00+07:00,167.0,171.0,167.0,167.0,3569600
