Date,Open,High,Low,Close,Volume
2026-03-02 00:00:00+07:00,92.0,92.0,90.0,91.0,117100
2026-03-03 00:00:00+07:00,91.0,91.0,91.0,91.0,181400
2026-03-04 00:00:00+07:00,90.0,90.0,82.0,82.0,796500
2026-03-05 00:00:00+07:00,82.0,83.0,82.0,83.0,76300
2026-03-06 00:00:00+07:00,83.0,84.0,83.0,84.0,45500
2026-03-09 00:00:00+07:00,85.0,85.0,85.0,85.0,47100
2026-03-10 00:00:00+07:00,84.0,85.0,84.0,85.0,27300
2026-03-11 00:00:00+07:00,85.0,90.0,85.0,89.0,39800
2026-03-12 00:00:00+07:00,90.0,90.0,87.0,87.0,47900
2026-03-13 00:00:00+07:00,88.0,88.0,88.0,88.0,31800
2026-03-16 00:00:00+07:00,88.0,90.0,87.0,90.0,33000
2026-03-17 00:00:00+07:00,90.0,90.0,88.0,88.0,14000
2026-03-25 00:00:00+07:00,88.0,88.0,80.0,80.0,297800
2026-03-26 00:00:00+07:00,82.0,85.0,82.0,82.0,164700
2026-03-27 00:00:00+07:00,83.0,83.0,83.0,83.0,30300
2026-03-30 00:00:00+07:00,89.0,89.0,87.0,87.0,23300
2026-03-31 00:00:00+07:00,87.0,87.0,85.0,86.0,18200
2026-04-01 00:00:00+07:00,86.0,86.0,79.0,85.0,219200
2026-04-02 00:00:00+07:00,85.0,85.0,84.0,84.0,26700
2026-04-06 00:00:00+07:00,84.0,84.0,82.0,82.0,74100
2026-04-07 00:00:00+07:00,82.0,83.0,81.0,81.0,32900
2026-04-08 00:00:00+07:00,81.0,81.0,81.0,81.0,64800
2026-04-09 00:00:00+07:00,81.0,82.0,81.0,82.0,48000
2026-04-10 00:00:00+07:00,82.0,82.0,81.0,81.0,136500
2026-04-13 00:00:00+07:00,81.0,81.0,81.0,81.0,40400
2026-04-14 00:00:00+07:00,81.0,82.0,81.0,82.0,3300
2026-04-15 00:00:00+07:00,82.0,83.0,82.0,83.0,19100
2026-04-16 00:00:00+07:00,83.0,85.0,83.0,85.0,142800
2026-04-17 00:00:00+07:00,93.0,93.0,91.0,91.0,598400
2026-04-20 00:00:00+07:00,90.0,90.0,89.0,89.0,10700
2026-04-21 00:00:00+07:00,83.0,86.0,83.0,86.0,564100
2026-04-22 00:00:00+07:00,86.0,86.0,81.0,81.0,664600
2026-04-23 00:00:00+07:00,86.0,86.0,85.0,85.0,76100
2026-04-24 00:00:00+07:00,85.0,85.0,77.0,80.0,1048500
2026-04-27 00:00:00+07:00,80.0,81.0,80.0,80.0,195400
2026-04-28 00:00:00+07:00,80.0,81.0,80.0,81.0,427500
2026-04-29 00:00:00+07:00,81.0,82.0,81.0,81.0,438100
2026-04-30 00:00:00+07:00,84.0,84.0,80.0,80.0,202200
2026-05-04 00:00:00+07:00,80.0,83.0,80.0,83.0,32100
2026-05-05 00:00:00+07:00,83.0,83.0,83.0,83.0,125700
2026-05-06 00:00:00+07:00,83.0,83.0,83.0,83.0,6000
2026-05-07 00:00:00+07:00,83.0,83.0,75.0,77.0,528200
2026-05-08 00:00:00+07:00,82.0,82.0,82.0,82.0,36200
2026-05-11 00:00:00+07:00,81.0,81.0,77.0,78.0,211200
2026-05-12 00:00:00+07:00,77.0,78.0,77.0,78.0,207200
2026-05-13 00:00:00+07:00,76.0,78.0,76.0,78.0,37100
2026-05-14 00:00:00+07:00,78.0,78.0,78.0,78.0,0
2026-05-15 00:00:00+07:00,78.0,78.0,78.0,78.0,0
2026-05-18 00:00:00+07:00,78.0,78.0,71.0,73.0,849700
2026-05-19 00:00:00+07:00,73.0,73.0,72.0,73.0,427700
2026-05-20 00:00:00+07:00,73.0,73.0,72.0,72.0,11600
2026-05-21 00:00:00+07:00,72.0,72.0,71.0,71.0,79700
2026-05-22 00:00:00+07:00,71.0,71.0,70.0,71.0,51100
2026-05-25 00:00:00+07:00,71.0,71.0,65.0,65.0,798900
2026-05-26 00:00:00+07:00,65.0,71.0,65.0,71.0,6900
2026-05-27 00:00:00+07:00,71.0,71.0,71.0,71.0,0
2026-05-28 00:00:00+07:00,71.0,71.0,71.0,71.0,0
2026-05-29 00:00:00+07:00,71.0,71.0,70.0,70.0,46900
2026-06-02 00:00:00+07:00,70.0,70.0,65.0,67.0,21600
2026-06-03 00:00:00+07:00,67.0,68.0,67.0,68.0,155500
2026-06-04 00:00:00+07:00,68.0,68.0,67.0,67.0,46400
2026-06-05 00:00:00+07:00,67.0,71.0,67.0,71.0,229200
2026-06-08 00:00:00+07:00,71.0,73.0,71.0,73.0,46900
2026-06-09 00:00:00+07:00,73.0,73.0,72.0,72.0,6400
2026-06-10 00:00:00+07:00,72.0,72.0,72.0,72.0,123100
2026-06-11 00:00:00+07:00,72.0,72.0,72.0,72.0,103100
2026-06-12 00:00:00+07:00,67.0,75.0,67.0,74.0,84300
2026-06-15 00:00:00+07:00,74.0,74.0,74.0,74.0,104000
2026-06-17 00:00:00+07:00,75.0,76.0,75.0,76.0,34200
2026-06-18 00:00:00+07:00,75.0,75.0,75.0,75.0,20900
2026-06-19 00:00:00+07:00,74.0,76.0,73.0,76.0,27300
2026-06-22 00:00:00+07:00,76.0,76.0,69.0,69.0,36000
2026-06-23 00:00:00+07:00,71.0,71.0,71.0,71.0,19800
2026-06-24 00:00:00+07:00,71.0,71.0,71.0,71.0,10500
2026-06-25 00:00:00+07:00,71.0,71.0,71.0,71.0,18400
2026-06-26 00:00:00+07:00,71.0,71.0,70.0,70.0,353000
2026-06-29 00:00:00+07:00,70.0,70.0,70.0,70.0,5200
2026-06-30 00:00:00+07:00,70.0,70.0,69.0,69.0,2500
2026-07-01 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-02 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-03 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-06 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-07 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-08 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-09 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-10 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-13 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-14 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-15 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-16 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-17 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-20 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-21 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-22 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-23 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-24 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-27 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-28 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-29 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-30 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-07-31 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-08-03 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-08-04 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-08-05 00:00:00+07:00,69.0,69.0,69.0,69.0,0
2026-08-06 00:00:00+07:00,69.0,69.0,69.0,69.0,0
