Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,64.0,64.0,62.0,63.0,131192600
2026-03-02 00:00:00+07:00,61.0,63.0,60.0,61.0,169922100
2026-03-03 00:00:00+07:00,61.0,62.0,60.0,60.0,105469400
2026-03-04 00:00:00+07:00,60.0,60.0,55.0,57.0,382409300
2026-03-05 00:00:00+07:00,58.0,59.0,58.0,59.0,47983000
2026-03-06 00:00:00+07:00,58.0,59.0,57.0,57.0,74801900
2026-03-09 00:00:00+07:00,56.0,56.0,52.0,54.0,217783300
2026-03-10 00:00:00+07:00,55.0,57.0,55.0,56.0,54225700
2026-03-11 00:00:00+07:00,56.0,57.0,56.0,56.0,36955900
2026-03-12 00:00:00+07:00,56.0,57.0,54.0,55.0,76891100
2026-03-13 00:00:00+07:00,55.0,56.0,54.0,54.0,43151800
2026-03-16 00:00:00+07:00,54.0,54.0,52.0,53.0,79546400
2026-03-17 00:00:00+07:00,53.0,56.0,53.0,54.0,63523300
2026-03-25 00:00:00+07:00,54.0,57.0,54.0,56.0,84441500
2026-03-26 00:00:00+07:00,56.0,56.0,54.0,55.0,31550200
2026-03-27 00:00:00+07:00,55.0,55.0,54.0,55.0,9277900
2026-03-30 00:00:00+07:00,54.0,55.0,53.0,54.0,36012200
2026-03-31 00:00:00+07:00,55.0,55.0,53.0,53.0,25176100
2026-04-01 00:00:00+07:00,54.0,55.0,53.0,55.0,41319100
2026-04-02 00:00:00+07:00,55.0,55.0,53.0,53.0,28585700
2026-04-06 00:00:00+07:00,53.0,54.0,53.0,53.0,31255900
2026-04-07 00:00:00+07:00,53.0,54.0,52.0,52.0,32375000
2026-04-08 00:00:00+07:00,53.0,55.0,53.0,55.0,72631700
2026-04-09 00:00:00+07:00,55.0,55.0,53.0,54.0,35824700
2026-04-10 00:00:00+07:00,54.0,55.0,54.0,55.0,35335700
2026-04-13 00:00:00+07:00,54.0,56.0,54.0,55.0,46387600
2026-04-14 00:00:00+07:00,55.0,58.0,55.0,57.0,152210300
2026-04-15 00:00:00+07:00,58.0,58.0,56.0,57.0,51637000
2026-04-16 00:00:00+07:00,58.0,58.0,56.0,57.0,29974900
2026-04-17 00:00:00+07:00,57.0,61.0,56.0,59.0,211874800
2026-04-20 00:00:00+07:00,58.0,58.0,56.0,57.0,86831100
2026-04-21 00:00:00+07:00,57.0,62.0,56.0,62.0,454050600
2026-04-22 00:00:00+07:00,62.0,62.0,59.0,61.0,185578300
2026-04-23 00:00:00+07:00,61.0,66.0,59.0,62.0,852406000
2026-04-24 00:00:00+07:00,63.0,67.0,59.0,59.0,533270100
2026-04-27 00:00:00+07:00,59.0,60.0,58.0,58.0,90173400
2026-04-28 00:00:00+07:00,58.0,62.0,57.0,60.0,249539300
2026-04-29 00:00:00+07:00,61.0,62.0,59.0,59.0,89876100
2026-04-30 00:00:00+07:00,60.0,60.0,56.0,57.0,258072000
2026-05-04 00:00:00+07:00,57.0,58.0,56.0,57.0,56022500
2026-05-05 00:00:00+07:00,57.0,59.0,56.0,58.0,66638100
