Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,230.0,230.0,222.0,226.0,693800
2026-03-02 00:00:00+07:00,212.0,216.0,204.0,206.0,4467800
2026-03-03 00:00:00+07:00,212.0,216.0,198.0,204.0,4235500
2026-03-04 00:00:00+07:00,202.0,202.0,174.0,174.0,9505000
2026-03-05 00:00:00+07:00,174.0,188.0,172.0,176.0,2304500
2026-03-06 00:00:00+07:00,172.0,176.0,150.0,175.0,4532500
2026-03-09 00:00:00+07:00,159.0,175.0,149.0,169.0,2757900
2026-03-10 00:00:00+07:00,169.0,175.0,156.0,175.0,2496800
2026-03-11 00:00:00+07:00,170.0,175.0,165.0,169.0,828700
2026-03-12 00:00:00+07:00,169.0,214.0,166.0,170.0,42249800
2026-03-13 00:00:00+07:00,168.0,172.0,153.0,160.0,6131900
2026-03-16 00:00:00+07:00,160.0,170.0,152.0,159.0,2979700
2026-03-17 00:00:00+07:00,156.0,169.0,156.0,161.0,1348500
2026-03-25 00:00:00+07:00,157.0,167.0,150.0,161.0,3692400
2026-03-26 00:00:00+07:00,161.0,165.0,157.0,158.0,2390500
2026-03-27 00:00:00+07:00,165.0,165.0,155.0,158.0,748800
2026-03-30 00:00:00+07:00,158.0,163.0,150.0,160.0,1986600
2026-03-31 00:00:00+07:00,161.0,167.0,152.0,152.0,1764500
2026-04-01 00:00:00+07:00,153.0,156.0,152.0,153.0,1549700
2026-04-02 00:00:00+07:00,153.0,190.0,153.0,154.0,9454600
2026-04-06 00:00:00+07:00,154.0,164.0,151.0,156.0,1729600
2026-04-07 00:00:00+07:00,156.0,158.0,147.0,151.0,1475800
2026-04-08 00:00:00+07:00,151.0,159.0,151.0,154.0,1364500
2026-04-09 00:00:00+07:00,160.0,160.0,152.0,157.0,1187500
2026-04-10 00:00:00+07:00,157.0,165.0,154.0,163.0,2821300
2026-04-13 00:00:00+07:00,171.0,190.0,160.0,179.0,10653200
2026-04-14 00:00:00+07:00,185.0,188.0,178.0,183.0,6231000
2026-04-15 00:00:00+07:00,185.0,186.0,175.0,180.0,3349300
2026-04-16 00:00:00+07:00,179.0,182.0,173.0,178.0,2209200
2026-04-17 00:00:00+07:00,179.0,180.0,173.0,175.0,1770000
2026-04-20 00:00:00+07:00,177.0,197.0,177.0,187.0,16682700
2026-04-21 00:00:00+07:00,187.0,193.0,180.0,187.0,4941500
2026-04-22 00:00:00+07:00,187.0,216.0,187.0,200.0,14561400
2026-04-23 00:00:00+07:00,208.0,210.0,195.0,199.0,4574800
2026-04-24 00:00:00+07:00,199.0,199.0,180.0,180.0,5155800
2026-04-27 00:00:00+07:00,181.0,185.0,179.0,182.0,1142400
2026-04-28 00:00:00+07:00,182.0,185.0,175.0,176.0,1591200
2026-04-29 00:00:00+07:00,175.0,181.0,172.0,174.0,1638700
2026-04-30 00:00:00+07:00,200.0,216.0,183.0,188.0,31321600
2026-05-04 00:00:00+07:00,188.0,190.0,176.0,182.0,3996300
2026-05-05 00:00:00+07:00,186.0,186.0,181.0,182.0,2247900
2026-05-06 00:00:00+07:00,183.0,185.0,178.0,179.0,2223700
2026-05-07 00:00:00+07:00,179.0,189.0,177.0,189.0,4797400
2026-05-08 00:00:00+07:00,189.0,198.0,184.0,185.0,5548100
2026-05-11 00:00:00+07:00,186.0,193.0,177.0,181.0,4394000
2026-05-12 00:00:00+07:00,181.0,184.0,167.0,170.0,4578000
2026-05-13 00:00:00+07:00,171.0,178.0,155.0,171.0,8441800
2026-05-14 00:00:00+07:00,171.0,171.0,171.0,171.0,0
2026-05-15 00:00:00+07:00,171.0,171.0,171.0,171.0,0
2026-05-18 00:00:00+07:00,174.0,175.0,163.0,165.0,3073300
2026-05-19 00:00:00+07:00,165.0,169.0,149.0,150.0,3128200
2026-05-20 00:00:00+07:00,150.0,153.0,139.0,149.0,4417700
2026-05-21 00:00:00+07:00,154.0,155.0,129.0,129.0,5730800
2026-05-22 00:00:00+07:00,129.0,150.0,127.0,136.0,3013600
2026-05-25 00:00:00+07:00,145.0,150.0,141.0,147.0,2539400
2026-05-26 00:00:00+07:00,149.0,155.0,145.0,147.0,3144000
2026-05-27 00:00:00+07:00,147.0,147.0,147.0,147.0,0
2026-05-28 00:00:00+07:00,147.0,147.0,147.0,147.0,0
2026-05-29 00:00:00+07:00,150.0,151.0,146.0,149.0,974200
2026-06-02 00:00:00+07:00,151.0,154.0,150.0,151.0,629300
2026-06-03 00:00:00+07:00,151.0,159.0,145.0,145.0,2950300
2026-06-04 00:00:00+07:00,145.0,152.0,134.0,144.0,2065100
2026-06-05 00:00:00+07:00,142.0,144.0,124.0,134.0,968500
2026-06-08 00:00:00+07:00,135.0,140.0,130.0,135.0,2094100
2026-06-09 00:00:00+07:00,135.0,152.0,135.0,144.0,1411000
2026-06-10 00:00:00+07:00,144.0,151.0,141.0,145.0,1120700
2026-06-11 00:00:00+07:00,145.0,147.0,140.0,140.0,873000
2026-06-12 00:00:00+07:00,140.0,146.0,135.0,140.0,1274500
2026-06-15 00:00:00+07:00,145.0,166.0,144.0,150.0,5116600
2026-06-17 00:00:00+07:00,150.0,155.0,149.0,151.0,819800
2026-06-18 00:00:00+07:00,155.0,156.0,151.0,156.0,1480000
2026-06-19 00:00:00+07:00,156.0,160.0,150.0,150.0,1277100
2026-06-22 00:00:00+07:00,150.0,156.0,150.0,152.0,517500
2026-06-23 00:00:00+07:00,152.0,154.0,150.0,154.0,1485500
2026-06-24 00:00:00+07:00,156.0,158.0,152.0,157.0,1443600
2026-06-25 00:00:00+07:00,158.0,165.0,158.0,161.0,1217000
2026-06-26 00:00:00+07:00,162.0,162.0,150.0,155.0,1432900
2026-06-29 00:00:00+07:00,152.0,153.0,147.0,152.0,1703100
2026-06-30 00:00:00+07:00,153.0,153.0,140.0,145.0,670800
2026-07-01 00:00:00+07:00,147.0,154.0,147.0,153.0,674200
2026-07-02 00:00:00+07:00,153.0,153.0,148.0,148.0,1113900
2026-07-03 00:00:00+07:00,150.0,154.0,150.0,150.0,646800
2026-07-06 00:00:00+07:00,151.0,151.0,148.0,149.0,743500
2026-07-07 00:00:00+07:00,149.0,155.0,149.0,155.0,1237100
2026-07-08 00:00:00+07:00,154.0,155.0,150.0,150.0,1269700
2026-07-09 00:00:00+07:00,154.0,156.0,151.0,155.0,2523300
2026-07-10 00:00:00+07:00,154.0,165.0,151.0,161.0,4564800
2026-07-13 00:00:00+07:00,165.0,170.0,161.0,165.0,5199200
2026-07-14 00:00:00+07:00,168.0,168.0,160.0,161.0,2337100
2026-07-15 00:00:00+07:00,162.0,165.0,161.0,163.0,1223500
2026-07-16 00:00:00+07:00,163.0,166.0,161.0,166.0,2300600
2026-07-17 00:00:00+07:00,165.0,186.0,163.0,177.0,9716900
2026-07-20 00:00:00+07:00,177.0,186.0,176.0,180.0,5772700
2026-07-21 00:00:00+07:00,181.0,184.0,178.0,180.0,1452200
2026-07-22 00:00:00+07:00,180.0,182.0,177.0,177.0,1844200
2026-07-23 00:00:00+07:00,177.0,180.0,175.0,175.0,1636400
2026-07-24 00:00:00+07:00,175.0,190.0,175.0,178.0,3270200
2026-07-27 00:00:00+07:00,177.0,180.0,174.0,179.0,1726900
2026-07-28 00:00:00+07:00,179.0,180.0,174.0,174.0,1415300
2026-07-29 00:00:00+07:00,175.0,182.0,173.0,176.0,2930600
2026-07-30 00:00:00+07:00,176.0,179.0,174.0,176.0,1201100
2026-07-31 00:00:00+07:00,176.0,182.0,176.0,182.0,2371000
2026-08-03 00:00:00+07:00,181.0,200.0,181.0,185.0,12218800
2026-08-04 00:00:00+07:00,187.0,212.0,187.0,198.0,21311300
2026-08-05 00:00:00+07:00,208.0,210.0,193.0,200.0,7028100
2026-08-06 00:00:00+07:00,202.0,202.0,195.0,197.0,3133500
2026-08-07 00:00:00+07:00,196.0,210.0,194.0,200.0,4803400
2026-08-10 00:00:00+07:00,200.0,202.0,195.0,200.0,2580200
2026-08-11 00:00:00+07:00,200.0,200.0,196.0,198.0,1824300
2026-08-12 00:00:00+07:00,198.0,200.0,196.0,200.0,1410100
2026-08-13 00:00:00+07:00,202.0,204.0,197.0,202.0,1860200
2026-08-14 00:00:00+07:00,204.0,218.0,204.0,218.0,12654300
2026-08-18 00:00:00+07:00,228.0,230.0,214.0,218.0,8593500
2026-08-19 00:00:00+07:00,220.0,222.0,212.0,216.0,3387800
2026-08-20 00:00:00+07:00,232.0,232.0,220.0,228.0,3647400
2026-08-21 00:00:00+07:00,236.0,236.0,220.0,230.0,2479300
2026-08-24 00:00:00+07:00,230.0,234.0,224.0,230.0,3658200
2026-08-26 00:00:00+07:00,230.0,230.0,206.0,210.0,5951000
2026-08-27 00:00:00+07:00,208.0,228.0,186.0,220.0,3384300
2026-08-28 00:00:00+07:00,220.0,224.0,214.0,222.0,820900
2026-08-31 00:00:00+07:00,228.0,228.0,216.0,222.0,2735300
2026-09-01 00:00:00+07:00,222.0,222.0,214.0,222.0,1673600
2026-09-02 00:00:00+07:00,220.0,220.0,214.0,218.0,1612600
2026-09-03 00:00:00+07:00,218.0,222.0,214.0,218.0,1748800
2026-09-04 00:00:00+07:00,218.0,218.0,204.0,212.0,2849900
2026-09-07 00:00:00+07:00,214.0,214.0,202.0,210.0,895200
2026-09-08 00:00:00+07:00,210.0,222.0,210.0,218.0,1487600
2026-09-09 00:00:00+07:00,218.0,218.0,212.0,212.0,927200
2026-09-10 00:00:00+07:00,212.0,214.0,206.0,208.0,1186500
2026-09-11 00:00:00+07:00,208.0,216.0,206.0,208.0,1553400
2026-09-14 00:00:00+07:00,208.0,210.0,200.0,202.0,1808400
2026-09-15 00:00:00+07:00,210.0,214.0,206.0,206.0,984300
2026-09-16 00:00:00+07:00,204.0,210.0,200.0,204.0,855800
2026-09-17 00:00:00+07:00,200.0,208.0,200.0,206.0,2390500
2026-09-18 00:00:00+07:00,206.0,206.0,200.0,204.0,448200
2026-09-21 00:00:00+07:00,204.0,210.0,202.0,204.0,522100
2026-09-22 00:00:00+07:00,202.0,206.0,197.0,198.0,2339900
2026-09-23 00:00:00+07:00,206.0,206.0,198.0,200.0,476300
2026-09-24 00:00:00+07:00,200.0,204.0,197.0,198.0,479300
2026-09-25 00:00:00+07:00,198.0,200.0,174.0,199.0,2746600
