Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,169.0,218.0,169.0,208.0,205935000
2026-02-27 00:00:00+07:00,208.0,208.0,179.0,179.0,44291900
2026-03-02 00:00:00+07:00,168.0,171.0,158.0,158.0,18640200
2026-03-03 00:00:00+07:00,158.0,167.0,151.0,159.0,11446400
2026-03-04 00:00:00+07:00,159.0,163.0,144.0,145.0,9600700
2026-03-05 00:00:00+07:00,148.0,160.0,147.0,155.0,9259800
2026-03-06 00:00:00+07:00,156.0,156.0,145.0,149.0,3612900
2026-03-09 00:00:00+07:00,144.0,144.0,128.0,136.0,4400500
2026-03-10 00:00:00+07:00,137.0,144.0,136.0,141.0,3370100
2026-03-11 00:00:00+07:00,141.0,144.0,139.0,140.0,1638800
2026-03-12 00:00:00+07:00,140.0,143.0,136.0,139.0,1043000
2026-03-13 00:00:00+07:00,136.0,139.0,130.0,133.0,1998700
2026-03-16 00:00:00+07:00,131.0,131.0,121.0,125.0,2484900
2026-03-17 00:00:00+07:00,125.0,138.0,123.0,124.0,2586600
2026-03-25 00:00:00+07:00,124.0,130.0,106.0,119.0,4975800
2026-03-26 00:00:00+07:00,121.0,130.0,120.0,121.0,1873900
2026-03-27 00:00:00+07:00,121.0,127.0,121.0,121.0,634600
2026-03-30 00:00:00+07:00,123.0,128.0,120.0,126.0,1616300
2026-03-31 00:00:00+07:00,127.0,131.0,125.0,129.0,2633400
2026-04-01 00:00:00+07:00,138.0,148.0,133.0,137.0,9948000
2026-04-02 00:00:00+07:00,137.0,140.0,133.0,134.0,3163900
2026-04-06 00:00:00+07:00,135.0,138.0,131.0,131.0,1837700
2026-04-07 00:00:00+07:00,134.0,141.0,131.0,135.0,4402300
2026-04-08 00:00:00+07:00,137.0,147.0,136.0,143.0,7394600
2026-04-09 00:00:00+07:00,143.0,147.0,141.0,142.0,2836900
2026-04-10 00:00:00+07:00,143.0,191.0,140.0,191.0,90182100
2026-04-13 00:00:00+07:00,165.0,176.0,164.0,169.0,47308000
2026-04-14 00:00:00+07:00,170.0,174.0,165.0,170.0,12528000
2026-04-15 00:00:00+07:00,169.0,173.0,167.0,170.0,15048400
2026-04-16 00:00:00+07:00,169.0,171.0,164.0,166.0,13504300
2026-04-17 00:00:00+07:00,169.0,170.0,159.0,162.0,10029300
2026-04-20 00:00:00+07:00,163.0,167.0,156.0,163.0,7109600
2026-04-21 00:00:00+07:00,166.0,166.0,161.0,164.0,7149800
2026-04-22 00:00:00+07:00,165.0,167.0,162.0,165.0,11088100
2026-04-23 00:00:00+07:00,165.0,165.0,159.0,160.0,3446200
2026-04-24 00:00:00+07:00,160.0,202.0,150.0,151.0,174462900
2026-04-27 00:00:00+07:00,151.0,183.0,144.0,164.0,48981900
2026-04-28 00:00:00+07:00,172.0,172.0,159.0,163.0,10584000
2026-04-29 00:00:00+07:00,163.0,167.0,160.0,161.0,6510200
2026-04-30 00:00:00+07:00,161.0,181.0,152.0,154.0,64484500
2026-05-04 00:00:00+07:00,154.0,198.0,150.0,159.0,135852500
2026-05-05 00:00:00+07:00,163.0,194.0,162.0,174.0,190080800
2026-05-06 00:00:00+07:00,174.0,181.0,164.0,168.0,33035700
2026-05-07 00:00:00+07:00,168.0,170.0,162.0,169.0,14368300
2026-05-08 00:00:00+07:00,169.0,169.0,159.0,160.0,9219100
2026-05-11 00:00:00+07:00,159.0,171.0,157.0,162.0,13138800
2026-05-12 00:00:00+07:00,165.0,167.0,155.0,159.0,9780200
2026-05-13 00:00:00+07:00,160.0,162.0,154.0,157.0,7539700
2026-05-14 00:00:00+07:00,157.0,157.0,157.0,157.0,0
2026-05-15 00:00:00+07:00,157.0,157.0,157.0,157.0,0
2026-05-18 00:00:00+07:00,157.0,160.0,145.0,154.0,8588800
2026-05-19 00:00:00+07:00,155.0,158.0,141.0,143.0,9631200
2026-05-20 00:00:00+07:00,142.0,148.0,138.0,139.0,5652400
2026-05-21 00:00:00+07:00,140.0,180.0,130.0,155.0,118492700
2026-05-22 00:00:00+07:00,152.0,157.0,135.0,136.0,43684500
2026-05-25 00:00:00+07:00,160.0,167.0,140.0,140.0,151358000
2026-05-26 00:00:00+07:00,137.0,141.0,133.0,134.0,20569400
2026-05-27 00:00:00+07:00,134.0,134.0,134.0,134.0,0
2026-05-28 00:00:00+07:00,134.0,134.0,134.0,134.0,0
2026-05-29 00:00:00+07:00,131.0,136.0,128.0,129.0,9911900
2026-06-02 00:00:00+07:00,129.0,132.0,126.0,128.0,8157900
2026-06-03 00:00:00+07:00,129.0,129.0,112.0,114.0,10691200
2026-06-04 00:00:00+07:00,114.0,120.0,101.0,110.0,7522100
2026-06-05 00:00:00+07:00,113.0,113.0,103.0,103.0,5603900
2026-06-08 00:00:00+07:00,104.0,104.0,91.0,91.0,6636100
2026-06-09 00:00:00+07:00,91.0,102.0,88.0,101.0,11867800
2026-06-10 00:00:00+07:00,101.0,108.0,94.0,103.0,11942200
2026-06-11 00:00:00+07:00,106.0,112.0,100.0,104.0,18046200
2026-06-12 00:00:00+07:00,103.0,111.0,103.0,110.0,12912700
2026-06-15 00:00:00+07:00,109.0,121.0,109.0,116.0,15860300
2026-06-17 00:00:00+07:00,118.0,118.0,112.0,113.0,5376400
2026-06-18 00:00:00+07:00,114.0,118.0,111.0,114.0,6545200
2026-06-19 00:00:00+07:00,114.0,120.0,113.0,115.0,2825100
2026-06-22 00:00:00+07:00,118.0,118.0,111.0,114.0,4525500
2026-06-23 00:00:00+07:00,114.0,120.0,111.0,115.0,6585800
2026-06-24 00:00:00+07:00,114.0,118.0,109.0,109.0,4120400
2026-06-25 00:00:00+07:00,109.0,117.0,109.0,112.0,4411200
2026-06-26 00:00:00+07:00,112.0,115.0,107.0,109.0,3013800
2026-06-29 00:00:00+07:00,110.0,112.0,105.0,109.0,1427700
2026-06-30 00:00:00+07:00,108.0,111.0,102.0,103.0,1378700
2026-07-01 00:00:00+07:00,103.0,107.0,100.0,104.0,1502500
2026-07-02 00:00:00+07:00,104.0,109.0,102.0,103.0,945100
2026-07-03 00:00:00+07:00,104.0,109.0,103.0,104.0,2410300
2026-07-06 00:00:00+07:00,105.0,112.0,103.0,106.0,5429300
2026-07-07 00:00:00+07:00,106.0,112.0,104.0,108.0,7727600
2026-07-08 00:00:00+07:00,106.0,112.0,105.0,107.0,8058900
2026-07-09 00:00:00+07:00,107.0,112.0,106.0,108.0,5289400
2026-07-10 00:00:00+07:00,108.0,117.0,107.0,110.0,11682100
2026-07-13 00:00:00+07:00,110.0,113.0,107.0,109.0,6330000
2026-07-14 00:00:00+07:00,110.0,116.0,108.0,111.0,13460800
2026-07-15 00:00:00+07:00,112.0,114.0,110.0,113.0,4799400
2026-07-16 00:00:00+07:00,113.0,118.0,112.0,115.0,9092600
2026-07-17 00:00:00+07:00,115.0,121.0,114.0,118.0,13781000
2026-07-20 00:00:00+07:00,119.0,125.0,117.0,119.0,14166800
2026-07-21 00:00:00+07:00,122.0,125.0,117.0,120.0,14300700
2026-07-22 00:00:00+07:00,120.0,123.0,119.0,121.0,7782600
2026-07-23 00:00:00+07:00,121.0,123.0,119.0,120.0,4313700
2026-07-24 00:00:00+07:00,116.0,116.0,110.0,113.0,9972200
2026-07-27 00:00:00+07:00,113.0,152.0,110.0,133.0,204714900
2026-07-28 00:00:00+07:00,133.0,144.0,123.0,125.0,60475700
2026-07-29 00:00:00+07:00,125.0,133.0,119.0,125.0,16750600
2026-07-30 00:00:00+07:00,126.0,127.0,120.0,123.0,7713200
2026-07-31 00:00:00+07:00,123.0,126.0,120.0,122.0,6915200
2026-08-03 00:00:00+07:00,124.0,136.0,123.0,134.0,23795900
2026-08-04 00:00:00+07:00,138.0,144.0,129.0,132.0,17467000
2026-08-05 00:00:00+07:00,135.0,142.0,130.0,139.0,10581800
2026-08-06 00:00:00+07:00,140.0,142.0,134.0,138.0,4709500
2026-08-07 00:00:00+07:00,139.0,149.0,135.0,140.0,19230000
2026-08-10 00:00:00+07:00,140.0,152.0,138.0,143.0,12221900
2026-08-11 00:00:00+07:00,144.0,145.0,134.0,136.0,6002800
2026-08-12 00:00:00+07:00,137.0,140.0,136.0,137.0,1711300
2026-08-13 00:00:00+07:00,139.0,139.0,130.0,136.0,2923500
2026-08-14 00:00:00+07:00,136.0,136.0,132.0,135.0,1339000
2026-08-18 00:00:00+07:00,134.0,138.0,134.0,136.0,3522100
2026-08-19 00:00:00+07:00,136.0,138.0,134.0,137.0,5628700
2026-08-20 00:00:00+07:00,139.0,142.0,136.0,139.0,5283800
2026-08-21 00:00:00+07:00,142.0,142.0,137.0,137.0,1127700
2026-08-24 00:00:00+07:00,136.0,138.0,135.0,136.0,1663900
2026-08-26 00:00:00+07:00,136.0,139.0,128.0,130.0,5552400
2026-08-27 00:00:00+07:00,132.0,149.0,132.0,139.0,29993100
2026-08-28 00:00:00+07:00,139.0,139.0,135.0,137.0,3073300
2026-08-31 00:00:00+07:00,137.0,139.0,136.0,138.0,2024900
2026-09-01 00:00:00+07:00,139.0,140.0,136.0,138.0,1557600
2026-09-02 00:00:00+07:00,138.0,139.0,135.0,138.0,1100900
2026-09-03 00:00:00+07:00,138.0,138.0,135.0,136.0,1326400
2026-09-04 00:00:00+07:00,136.0,142.0,136.0,137.0,4277400
2026-09-07 00:00:00+07:00,139.0,139.0,136.0,136.0,862700
2026-09-08 00:00:00+07:00,137.0,140.0,137.0,139.0,1808600
2026-09-09 00:00:00+07:00,141.0,144.0,138.0,141.0,3242100
2026-09-10 00:00:00+07:00,141.0,144.0,138.0,138.0,6015100
2026-09-11 00:00:00+07:00,136.0,136.0,129.0,135.0,2885600
2026-09-14 00:00:00+07:00,135.0,136.0,132.0,135.0,1073100
2026-09-15 00:00:00+07:00,135.0,138.0,134.0,136.0,2662100
2026-09-16 00:00:00+07:00,135.0,148.0,133.0,136.0,25360800
2026-09-17 00:00:00+07:00,149.0,165.0,142.0,147.0,99069100
2026-09-18 00:00:00+07:00,147.0,148.0,140.0,142.0,8776200
2026-09-21 00:00:00+07:00,141.0,142.0,136.0,141.0,7512600
2026-09-22 00:00:00+07:00,143.0,147.0,137.0,137.0,6120100
2026-09-23 00:00:00+07:00,137.0,146.0,136.0,146.0,6286800
2026-09-24 00:00:00+07:00,146.0,147.0,141.0,143.0,2563400
