Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,755.0,765.0,750.0,765.0,30900
2026-02-27 00:00:00+07:00,765.0,765.0,755.0,765.0,6100
2026-03-02 00:00:00+07:00,750.0,750.0,735.0,750.0,105200
2026-03-03 00:00:00+07:00,745.0,755.0,720.0,740.0,35400
2026-03-04 00:00:00+07:00,725.0,730.0,700.0,720.0,50700
2026-03-05 00:00:00+07:00,715.0,740.0,700.0,720.0,20200
2026-03-06 00:00:00+07:00,720.0,720.0,705.0,715.0,13800
2026-03-09 00:00:00+07:00,715.0,715.0,625.0,645.0,167300
2026-03-10 00:00:00+07:00,670.0,670.0,650.0,655.0,56200
2026-03-11 00:00:00+07:00,655.0,670.0,640.0,640.0,64900
2026-03-12 00:00:00+07:00,690.0,765.0,605.0,630.0,97400
2026-03-13 00:00:00+07:00,620.0,645.0,600.0,630.0,43300
2026-03-16 00:00:00+07:00,615.0,665.0,615.0,630.0,34100
2026-03-17 00:00:00+07:00,630.0,650.0,590.0,635.0,25200
2026-03-25 00:00:00+07:00,635.0,665.0,635.0,655.0,72200
2026-03-26 00:00:00+07:00,660.0,685.0,655.0,660.0,62200
2026-03-27 00:00:00+07:00,660.0,680.0,660.0,680.0,2200
2026-03-30 00:00:00+07:00,680.0,680.0,615.0,640.0,78300
2026-03-31 00:00:00+07:00,645.0,675.0,630.0,645.0,28700
2026-04-01 00:00:00+07:00,645.0,660.0,645.0,655.0,6000
2026-04-02 00:00:00+07:00,655.0,655.0,640.0,645.0,17100
2026-04-06 00:00:00+07:00,645.0,700.0,630.0,650.0,53300
2026-04-07 00:00:00+07:00,650.0,650.0,600.0,605.0,201700
2026-04-08 00:00:00+07:00,630.0,630.0,605.0,610.0,62500
2026-04-09 00:00:00+07:00,615.0,630.0,610.0,625.0,50600
2026-04-10 00:00:00+07:00,625.0,640.0,620.0,640.0,36300
2026-04-13 00:00:00+07:00,630.0,650.0,630.0,645.0,79400
2026-04-14 00:00:00+07:00,650.0,655.0,630.0,650.0,150900
2026-04-15 00:00:00+07:00,660.0,660.0,630.0,660.0,263200
2026-04-16 00:00:00+07:00,660.0,670.0,640.0,640.0,62500
2026-04-17 00:00:00+07:00,640.0,650.0,640.0,650.0,54800
2026-04-20 00:00:00+07:00,650.0,670.0,650.0,655.0,73500
2026-04-21 00:00:00+07:00,645.0,655.0,645.0,650.0,18700
2026-04-22 00:00:00+07:00,650.0,675.0,635.0,640.0,82000
2026-04-23 00:00:00+07:00,645.0,655.0,635.0,640.0,83400
2026-04-24 00:00:00+07:00,640.0,640.0,615.0,635.0,76500
2026-04-27 00:00:00+07:00,635.0,645.0,625.0,645.0,62100
2026-04-28 00:00:00+07:00,640.0,645.0,635.0,640.0,102200
2026-04-29 00:00:00+07:00,645.0,650.0,640.0,650.0,40900
2026-04-30 00:00:00+07:00,650.0,650.0,635.0,645.0,30000
2026-05-04 00:00:00+07:00,645.0,645.0,630.0,640.0,20900
2026-05-05 00:00:00+07:00,640.0,645.0,630.0,635.0,28100
2026-05-06 00:00:00+07:00,635.0,635.0,625.0,635.0,15100
