Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,91.0,92.0,90.0,92.0,1009400
2026-03-02 00:00:00+07:00,90.0,90.0,83.0,86.0,6822600
2026-03-03 00:00:00+07:00,86.0,88.0,85.0,87.0,1043800
2026-03-04 00:00:00+07:00,86.0,86.0,79.0,80.0,1866600
2026-03-05 00:00:00+07:00,82.0,84.0,80.0,82.0,3606200
2026-03-06 00:00:00+07:00,82.0,84.0,78.0,80.0,2913400
2026-03-09 00:00:00+07:00,79.0,80.0,72.0,78.0,3616500
2026-03-10 00:00:00+07:00,79.0,80.0,74.0,79.0,1549900
2026-03-11 00:00:00+07:00,79.0,79.0,77.0,78.0,1626800
2026-03-12 00:00:00+07:00,78.0,78.0,73.0,76.0,1719100
2026-03-13 00:00:00+07:00,77.0,77.0,73.0,74.0,1129500
2026-03-16 00:00:00+07:00,73.0,77.0,72.0,77.0,1335500
2026-03-17 00:00:00+07:00,77.0,80.0,73.0,80.0,1510600
2026-03-25 00:00:00+07:00,76.0,79.0,75.0,79.0,1537100
2026-03-26 00:00:00+07:00,79.0,79.0,75.0,77.0,1138400
2026-03-27 00:00:00+07:00,77.0,77.0,74.0,75.0,1206500
2026-03-30 00:00:00+07:00,75.0,81.0,74.0,75.0,1329400
2026-03-31 00:00:00+07:00,75.0,77.0,74.0,75.0,991200
2026-04-01 00:00:00+07:00,75.0,77.0,73.0,74.0,3025200
2026-04-02 00:00:00+07:00,75.0,79.0,72.0,73.0,3285700
2026-04-06 00:00:00+07:00,73.0,73.0,67.0,70.0,2708000
2026-04-07 00:00:00+07:00,69.0,70.0,66.0,68.0,1318700
2026-04-08 00:00:00+07:00,68.0,70.0,67.0,70.0,1658200
2026-04-09 00:00:00+07:00,69.0,70.0,67.0,70.0,1249000
2026-04-10 00:00:00+07:00,69.0,83.0,68.0,74.0,37208800
2026-04-13 00:00:00+07:00,75.0,75.0,71.0,74.0,4922400
2026-04-14 00:00:00+07:00,74.0,76.0,73.0,74.0,3179900
2026-04-15 00:00:00+07:00,73.0,74.0,71.0,73.0,5781600
2026-04-16 00:00:00+07:00,76.0,97.0,76.0,84.0,193040100
2026-04-17 00:00:00+07:00,84.0,84.0,77.0,80.0,32888600
2026-04-20 00:00:00+07:00,80.0,91.0,78.0,83.0,68642500
2026-04-21 00:00:00+07:00,83.0,104.0,80.0,91.0,269061400
2026-04-22 00:00:00+07:00,93.0,98.0,85.0,90.0,99822200
2026-04-23 00:00:00+07:00,90.0,93.0,84.0,85.0,19807800
2026-04-24 00:00:00+07:00,85.0,90.0,83.0,84.0,19358700
2026-04-27 00:00:00+07:00,85.0,86.0,81.0,82.0,8402600
2026-04-28 00:00:00+07:00,82.0,86.0,81.0,82.0,9197200
2026-04-29 00:00:00+07:00,83.0,86.0,81.0,82.0,11887300
2026-04-30 00:00:00+07:00,83.0,83.0,77.0,79.0,11234100
2026-05-04 00:00:00+07:00,79.0,81.0,77.0,79.0,4648500
2026-05-05 00:00:00+07:00,79.0,81.0,76.0,78.0,7953500
2026-05-06 00:00:00+07:00,78.0,80.0,76.0,78.0,6383400
2026-05-07 00:00:00+07:00,78.0,86.0,77.0,80.0,26926300
2026-05-08 00:00:00+07:00,80.0,82.0,76.0,76.0,8306100
2026-05-11 00:00:00+07:00,78.0,78.0,72.0,72.0,7781700
2026-05-12 00:00:00+07:00,75.0,87.0,75.0,79.0,95119400
2026-05-13 00:00:00+07:00,80.0,80.0,76.0,76.0,9982900
2026-05-14 00:00:00+07:00,76.0,76.0,76.0,76.0,0
2026-05-15 00:00:00+07:00,76.0,76.0,76.0,76.0,0
2026-05-18 00:00:00+07:00,76.0,77.0,71.0,73.0,7766900
2026-05-19 00:00:00+07:00,73.0,74.0,68.0,70.0,7414300
2026-05-20 00:00:00+07:00,70.0,71.0,66.0,68.0,3612900
2026-05-21 00:00:00+07:00,68.0,70.0,61.0,64.0,5041200
2026-05-22 00:00:00+07:00,64.0,66.0,60.0,66.0,1610100
2026-05-25 00:00:00+07:00,71.0,71.0,61.0,66.0,3276600
2026-05-26 00:00:00+07:00,68.0,69.0,64.0,65.0,2006400
2026-05-27 00:00:00+07:00,65.0,65.0,65.0,65.0,0
2026-05-28 00:00:00+07:00,65.0,65.0,65.0,65.0,0
2026-05-29 00:00:00+07:00,65.0,67.0,64.0,64.0,1049700
2026-06-02 00:00:00+07:00,64.0,67.0,63.0,64.0,1838700
2026-06-03 00:00:00+07:00,64.0,65.0,58.0,62.0,5904200
2026-06-04 00:00:00+07:00,61.0,62.0,55.0,58.0,2921200
2026-06-05 00:00:00+07:00,58.0,58.0,53.0,56.0,2089800
2026-06-08 00:00:00+07:00,55.0,55.0,51.0,53.0,3491100
2026-06-09 00:00:00+07:00,53.0,59.0,51.0,57.0,3749100
2026-06-10 00:00:00+07:00,57.0,58.0,54.0,57.0,6012200
2026-06-11 00:00:00+07:00,57.0,58.0,54.0,56.0,2139300
2026-06-12 00:00:00+07:00,55.0,57.0,53.0,55.0,14020700
2026-06-15 00:00:00+07:00,55.0,61.0,55.0,56.0,16400000
2026-06-17 00:00:00+07:00,57.0,58.0,56.0,56.0,1272700
2026-06-18 00:00:00+07:00,56.0,59.0,55.0,56.0,4486400
2026-06-19 00:00:00+07:00,57.0,58.0,56.0,57.0,2547900
2026-06-22 00:00:00+07:00,57.0,75.0,57.0,71.0,113891900
2026-06-23 00:00:00+07:00,73.0,74.0,64.0,64.0,22963100
2026-06-24 00:00:00+07:00,66.0,80.0,64.0,68.0,148904900
2026-06-25 00:00:00+07:00,70.0,78.0,64.0,70.0,75582700
2026-06-26 00:00:00+07:00,70.0,80.0,68.0,69.0,53844000
2026-06-29 00:00:00+07:00,70.0,70.0,65.0,67.0,7801100
2026-06-30 00:00:00+07:00,68.0,79.0,68.0,71.0,74659100
2026-07-01 00:00:00+07:00,71.0,71.0,68.0,68.0,11698100
2026-07-02 00:00:00+07:00,69.0,70.0,67.0,69.0,6634100
2026-07-03 00:00:00+07:00,69.0,70.0,67.0,68.0,6265700
2026-07-06 00:00:00+07:00,69.0,74.0,68.0,71.0,17749200
2026-07-07 00:00:00+07:00,71.0,73.0,70.0,72.0,8232300
2026-07-08 00:00:00+07:00,72.0,73.0,69.0,69.0,6480500
2026-07-09 00:00:00+07:00,70.0,70.0,65.0,66.0,7122000
2026-07-10 00:00:00+07:00,67.0,70.0,67.0,67.0,3067600
2026-07-13 00:00:00+07:00,66.0,70.0,66.0,69.0,5311200
2026-07-14 00:00:00+07:00,70.0,72.0,68.0,71.0,9009500
2026-07-15 00:00:00+07:00,71.0,71.0,69.0,70.0,2366600
2026-07-16 00:00:00+07:00,70.0,72.0,68.0,70.0,6752700
2026-07-17 00:00:00+07:00,70.0,71.0,69.0,70.0,2186100
2026-07-20 00:00:00+07:00,70.0,73.0,69.0,71.0,3600500
2026-07-21 00:00:00+07:00,71.0,72.0,70.0,71.0,4950100
2026-07-22 00:00:00+07:00,71.0,73.0,70.0,70.0,7878400
2026-07-23 00:00:00+07:00,70.0,72.0,70.0,70.0,10302900
2026-07-24 00:00:00+07:00,70.0,70.0,67.0,69.0,4489600
2026-07-27 00:00:00+07:00,69.0,78.0,68.0,70.0,88729400
2026-07-28 00:00:00+07:00,72.0,72.0,69.0,69.0,10212900
2026-07-29 00:00:00+07:00,69.0,70.0,66.0,66.0,8725400
2026-07-30 00:00:00+07:00,66.0,69.0,66.0,69.0,3002800
2026-07-31 00:00:00+07:00,69.0,71.0,68.0,69.0,3112800
2026-08-03 00:00:00+07:00,73.0,78.0,70.0,71.0,41359900
2026-08-04 00:00:00+07:00,72.0,75.0,70.0,72.0,10829200
2026-08-05 00:00:00+07:00,75.0,94.0,74.0,83.0,313823100
2026-08-06 00:00:00+07:00,83.0,83.0,78.0,81.0,29515900
2026-08-07 00:00:00+07:00,81.0,82.0,80.0,81.0,8114100
2026-08-10 00:00:00+07:00,81.0,82.0,79.0,80.0,9229200
