Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,85.0,86.0,78.0,79.0,15520200
2026-02-27 00:00:00+07:00,79.0,81.0,76.0,79.0,5815500
2026-03-02 00:00:00+07:00,75.0,78.0,70.0,73.0,15778400
2026-03-03 00:00:00+07:00,73.0,74.0,70.0,74.0,5390000
2026-03-04 00:00:00+07:00,75.0,75.0,68.0,69.0,7613900
2026-03-05 00:00:00+07:00,73.0,74.0,70.0,72.0,2375800
2026-03-06 00:00:00+07:00,71.0,72.0,67.0,70.0,3748300
2026-03-09 00:00:00+07:00,66.0,67.0,61.0,63.0,5601600
2026-03-10 00:00:00+07:00,65.0,76.0,65.0,68.0,15543700
2026-03-11 00:00:00+07:00,69.0,71.0,64.0,66.0,15863900
2026-03-12 00:00:00+07:00,65.0,68.0,63.0,63.0,6636100
2026-03-13 00:00:00+07:00,63.0,63.0,58.0,60.0,4348100
2026-03-16 00:00:00+07:00,60.0,60.0,54.0,57.0,4121100
2026-03-17 00:00:00+07:00,56.0,63.0,56.0,58.0,8486500
2026-03-25 00:00:00+07:00,58.0,64.0,56.0,62.0,5900900
2026-03-26 00:00:00+07:00,61.0,69.0,60.0,61.0,11755100
2026-03-27 00:00:00+07:00,61.0,63.0,59.0,62.0,3864900
2026-03-30 00:00:00+07:00,60.0,62.0,60.0,61.0,2735000
2026-03-31 00:00:00+07:00,62.0,63.0,60.0,60.0,1784400
2026-04-01 00:00:00+07:00,61.0,79.0,61.0,65.0,204462500
2026-04-02 00:00:00+07:00,66.0,74.0,62.0,67.0,68337800
2026-04-06 00:00:00+07:00,68.0,90.0,68.0,84.0,482143600
2026-04-07 00:00:00+07:00,88.0,110.0,88.0,106.0,1012822900
2026-04-08 00:00:00+07:00,105.0,112.0,91.0,94.0,342699300
2026-04-09 00:00:00+07:00,96.0,111.0,95.0,105.0,610341600
2026-04-10 00:00:00+07:00,107.0,113.0,100.0,102.0,276457800
2026-04-13 00:00:00+07:00,106.0,116.0,105.0,111.0,475910400
2026-04-14 00:00:00+07:00,112.0,114.0,102.0,108.0,139965600
2026-04-15 00:00:00+07:00,108.0,113.0,100.0,105.0,230421100
2026-04-16 00:00:00+07:00,106.0,106.0,101.0,102.0,32945300
2026-04-17 00:00:00+07:00,104.0,104.0,93.0,93.0,84279700
2026-04-20 00:00:00+07:00,95.0,99.0,92.0,93.0,46404100
2026-04-21 00:00:00+07:00,94.0,95.0,88.0,94.0,38202400
2026-04-22 00:00:00+07:00,95.0,97.0,93.0,95.0,33711300
2026-04-23 00:00:00+07:00,96.0,96.0,91.0,92.0,17923800
2026-04-24 00:00:00+07:00,91.0,92.0,87.0,88.0,17850600
2026-04-27 00:00:00+07:00,98.0,118.0,96.0,118.0,899890600
2026-04-28 00:00:00+07:00,130.0,159.0,129.0,159.0,1731529700
2026-04-29 00:00:00+07:00,170.0,210.0,160.0,163.0,1912829400
2026-04-30 00:00:00+07:00,165.0,202.0,147.0,174.0,1466179400
2026-05-04 00:00:00+07:00,185.0,195.0,159.0,165.0,430551500
2026-05-05 00:00:00+07:00,167.0,174.0,154.0,164.0,207179700
2026-05-06 00:00:00+07:00,164.0,165.0,148.0,164.0,116309800
2026-05-07 00:00:00+07:00,170.0,220.0,160.0,220.0,1621641200
2026-05-08 00:00:00+07:00,232.0,238.0,187.0,187.0,773540200
2026-05-11 00:00:00+07:00,172.0,206.0,159.0,192.0,1585707000
2026-05-12 00:00:00+07:00,193.0,199.0,177.0,178.0,521005500
2026-05-13 00:00:00+07:00,175.0,184.0,152.0,165.0,165796000
2026-05-14 00:00:00+07:00,165.0,165.0,165.0,165.0,0
2026-05-15 00:00:00+07:00,165.0,165.0,165.0,165.0,0
2026-05-18 00:00:00+07:00,162.0,174.0,153.0,166.0,108602700
2026-05-19 00:00:00+07:00,170.0,175.0,145.0,155.0,194338000
2026-05-20 00:00:00+07:00,153.0,156.0,141.0,147.0,70538200
2026-05-21 00:00:00+07:00,147.0,148.0,125.0,125.0,76794400
2026-05-22 00:00:00+07:00,125.0,153.0,117.0,135.0,293562000
2026-05-25 00:00:00+07:00,137.0,147.0,134.0,137.0,88553500
2026-05-26 00:00:00+07:00,139.0,139.0,126.0,127.0,37588100
2026-05-27 00:00:00+07:00,127.0,127.0,127.0,127.0,0
2026-05-28 00:00:00+07:00,127.0,127.0,127.0,127.0,0
2026-05-29 00:00:00+07:00,125.0,134.0,123.0,130.0,32223200
2026-06-02 00:00:00+07:00,130.0,137.0,127.0,129.0,37583200
2026-06-03 00:00:00+07:00,129.0,130.0,110.0,111.0,35397200
2026-06-04 00:00:00+07:00,111.0,111.0,95.0,104.0,25542400
2026-06-05 00:00:00+07:00,107.0,110.0,94.0,97.0,15572200
