Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,163.0,170.0,151.0,160.0,1739300
2026-02-27 00:00:00+07:00,160.0,167.0,150.0,159.0,888400
2026-03-02 00:00:00+07:00,154.0,154.0,144.0,144.0,4979300
2026-03-03 00:00:00+07:00,135.0,142.0,131.0,138.0,970900
2026-03-04 00:00:00+07:00,141.0,141.0,126.0,129.0,685700
2026-03-05 00:00:00+07:00,128.0,137.0,128.0,136.0,509400
2026-03-06 00:00:00+07:00,132.0,149.0,130.0,149.0,1362100
2026-03-09 00:00:00+07:00,149.0,152.0,135.0,135.0,1628800
2026-03-10 00:00:00+07:00,135.0,146.0,135.0,144.0,525800
2026-03-11 00:00:00+07:00,145.0,157.0,141.0,148.0,1319700
2026-03-12 00:00:00+07:00,149.0,158.0,147.0,148.0,1666900
2026-03-13 00:00:00+07:00,148.0,156.0,138.0,145.0,477200
2026-03-16 00:00:00+07:00,142.0,143.0,132.0,134.0,788100
2026-03-17 00:00:00+07:00,134.0,146.0,134.0,138.0,1390400
2026-03-25 00:00:00+07:00,133.0,140.0,127.0,136.0,378600
2026-03-26 00:00:00+07:00,131.0,146.0,131.0,136.0,208000
2026-03-27 00:00:00+07:00,137.0,140.0,134.0,134.0,209900
2026-03-30 00:00:00+07:00,125.0,141.0,125.0,137.0,780800
2026-03-31 00:00:00+07:00,137.0,143.0,129.0,130.0,649200
2026-04-01 00:00:00+07:00,136.0,140.0,131.0,135.0,523200
2026-04-02 00:00:00+07:00,135.0,135.0,134.0,134.0,311600
2026-04-06 00:00:00+07:00,134.0,134.0,132.0,132.0,113900
2026-04-07 00:00:00+07:00,137.0,145.0,135.0,145.0,1470400
2026-04-08 00:00:00+07:00,144.0,159.0,144.0,151.0,2735900
2026-04-09 00:00:00+07:00,159.0,159.0,147.0,147.0,981300
2026-04-10 00:00:00+07:00,147.0,150.0,141.0,145.0,995300
2026-04-13 00:00:00+07:00,145.0,150.0,137.0,141.0,473000
2026-04-14 00:00:00+07:00,143.0,155.0,141.0,155.0,3078200
2026-04-15 00:00:00+07:00,158.0,159.0,147.0,156.0,1055300
2026-04-16 00:00:00+07:00,155.0,158.0,150.0,151.0,1199200
2026-04-17 00:00:00+07:00,151.0,163.0,150.0,158.0,1523200
2026-04-20 00:00:00+07:00,158.0,170.0,157.0,165.0,2620500
2026-04-21 00:00:00+07:00,165.0,168.0,154.0,168.0,7142200
2026-04-22 00:00:00+07:00,173.0,177.0,166.0,171.0,2366100
2026-04-23 00:00:00+07:00,171.0,171.0,165.0,165.0,511700
2026-04-24 00:00:00+07:00,164.0,169.0,154.0,159.0,526900
2026-04-27 00:00:00+07:00,159.0,167.0,154.0,162.0,1104200
2026-04-28 00:00:00+07:00,166.0,167.0,160.0,162.0,2094800
2026-04-29 00:00:00+07:00,162.0,178.0,162.0,175.0,2984000
2026-04-30 00:00:00+07:00,175.0,179.0,164.0,178.0,1214900
2026-05-04 00:00:00+07:00,178.0,186.0,171.0,176.0,601600
2026-05-05 00:00:00+07:00,172.0,179.0,172.0,178.0,1171300
2026-05-06 00:00:00+07:00,176.0,178.0,173.0,175.0,350800
2026-05-07 00:00:00+07:00,173.0,176.0,162.0,175.0,202900
2026-05-08 00:00:00+07:00,175.0,175.0,166.0,170.0,278700
2026-05-11 00:00:00+07:00,168.0,174.0,166.0,168.0,1186500
2026-05-12 00:00:00+07:00,168.0,174.0,154.0,170.0,829500
2026-05-13 00:00:00+07:00,160.0,178.0,157.0,170.0,445600
2026-05-14 00:00:00+07:00,170.0,170.0,170.0,170.0,0
2026-05-15 00:00:00+07:00,170.0,170.0,170.0,170.0,0
2026-05-18 00:00:00+07:00,160.0,170.0,157.0,162.0,447600
2026-05-19 00:00:00+07:00,161.0,170.0,150.0,151.0,2668200
2026-05-20 00:00:00+07:00,150.0,159.0,150.0,152.0,559300
2026-05-21 00:00:00+07:00,158.0,158.0,150.0,150.0,811900
2026-05-22 00:00:00+07:00,149.0,149.0,138.0,149.0,1152700
2026-05-25 00:00:00+07:00,149.0,149.0,141.0,145.0,474300
2026-05-26 00:00:00+07:00,146.0,146.0,142.0,144.0,36400
2026-05-27 00:00:00+07:00,144.0,144.0,144.0,144.0,0
2026-05-28 00:00:00+07:00,144.0,144.0,144.0,144.0,0
2026-05-29 00:00:00+07:00,144.0,158.0,144.0,154.0,782200
2026-06-02 00:00:00+07:00,155.0,165.0,146.0,164.0,2021400
2026-06-03 00:00:00+07:00,163.0,164.0,148.0,154.0,464200
2026-06-04 00:00:00+07:00,154.0,154.0,142.0,142.0,1630100
2026-06-05 00:00:00+07:00,142.0,155.0,132.0,149.0,1628900
2026-06-08 00:00:00+07:00,149.0,149.0,135.0,135.0,429800
2026-06-09 00:00:00+07:00,134.0,134.0,122.0,122.0,764800
2026-06-10 00:00:00+07:00,122.0,130.0,110.0,110.0,3901100
2026-06-11 00:00:00+07:00,110.0,110.0,99.0,99.0,5426900
2026-06-12 00:00:00+07:00,90.0,98.0,90.0,92.0,26948300
2026-06-15 00:00:00+07:00,92.0,97.0,83.0,87.0,13661500
2026-06-17 00:00:00+07:00,87.0,94.0,86.0,89.0,11659200
2026-06-18 00:00:00+07:00,89.0,92.0,87.0,89.0,2222500
2026-06-19 00:00:00+07:00,89.0,89.0,87.0,88.0,1250700
2026-06-22 00:00:00+07:00,83.0,89.0,80.0,80.0,6166100
2026-06-23 00:00:00+07:00,81.0,82.0,72.0,72.0,9782700
2026-06-24 00:00:00+07:00,72.0,72.0,72.0,72.0,0
2026-06-25 00:00:00+07:00,65.0,74.0,65.0,72.0,2828000
2026-06-26 00:00:00+07:00,72.0,72.0,65.0,69.0,4487700
2026-06-29 00:00:00+07:00,70.0,70.0,63.0,63.0,6412800
2026-06-30 00:00:00+07:00,62.0,63.0,57.0,58.0,4628000
2026-07-01 00:00:00+07:00,58.0,58.0,53.0,55.0,4161400
2026-07-02 00:00:00+07:00,55.0,56.0,50.0,52.0,6331300
2026-07-03 00:00:00+07:00,52.0,52.0,52.0,52.0,0
