Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,494.0,496.0,484.0,486.0,2180600
2026-02-27 00:00:00+07:00,484.0,488.0,482.0,484.0,443200
2026-03-02 00:00:00+07:00,476.0,482.0,470.0,470.0,2242100
2026-03-03 00:00:00+07:00,468.0,470.0,466.0,468.0,941400
2026-03-04 00:00:00+07:00,468.0,482.0,462.0,462.0,1715400
2026-03-05 00:00:00+07:00,462.0,484.0,462.0,464.0,999100
2026-03-06 00:00:00+07:00,466.0,476.0,464.0,468.0,2394200
2026-03-09 00:00:00+07:00,468.0,488.0,464.0,476.0,4550200
2026-03-10 00:00:00+07:00,480.0,486.0,480.0,482.0,1480100
2026-03-11 00:00:00+07:00,482.0,486.0,478.0,478.0,1953900
2026-03-12 00:00:00+07:00,480.0,496.0,480.0,484.0,2786300
2026-03-13 00:00:00+07:00,484.0,494.0,472.0,490.0,4610400
2026-03-16 00:00:00+07:00,490.0,492.0,474.0,474.0,4981600
2026-03-17 00:00:00+07:00,486.0,515.0,480.0,505.0,9639200
2026-03-25 00:00:00+07:00,510.0,540.0,510.0,540.0,6351000
2026-03-26 00:00:00+07:00,540.0,555.0,530.0,530.0,6005400
2026-03-27 00:00:00+07:00,535.0,590.0,535.0,560.0,19041500
2026-03-30 00:00:00+07:00,560.0,610.0,550.0,600.0,14629000
2026-03-31 00:00:00+07:00,605.0,670.0,600.0,670.0,29421900
2026-04-01 00:00:00+07:00,670.0,695.0,650.0,650.0,18723500
2026-04-02 00:00:00+07:00,670.0,675.0,625.0,645.0,10721200
2026-04-06 00:00:00+07:00,645.0,805.0,630.0,805.0,75323800
2026-04-07 00:00:00+07:00,840.0,965.0,725.0,740.0,169827500
2026-04-08 00:00:00+07:00,755.0,815.0,735.0,805.0,42409200
2026-04-09 00:00:00+07:00,805.0,895.0,790.0,860.0,68078400
2026-04-10 00:00:00+07:00,870.0,925.0,830.0,855.0,66900000
2026-04-13 00:00:00+07:00,865.0,1045.0,860.0,980.0,112050200
2026-04-14 00:00:00+07:00,1000.0,1025.0,950.0,975.0,43568500
2026-04-15 00:00:00+07:00,975.0,980.0,885.0,920.0,37867100
2026-04-16 00:00:00+07:00,925.0,945.0,890.0,920.0,13827900
2026-04-17 00:00:00+07:00,930.0,965.0,905.0,950.0,22679200
2026-04-20 00:00:00+07:00,960.0,985.0,930.0,930.0,11214300
2026-04-21 00:00:00+07:00,930.0,945.0,915.0,940.0,6595800
2026-04-22 00:00:00+07:00,940.0,955.0,915.0,945.0,7335400
2026-04-23 00:00:00+07:00,955.0,1020.0,930.0,940.0,30207800
2026-04-24 00:00:00+07:00,940.0,1020.0,860.0,860.0,54445400
2026-04-27 00:00:00+07:00,860.0,970.0,860.0,965.0,31292600
2026-04-28 00:00:00+07:00,965.0,975.0,900.0,905.0,21561000
2026-04-29 00:00:00+07:00,915.0,1050.0,910.0,945.0,69721100
2026-04-30 00:00:00+07:00,965.0,975.0,905.0,935.0,17559600
2026-05-04 00:00:00+07:00,955.0,960.0,900.0,900.0,17794500
2026-05-05 00:00:00+07:00,900.0,930.0,885.0,920.0,9350900
