Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,122.0,125.0,113.0,116.0,84412100
2026-02-27 00:00:00+07:00,118.0,119.0,109.0,111.0,17105100
2026-03-02 00:00:00+07:00,101.0,107.0,96.0,101.0,23437300
2026-03-03 00:00:00+07:00,102.0,107.0,101.0,104.0,14723500
2026-03-04 00:00:00+07:00,104.0,104.0,96.0,97.0,13785300
2026-03-05 00:00:00+07:00,99.0,102.0,97.0,99.0,6876600
2026-03-06 00:00:00+07:00,100.0,100.0,96.0,97.0,3613100
2026-03-09 00:00:00+07:00,95.0,95.0,85.0,92.0,9720700
2026-03-10 00:00:00+07:00,94.0,96.0,92.0,94.0,6204600
2026-03-11 00:00:00+07:00,95.0,98.0,93.0,93.0,3011000
2026-03-12 00:00:00+07:00,92.0,95.0,90.0,91.0,2833100
2026-03-13 00:00:00+07:00,91.0,91.0,86.0,87.0,3524900
2026-03-16 00:00:00+07:00,86.0,86.0,78.0,80.0,13890500
2026-03-17 00:00:00+07:00,80.0,103.0,80.0,83.0,154530300
2026-03-25 00:00:00+07:00,83.0,87.0,79.0,86.0,14254500
2026-03-26 00:00:00+07:00,90.0,98.0,87.0,89.0,23201800
2026-03-27 00:00:00+07:00,89.0,90.0,87.0,88.0,4146600
2026-03-30 00:00:00+07:00,88.0,92.0,86.0,90.0,5676600
2026-03-31 00:00:00+07:00,91.0,94.0,89.0,90.0,8181100
2026-04-01 00:00:00+07:00,90.0,93.0,90.0,92.0,9048400
2026-04-02 00:00:00+07:00,90.0,92.0,89.0,90.0,6983800
2026-04-06 00:00:00+07:00,89.0,92.0,86.0,88.0,3090300
2026-04-07 00:00:00+07:00,88.0,94.0,88.0,89.0,16698400
2026-04-08 00:00:00+07:00,89.0,94.0,89.0,93.0,8163200
2026-04-09 00:00:00+07:00,91.0,93.0,90.0,91.0,4637100
2026-04-10 00:00:00+07:00,92.0,94.0,89.0,92.0,8229900
2026-04-13 00:00:00+07:00,92.0,109.0,90.0,101.0,155238300
2026-04-14 00:00:00+07:00,103.0,104.0,98.0,101.0,27667100
2026-04-15 00:00:00+07:00,103.0,112.0,101.0,107.0,106212300
2026-04-16 00:00:00+07:00,107.0,116.0,104.0,107.0,73724600
2026-04-17 00:00:00+07:00,108.0,109.0,102.0,105.0,9303900
2026-04-20 00:00:00+07:00,105.0,106.0,102.0,104.0,6455200
2026-04-21 00:00:00+07:00,104.0,106.0,103.0,105.0,8714200
2026-04-22 00:00:00+07:00,106.0,109.0,105.0,105.0,10147800
2026-04-23 00:00:00+07:00,108.0,108.0,103.0,104.0,5906800
2026-04-24 00:00:00+07:00,104.0,104.0,94.0,94.0,6664300
2026-04-27 00:00:00+07:00,95.0,100.0,95.0,98.0,4547700
2026-04-28 00:00:00+07:00,100.0,102.0,98.0,101.0,5705100
2026-04-29 00:00:00+07:00,102.0,103.0,98.0,101.0,4544200
2026-04-30 00:00:00+07:00,101.0,101.0,94.0,98.0,2866300
2026-05-04 00:00:00+07:00,100.0,104.0,98.0,99.0,5080400
2026-05-05 00:00:00+07:00,99.0,102.0,98.0,100.0,5444700
2026-05-06 00:00:00+07:00,100.0,108.0,99.0,106.0,52226800
2026-05-07 00:00:00+07:00,106.0,107.0,101.0,102.0,9370100
2026-05-08 00:00:00+07:00,103.0,103.0,98.0,98.0,6193200
2026-05-11 00:00:00+07:00,96.0,101.0,94.0,97.0,7228400
2026-05-12 00:00:00+07:00,97.0,99.0,95.0,96.0,4481000
2026-05-13 00:00:00+07:00,95.0,98.0,94.0,96.0,3115100
2026-05-14 00:00:00+07:00,96.0,96.0,96.0,96.0,0
2026-05-15 00:00:00+07:00,96.0,96.0,96.0,96.0,0
2026-05-18 00:00:00+07:00,95.0,95.0,89.0,91.0,7248200
2026-05-19 00:00:00+07:00,92.0,92.0,83.0,84.0,4629900
2026-05-20 00:00:00+07:00,84.0,106.0,81.0,86.0,68738200
2026-05-21 00:00:00+07:00,87.0,88.0,75.0,79.0,12830500
2026-05-22 00:00:00+07:00,79.0,82.0,76.0,80.0,5493600
2026-05-25 00:00:00+07:00,80.0,83.0,79.0,79.0,4590700
2026-05-26 00:00:00+07:00,79.0,99.0,79.0,84.0,143493000
2026-05-27 00:00:00+07:00,84.0,84.0,84.0,84.0,0
2026-05-28 00:00:00+07:00,84.0,84.0,84.0,84.0,0
2026-05-29 00:00:00+07:00,82.0,85.0,80.0,83.0,9784600
2026-06-02 00:00:00+07:00,83.0,84.0,80.0,82.0,6300700
2026-06-03 00:00:00+07:00,82.0,83.0,78.0,78.0,7269400
2026-06-04 00:00:00+07:00,79.0,80.0,75.0,78.0,6773800
2026-06-05 00:00:00+07:00,79.0,82.0,68.0,71.0,6980000
2026-06-08 00:00:00+07:00,71.0,80.0,62.0,63.0,41458800
2026-06-09 00:00:00+07:00,63.0,82.0,63.0,67.0,50671300
2026-06-10 00:00:00+07:00,68.0,71.0,65.0,69.0,10421400
2026-06-11 00:00:00+07:00,69.0,72.0,67.0,69.0,4147100
2026-06-12 00:00:00+07:00,69.0,75.0,69.0,72.0,12352600
2026-06-15 00:00:00+07:00,75.0,78.0,72.0,73.0,7957500
2026-06-17 00:00:00+07:00,74.0,78.0,74.0,76.0,7272400
2026-06-18 00:00:00+07:00,78.0,78.0,73.0,74.0,2199400
2026-06-19 00:00:00+07:00,75.0,76.0,74.0,74.0,2078900
2026-06-22 00:00:00+07:00,74.0,81.0,74.0,74.0,16043200
2026-06-23 00:00:00+07:00,74.0,74.0,71.0,72.0,3752600
2026-06-24 00:00:00+07:00,73.0,77.0,71.0,71.0,14076600
2026-06-25 00:00:00+07:00,72.0,74.0,71.0,72.0,2559600
2026-06-26 00:00:00+07:00,73.0,74.0,71.0,72.0,1351100
2026-06-29 00:00:00+07:00,72.0,72.0,70.0,70.0,1578500
2026-06-30 00:00:00+07:00,71.0,72.0,68.0,68.0,2415200
2026-07-01 00:00:00+07:00,68.0,73.0,68.0,70.0,3477300
2026-07-02 00:00:00+07:00,69.0,73.0,69.0,69.0,2790000
2026-07-03 00:00:00+07:00,69.0,72.0,69.0,71.0,2348600
2026-07-06 00:00:00+07:00,71.0,77.0,71.0,73.0,10014000
2026-07-07 00:00:00+07:00,73.0,76.0,72.0,75.0,4867600
2026-07-08 00:00:00+07:00,76.0,96.0,73.0,81.0,262532900
2026-07-09 00:00:00+07:00,82.0,83.0,76.0,78.0,17993400
2026-07-10 00:00:00+07:00,79.0,86.0,77.0,78.0,19784400
2026-07-13 00:00:00+07:00,78.0,85.0,77.0,79.0,25919300
2026-07-14 00:00:00+07:00,80.0,92.0,80.0,85.0,125463700
2026-07-15 00:00:00+07:00,85.0,90.0,83.0,84.0,22674000
2026-07-16 00:00:00+07:00,84.0,89.0,83.0,86.0,31708400
2026-07-17 00:00:00+07:00,86.0,87.0,82.0,85.0,5793700
2026-07-20 00:00:00+07:00,86.0,86.0,84.0,85.0,4832500
2026-07-21 00:00:00+07:00,85.0,87.0,85.0,86.0,6669400
2026-07-22 00:00:00+07:00,86.0,93.0,85.0,89.0,30395700
2026-07-23 00:00:00+07:00,89.0,90.0,85.0,86.0,13608400
2026-07-24 00:00:00+07:00,87.0,87.0,79.0,82.0,7554200
2026-07-27 00:00:00+07:00,81.0,83.0,79.0,83.0,3740500
2026-07-28 00:00:00+07:00,83.0,86.0,82.0,83.0,3967200
2026-07-29 00:00:00+07:00,83.0,84.0,80.0,81.0,3030500
2026-07-30 00:00:00+07:00,82.0,86.0,81.0,84.0,5590000
2026-07-31 00:00:00+07:00,85.0,88.0,83.0,84.0,9528300
2026-08-03 00:00:00+07:00,88.0,91.0,84.0,86.0,23294100
2026-08-04 00:00:00+07:00,86.0,89.0,85.0,86.0,10177000
2026-08-05 00:00:00+07:00,87.0,89.0,86.0,87.0,9787900
2026-08-06 00:00:00+07:00,88.0,88.0,85.0,87.0,5183300
2026-08-07 00:00:00+07:00,87.0,88.0,86.0,87.0,3780700
2026-08-10 00:00:00+07:00,88.0,88.0,85.0,85.0,5344100
2026-08-11 00:00:00+07:00,85.0,96.0,82.0,87.0,80693200
2026-08-12 00:00:00+07:00,99.0,105.0,89.0,89.0,194924300
2026-08-13 00:00:00+07:00,90.0,91.0,86.0,89.0,17129500
2026-08-14 00:00:00+07:00,89.0,94.0,87.0,87.0,31564900
2026-08-18 00:00:00+07:00,87.0,90.0,85.0,87.0,24393100
2026-08-19 00:00:00+07:00,87.0,90.0,85.0,87.0,26402900
2026-08-20 00:00:00+07:00,87.0,88.0,86.0,86.0,7172300
2026-08-21 00:00:00+07:00,87.0,88.0,86.0,87.0,5351400
2026-08-24 00:00:00+07:00,87.0,88.0,86.0,87.0,3461200
2026-08-26 00:00:00+07:00,87.0,88.0,86.0,86.0,4694000
2026-08-27 00:00:00+07:00,85.0,98.0,84.0,95.0,69907600
2026-08-28 00:00:00+07:00,92.0,95.0,90.0,91.0,28528300
2026-08-31 00:00:00+07:00,91.0,95.0,89.0,91.0,24704500
2026-09-01 00:00:00+07:00,91.0,92.0,90.0,91.0,5545600
2026-09-02 00:00:00+07:00,91.0,92.0,90.0,90.0,4814400
2026-09-03 00:00:00+07:00,92.0,94.0,90.0,91.0,16750000
2026-09-04 00:00:00+07:00,90.0,92.0,90.0,90.0,3250100
2026-09-07 00:00:00+07:00,90.0,92.0,89.0,90.0,5152800
2026-09-08 00:00:00+07:00,91.0,103.0,90.0,93.0,125760200
2026-09-09 00:00:00+07:00,94.0,101.0,92.0,93.0,75136400
