Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,77.0,78.0,74.0,76.0,27994400
2026-03-02 00:00:00+07:00,73.0,74.0,69.0,70.0,26865100
2026-03-03 00:00:00+07:00,71.0,73.0,69.0,72.0,9713300
2026-03-04 00:00:00+07:00,72.0,72.0,66.0,67.0,18794700
2026-03-05 00:00:00+07:00,68.0,71.0,67.0,69.0,4652000
2026-03-06 00:00:00+07:00,68.0,69.0,66.0,68.0,5063900
2026-03-09 00:00:00+07:00,66.0,67.0,58.0,60.0,14768500
2026-03-10 00:00:00+07:00,61.0,63.0,60.0,61.0,7856000
2026-03-11 00:00:00+07:00,62.0,65.0,61.0,62.0,7440700
2026-03-12 00:00:00+07:00,64.0,65.0,61.0,62.0,6566000
2026-03-13 00:00:00+07:00,61.0,64.0,60.0,60.0,8921500
2026-03-16 00:00:00+07:00,61.0,61.0,52.0,57.0,12265800
2026-03-17 00:00:00+07:00,57.0,60.0,56.0,56.0,6799600
2026-03-25 00:00:00+07:00,56.0,59.0,55.0,58.0,4980200
2026-03-26 00:00:00+07:00,58.0,71.0,58.0,69.0,140459400
2026-03-27 00:00:00+07:00,69.0,70.0,61.0,62.0,40786500
2026-03-30 00:00:00+07:00,63.0,67.0,60.0,65.0,22249600
2026-03-31 00:00:00+07:00,67.0,67.0,62.0,63.0,8903600
2026-04-01 00:00:00+07:00,63.0,66.0,62.0,63.0,13713800
2026-04-02 00:00:00+07:00,63.0,71.0,63.0,63.0,72146000
2026-04-06 00:00:00+07:00,63.0,64.0,60.0,61.0,18110500
2026-04-07 00:00:00+07:00,61.0,65.0,61.0,61.0,14607400
2026-04-08 00:00:00+07:00,62.0,63.0,61.0,62.0,9745900
2026-04-09 00:00:00+07:00,63.0,65.0,62.0,63.0,22184300
2026-04-10 00:00:00+07:00,65.0,66.0,63.0,63.0,12544600
2026-04-13 00:00:00+07:00,63.0,64.0,62.0,63.0,7880900
2026-04-14 00:00:00+07:00,63.0,65.0,63.0,64.0,18370500
2026-04-15 00:00:00+07:00,65.0,68.0,64.0,67.0,26403400
2026-04-16 00:00:00+07:00,67.0,68.0,65.0,66.0,14821300
2026-04-17 00:00:00+07:00,66.0,67.0,65.0,66.0,7525100
2026-04-20 00:00:00+07:00,67.0,67.0,65.0,66.0,7798900
2026-04-21 00:00:00+07:00,66.0,66.0,64.0,64.0,11456800
2026-04-22 00:00:00+07:00,64.0,69.0,63.0,67.0,40541800
2026-04-23 00:00:00+07:00,68.0,69.0,66.0,66.0,20356000
2026-04-24 00:00:00+07:00,66.0,67.0,62.0,63.0,14134600
2026-04-27 00:00:00+07:00,63.0,65.0,61.0,63.0,5081700
2026-04-28 00:00:00+07:00,63.0,68.0,62.0,65.0,21776400
2026-04-29 00:00:00+07:00,66.0,66.0,64.0,65.0,8764200
2026-04-30 00:00:00+07:00,66.0,66.0,63.0,63.0,7641800
2026-05-04 00:00:00+07:00,63.0,64.0,62.0,63.0,6578200
2026-05-05 00:00:00+07:00,63.0,69.0,63.0,67.0,92769300
2026-05-06 00:00:00+07:00,67.0,68.0,64.0,65.0,17949200
2026-05-07 00:00:00+07:00,64.0,66.0,64.0,64.0,11893000
2026-05-08 00:00:00+07:00,64.0,65.0,62.0,63.0,10924500
2026-05-11 00:00:00+07:00,63.0,63.0,61.0,61.0,9675600
2026-05-12 00:00:00+07:00,62.0,62.0,61.0,62.0,4231100
2026-05-13 00:00:00+07:00,61.0,66.0,61.0,62.0,35152800
2026-05-14 00:00:00+07:00,62.0,62.0,62.0,62.0,0
2026-05-15 00:00:00+07:00,62.0,62.0,62.0,62.0,0
2026-05-18 00:00:00+07:00,61.0,62.0,58.0,60.0,12548100
2026-05-19 00:00:00+07:00,60.0,61.0,56.0,57.0,8948900
2026-05-20 00:00:00+07:00,56.0,61.0,56.0,60.0,8693300
2026-05-21 00:00:00+07:00,60.0,61.0,55.0,56.0,8766400
2026-05-22 00:00:00+07:00,56.0,57.0,52.0,56.0,5651000
2026-05-25 00:00:00+07:00,56.0,60.0,56.0,58.0,9123700
2026-05-26 00:00:00+07:00,59.0,60.0,58.0,59.0,2397100
2026-05-27 00:00:00+07:00,59.0,59.0,59.0,59.0,0
2026-05-28 00:00:00+07:00,59.0,59.0,59.0,59.0,0
2026-05-29 00:00:00+07:00,59.0,59.0,57.0,57.0,4389000
2026-06-02 00:00:00+07:00,57.0,58.0,56.0,57.0,3561900
2026-06-03 00:00:00+07:00,57.0,58.0,52.0,54.0,9905000
2026-06-04 00:00:00+07:00,54.0,55.0,50.0,53.0,12231200
2026-06-05 00:00:00+07:00,53.0,53.0,50.0,50.0,16323000
2026-06-08 00:00:00+07:00,50.0,51.0,50.0,50.0,14992500
2026-06-09 00:00:00+07:00,50.0,51.0,50.0,51.0,8107200
2026-06-10 00:00:00+07:00,51.0,54.0,51.0,53.0,6115500
2026-06-11 00:00:00+07:00,52.0,54.0,52.0,52.0,2325800
2026-06-12 00:00:00+07:00,53.0,54.0,52.0,52.0,8438000
2026-06-15 00:00:00+07:00,53.0,57.0,53.0,57.0,17319300
2026-06-17 00:00:00+07:00,57.0,57.0,54.0,54.0,17297800
2026-06-18 00:00:00+07:00,54.0,56.0,53.0,54.0,17872100
2026-06-19 00:00:00+07:00,55.0,55.0,53.0,53.0,5032800
2026-06-22 00:00:00+07:00,53.0,54.0,52.0,53.0,3534700
2026-06-23 00:00:00+07:00,52.0,53.0,51.0,53.0,6433900
2026-06-24 00:00:00+07:00,53.0,53.0,51.0,51.0,3490500
2026-06-25 00:00:00+07:00,51.0,52.0,51.0,52.0,2857800
2026-06-26 00:00:00+07:00,52.0,52.0,51.0,51.0,3434100
2026-06-29 00:00:00+07:00,51.0,56.0,50.0,52.0,15105600
2026-06-30 00:00:00+07:00,53.0,53.0,50.0,51.0,11386400
2026-07-01 00:00:00+07:00,51.0,52.0,50.0,51.0,5695100
2026-07-02 00:00:00+07:00,50.0,51.0,50.0,51.0,3516600
2026-07-03 00:00:00+07:00,51.0,51.0,50.0,51.0,2783400
2026-07-06 00:00:00+07:00,51.0,52.0,50.0,51.0,6268300
2026-07-07 00:00:00+07:00,52.0,62.0,51.0,55.0,145688200
2026-07-08 00:00:00+07:00,56.0,56.0,53.0,54.0,16454800
2026-07-09 00:00:00+07:00,54.0,54.0,52.0,53.0,14742900
2026-07-10 00:00:00+07:00,53.0,55.0,52.0,53.0,12708900
2026-07-13 00:00:00+07:00,53.0,53.0,52.0,52.0,5531700
2026-07-14 00:00:00+07:00,52.0,54.0,52.0,53.0,7226400
2026-07-15 00:00:00+07:00,52.0,54.0,52.0,53.0,5986600
2026-07-16 00:00:00+07:00,53.0,53.0,52.0,53.0,8194600
