Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,59.0,59.0,59.0,59.0,21156500
2026-03-02 00:00:00+07:00,54.0,54.0,54.0,54.0,12467300
2026-03-03 00:00:00+07:00,51.0,51.0,49.0,49.0,81384000
2026-03-04 00:00:00+07:00,45.0,45.0,45.0,45.0,46591700
2026-03-05 00:00:00+07:00,45.0,48.0,45.0,47.0,18658100
2026-03-06 00:00:00+07:00,44.0,48.0,44.0,48.0,7106200
2026-03-09 00:00:00+07:00,46.0,46.0,45.0,46.0,5320700
2026-03-10 00:00:00+07:00,47.0,49.0,47.0,49.0,8634500
2026-03-11 00:00:00+07:00,50.0,50.0,47.0,47.0,4172100
2026-03-12 00:00:00+07:00,47.0,47.0,45.0,46.0,5999400
2026-03-13 00:00:00+07:00,44.0,44.0,42.0,42.0,12079100
2026-03-16 00:00:00+07:00,39.0,39.0,39.0,39.0,6591800
2026-03-17 00:00:00+07:00,42.0,42.0,42.0,42.0,4084800
2026-03-25 00:00:00+07:00,44.0,46.0,44.0,46.0,2032800
2026-03-26 00:00:00+07:00,48.0,48.0,44.0,44.0,3977000
2026-03-27 00:00:00+07:00,45.0,45.0,44.0,45.0,922200
2026-03-30 00:00:00+07:00,43.0,45.0,43.0,45.0,1556200
2026-03-31 00:00:00+07:00,46.0,46.0,44.0,44.0,2388300
2026-04-01 00:00:00+07:00,44.0,46.0,44.0,46.0,3087000
2026-04-02 00:00:00+07:00,45.0,48.0,45.0,47.0,2416900
2026-04-06 00:00:00+07:00,45.0,47.0,45.0,47.0,3112000
2026-04-07 00:00:00+07:00,47.0,48.0,47.0,48.0,2902400
2026-04-08 00:00:00+07:00,48.0,50.0,48.0,50.0,5318700
2026-04-09 00:00:00+07:00,49.0,49.0,48.0,48.0,6348100
2026-04-10 00:00:00+07:00,48.0,48.0,47.0,48.0,5665000
2026-04-13 00:00:00+07:00,48.0,49.0,48.0,49.0,4674500
2026-04-14 00:00:00+07:00,48.0,49.0,48.0,49.0,5382200
2026-04-15 00:00:00+07:00,48.0,48.0,48.0,48.0,8670300
2026-04-16 00:00:00+07:00,48.0,48.0,47.0,47.0,8349700
2026-04-17 00:00:00+07:00,48.0,48.0,47.0,48.0,4751600
2026-04-20 00:00:00+07:00,47.0,47.0,47.0,47.0,7772400
2026-04-21 00:00:00+07:00,47.0,47.0,47.0,47.0,2695900
2026-04-22 00:00:00+07:00,47.0,51.0,46.0,51.0,54490700
2026-04-23 00:00:00+07:00,52.0,55.0,52.0,55.0,32856000
2026-04-24 00:00:00+07:00,52.0,52.0,50.0,50.0,20403700
2026-04-27 00:00:00+07:00,49.0,52.0,49.0,52.0,13455500
2026-04-28 00:00:00+07:00,51.0,53.0,51.0,53.0,15565600
2026-04-29 00:00:00+07:00,56.0,56.0,54.0,55.0,16875100
2026-04-30 00:00:00+07:00,52.0,53.0,52.0,52.0,11780400
2026-05-04 00:00:00+07:00,54.0,54.0,52.0,52.0,15433700
2026-05-05 00:00:00+07:00,52.0,53.0,52.0,53.0,23879200
2026-05-06 00:00:00+07:00,53.0,58.0,53.0,58.0,35171200
2026-05-07 00:00:00+07:00,59.0,59.0,54.0,54.0,43610400
2026-05-08 00:00:00+07:00,56.0,57.0,53.0,53.0,37504200
2026-05-11 00:00:00+07:00,55.0,55.0,50.0,50.0,64795900
2026-05-12 00:00:00+07:00,47.0,49.0,47.0,48.0,21575200
2026-05-13 00:00:00+07:00,47.0,49.0,47.0,48.0,12784300
2026-05-14 00:00:00+07:00,48.0,48.0,48.0,48.0,0
2026-05-15 00:00:00+07:00,48.0,48.0,48.0,48.0,0
2026-05-18 00:00:00+07:00,47.0,47.0,45.0,47.0,13602100
2026-05-19 00:00:00+07:00,47.0,47.0,43.0,44.0,20329600
2026-05-20 00:00:00+07:00,45.0,45.0,40.0,40.0,26143800
2026-05-21 00:00:00+07:00,36.0,37.0,36.0,36.0,29663000
2026-05-22 00:00:00+07:00,33.0,33.0,33.0,33.0,16891500
2026-05-25 00:00:00+07:00,34.0,36.0,34.0,36.0,6390900
2026-05-26 00:00:00+07:00,39.0,39.0,39.0,39.0,4525600
2026-05-27 00:00:00+07:00,39.0,39.0,39.0,39.0,0
2026-05-28 00:00:00+07:00,39.0,39.0,39.0,39.0,0
2026-05-29 00:00:00+07:00,42.0,42.0,40.0,41.0,16549400
2026-06-02 00:00:00+07:00,39.0,44.0,39.0,44.0,7804100
2026-06-03 00:00:00+07:00,42.0,42.0,40.0,40.0,4577300
2026-06-04 00:00:00+07:00,36.0,36.0,36.0,36.0,2423200
2026-06-05 00:00:00+07:00,34.0,34.0,33.0,33.0,11598800
2026-06-08 00:00:00+07:00,30.0,31.0,30.0,30.0,10410800
2026-06-09 00:00:00+07:00,31.0,33.0,31.0,33.0,3932000
2026-06-10 00:00:00+07:00,36.0,36.0,36.0,36.0,4840200
2026-06-11 00:00:00+07:00,39.0,39.0,33.0,38.0,4783600
2026-06-12 00:00:00+07:00,38.0,38.0,38.0,38.0,10301400
