Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,610.0,645.0,560.0,560.0,37987000
2026-02-27 00:00:00+07:00,555.0,575.0,530.0,560.0,17073500
2026-03-02 00:00:00+07:00,535.0,550.0,494.0,500.0,30808300
2026-03-03 00:00:00+07:00,492.0,515.0,490.0,494.0,13079100
2026-03-04 00:00:00+07:00,492.0,492.0,450.0,460.0,26211100
2026-03-05 00:00:00+07:00,472.0,515.0,472.0,515.0,16677200
2026-03-06 00:00:00+07:00,500.0,500.0,462.0,468.0,13618700
2026-03-09 00:00:00+07:00,414.0,440.0,404.0,406.0,20228400
2026-03-10 00:00:00+07:00,424.0,428.0,400.0,422.0,18193500
2026-03-11 00:00:00+07:00,424.0,460.0,420.0,438.0,23405100
2026-03-12 00:00:00+07:00,436.0,450.0,404.0,416.0,23225200
2026-03-13 00:00:00+07:00,414.0,420.0,384.0,390.0,22319000
2026-03-16 00:00:00+07:00,392.0,408.0,364.0,388.0,17282300
2026-03-17 00:00:00+07:00,400.0,408.0,382.0,404.0,19440600
2026-03-25 00:00:00+07:00,408.0,422.0,394.0,420.0,14388600
2026-03-26 00:00:00+07:00,420.0,440.0,416.0,424.0,20953200
2026-03-27 00:00:00+07:00,424.0,424.0,400.0,404.0,9130400
2026-03-30 00:00:00+07:00,398.0,410.0,386.0,406.0,12118200
2026-03-31 00:00:00+07:00,408.0,412.0,392.0,402.0,10372000
2026-04-01 00:00:00+07:00,404.0,430.0,400.0,420.0,36230800
2026-04-02 00:00:00+07:00,418.0,418.0,396.0,396.0,21295600
2026-04-06 00:00:00+07:00,398.0,408.0,392.0,402.0,11220800
2026-04-07 00:00:00+07:00,402.0,418.0,392.0,400.0,17328200
2026-04-08 00:00:00+07:00,410.0,418.0,400.0,412.0,32292100
2026-04-09 00:00:00+07:00,406.0,408.0,400.0,402.0,12290400
2026-04-10 00:00:00+07:00,404.0,418.0,398.0,408.0,33356800
2026-04-13 00:00:00+07:00,406.0,480.0,402.0,442.0,88878800
