Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,286.0,286.0,246.0,266.0,1022200
2026-03-02 00:00:00+07:00,264.0,266.0,240.0,244.0,2262400
2026-03-03 00:00:00+07:00,238.0,260.0,224.0,250.0,417700
2026-03-04 00:00:00+07:00,250.0,258.0,228.0,238.0,853900
2026-03-05 00:00:00+07:00,230.0,240.0,230.0,234.0,48600
2026-03-06 00:00:00+07:00,220.0,244.0,214.0,232.0,159300
2026-03-09 00:00:00+07:00,232.0,254.0,222.0,248.0,1550700
2026-03-10 00:00:00+07:00,250.0,258.0,242.0,254.0,631700
2026-03-11 00:00:00+07:00,254.0,258.0,242.0,252.0,1621600
2026-03-12 00:00:00+07:00,242.0,258.0,242.0,252.0,667700
2026-03-13 00:00:00+07:00,254.0,254.0,246.0,252.0,586800
2026-03-16 00:00:00+07:00,252.0,254.0,240.0,254.0,103900
2026-03-17 00:00:00+07:00,246.0,258.0,246.0,256.0,80200
2026-03-25 00:00:00+07:00,256.0,258.0,248.0,256.0,16900
2026-03-26 00:00:00+07:00,240.0,262.0,240.0,258.0,18200
2026-03-27 00:00:00+07:00,260.0,264.0,248.0,260.0,120800
2026-03-30 00:00:00+07:00,258.0,258.0,238.0,250.0,437300
2026-03-31 00:00:00+07:00,250.0,260.0,250.0,254.0,336900
2026-04-01 00:00:00+07:00,254.0,258.0,254.0,256.0,10400
2026-04-02 00:00:00+07:00,256.0,260.0,250.0,254.0,265900
2026-04-06 00:00:00+07:00,254.0,262.0,254.0,256.0,199800
2026-04-07 00:00:00+07:00,258.0,258.0,252.0,256.0,217200
2026-04-08 00:00:00+07:00,256.0,266.0,256.0,266.0,666700
2026-04-09 00:00:00+07:00,266.0,272.0,264.0,266.0,189700
2026-04-10 00:00:00+07:00,268.0,268.0,258.0,266.0,70100
2026-04-13 00:00:00+07:00,266.0,276.0,266.0,274.0,265200
2026-04-14 00:00:00+07:00,274.0,280.0,270.0,276.0,372300
2026-04-15 00:00:00+07:00,276.0,288.0,276.0,278.0,511500
2026-04-16 00:00:00+07:00,278.0,304.0,278.0,304.0,2719800
2026-04-17 00:00:00+07:00,308.0,334.0,306.0,334.0,3008100
2026-04-20 00:00:00+07:00,334.0,364.0,324.0,360.0,5074200
2026-04-21 00:00:00+07:00,368.0,396.0,340.0,396.0,7845000
2026-04-22 00:00:00+07:00,390.0,410.0,390.0,396.0,4531700
2026-04-23 00:00:00+07:00,396.0,404.0,390.0,392.0,2255800
2026-04-24 00:00:00+07:00,390.0,430.0,390.0,430.0,11416900
2026-04-27 00:00:00+07:00,434.0,462.0,430.0,460.0,9983600
2026-04-28 00:00:00+07:00,460.0,460.0,460.0,460.0,0
2026-04-29 00:00:00+07:00,462.0,462.0,442.0,446.0,7817500
2026-04-30 00:00:00+07:00,442.0,450.0,424.0,436.0,5195000
2026-05-04 00:00:00+07:00,436.0,446.0,434.0,434.0,4434700
2026-05-05 00:00:00+07:00,432.0,434.0,422.0,428.0,3274600
2026-05-06 00:00:00+07:00,428.0,438.0,428.0,436.0,2062900
2026-05-07 00:00:00+07:00,434.0,448.0,434.0,440.0,2235200
2026-05-08 00:00:00+07:00,442.0,448.0,434.0,436.0,3511300
2026-05-11 00:00:00+07:00,434.0,452.0,432.0,448.0,3260700
2026-05-12 00:00:00+07:00,450.0,450.0,440.0,448.0,2453800
2026-05-13 00:00:00+07:00,446.0,492.0,444.0,492.0,6702000
2026-05-14 00:00:00+07:00,492.0,492.0,492.0,492.0,0
2026-05-15 00:00:00+07:00,492.0,492.0,492.0,492.0,0
2026-05-18 00:00:00+07:00,492.0,520.0,480.0,490.0,7048500
2026-05-19 00:00:00+07:00,490.0,498.0,472.0,486.0,6124400
2026-05-20 00:00:00+07:00,484.0,510.0,482.0,496.0,4355500
2026-05-21 00:00:00+07:00,498.0,540.0,492.0,525.0,7923400
2026-05-22 00:00:00+07:00,530.0,565.0,515.0,565.0,5470100
2026-05-25 00:00:00+07:00,565.0,565.0,565.0,565.0,0
2026-05-26 00:00:00+07:00,565.0,565.0,565.0,565.0,0
2026-05-27 00:00:00+07:00,565.0,565.0,565.0,565.0,0
2026-05-28 00:00:00+07:00,565.0,565.0,565.0,565.0,0
2026-05-29 00:00:00+07:00,565.0,565.0,565.0,565.0,0
2026-06-01 00:00:00+07:00,565.0,565.0,565.0,565.0,0
2026-06-02 00:00:00+07:00,565.0,565.0,565.0,565.0,0
2026-06-03 00:00:00+07:00,565.0,565.0,565.0,565.0,0
2026-06-04 00:00:00+07:00,565.0,565.0,565.0,565.0,0
2026-06-05 00:00:00+07:00,565.0,565.0,565.0,565.0,0
2026-06-08 00:00:00+07:00,565.0,565.0,565.0,565.0,0
2026-06-09 00:00:00+07:00,565.0,565.0,565.0,565.0,0
2026-06-10 00:00:00+07:00,565.0,565.0,565.0,565.0,0
2026-06-11 00:00:00+07:00,510.0,510.0,510.0,510.0,65900
2026-06-12 00:00:00+07:00,460.0,460.0,460.0,460.0,51700
2026-06-15 00:00:00+07:00,414.0,414.0,414.0,414.0,278500
2026-06-17 00:00:00+07:00,436.0,454.0,436.0,454.0,1588300
2026-06-18 00:00:00+07:00,410.0,410.0,410.0,410.0,438100
2026-06-19 00:00:00+07:00,384.0,420.0,384.0,418.0,669400
2026-06-22 00:00:00+07:00,402.0,402.0,380.0,400.0,684200
2026-06-23 00:00:00+07:00,406.0,424.0,360.0,360.0,1178500
2026-06-24 00:00:00+07:00,360.0,396.0,324.0,324.0,1374400
2026-06-25 00:00:00+07:00,344.0,344.0,292.0,318.0,834100
2026-06-26 00:00:00+07:00,298.0,322.0,290.0,304.0,502500
2026-06-29 00:00:00+07:00,304.0,334.0,278.0,326.0,3152200
2026-06-30 00:00:00+07:00,332.0,346.0,302.0,310.0,1167600
2026-07-01 00:00:00+07:00,310.0,320.0,306.0,312.0,330000
2026-07-02 00:00:00+07:00,318.0,320.0,306.0,314.0,160300
2026-07-03 00:00:00+07:00,322.0,326.0,308.0,314.0,819800
2026-07-06 00:00:00+07:00,310.0,322.0,304.0,312.0,1622800
2026-07-07 00:00:00+07:00,314.0,328.0,304.0,314.0,3120800
2026-07-08 00:00:00+07:00,314.0,324.0,306.0,314.0,1297900
2026-07-09 00:00:00+07:00,314.0,316.0,308.0,316.0,732800
2026-07-10 00:00:00+07:00,314.0,314.0,304.0,310.0,1026500
2026-07-13 00:00:00+07:00,310.0,322.0,308.0,312.0,337200
2026-07-14 00:00:00+07:00,314.0,316.0,308.0,308.0,508100
2026-07-15 00:00:00+07:00,308.0,314.0,308.0,310.0,717600
2026-07-16 00:00:00+07:00,310.0,330.0,310.0,310.0,4967400
2026-07-17 00:00:00+07:00,316.0,316.0,304.0,308.0,2093400
2026-07-20 00:00:00+07:00,308.0,314.0,304.0,304.0,3247300
2026-07-21 00:00:00+07:00,308.0,308.0,290.0,290.0,744900
2026-07-22 00:00:00+07:00,292.0,296.0,284.0,288.0,537300
2026-07-23 00:00:00+07:00,288.0,288.0,276.0,280.0,479700
2026-07-24 00:00:00+07:00,280.0,280.0,270.0,278.0,399900
2026-07-27 00:00:00+07:00,278.0,286.0,272.0,276.0,551000
2026-07-28 00:00:00+07:00,280.0,284.0,264.0,266.0,572700
2026-07-29 00:00:00+07:00,266.0,274.0,264.0,264.0,50500
2026-07-30 00:00:00+07:00,264.0,274.0,260.0,264.0,694000
2026-07-31 00:00:00+07:00,266.0,272.0,264.0,270.0,722100
2026-08-03 00:00:00+07:00,272.0,296.0,272.0,290.0,1881100
2026-08-04 00:00:00+07:00,300.0,304.0,276.0,280.0,1491800
2026-08-05 00:00:00+07:00,280.0,286.0,274.0,278.0,205700
2026-08-06 00:00:00+07:00,276.0,284.0,266.0,272.0,428900
2026-08-07 00:00:00+07:00,272.0,276.0,266.0,270.0,493500
2026-08-10 00:00:00+07:00,270.0,276.0,266.0,270.0,849400
