Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,91.0,97.0,89.0,91.0,73852600
2026-02-27 00:00:00+07:00,92.0,92.0,89.0,90.0,20949500
2026-03-02 00:00:00+07:00,87.0,89.0,83.0,84.0,26320000
2026-03-03 00:00:00+07:00,84.0,89.0,84.0,86.0,19246200
2026-03-04 00:00:00+07:00,84.0,85.0,79.0,81.0,29841800
2026-03-05 00:00:00+07:00,82.0,85.0,82.0,84.0,8041400
2026-03-06 00:00:00+07:00,83.0,84.0,81.0,81.0,9616300
2026-03-09 00:00:00+07:00,73.0,79.0,69.0,75.0,19465200
2026-03-10 00:00:00+07:00,74.0,81.0,74.0,79.0,9028300
2026-03-11 00:00:00+07:00,80.0,83.0,79.0,80.0,7352400
2026-03-12 00:00:00+07:00,81.0,81.0,78.0,78.0,5116600
2026-03-13 00:00:00+07:00,77.0,80.0,76.0,77.0,5755400
2026-03-16 00:00:00+07:00,77.0,77.0,73.0,76.0,7546100
2026-03-17 00:00:00+07:00,76.0,79.0,76.0,77.0,6177200
2026-03-25 00:00:00+07:00,77.0,81.0,75.0,80.0,6322200
2026-03-26 00:00:00+07:00,80.0,82.0,79.0,79.0,2208800
2026-03-27 00:00:00+07:00,79.0,81.0,79.0,80.0,3860600
2026-03-30 00:00:00+07:00,79.0,81.0,78.0,79.0,6271100
2026-03-31 00:00:00+07:00,79.0,80.0,78.0,79.0,3159400
2026-04-01 00:00:00+07:00,80.0,80.0,75.0,80.0,6196200
2026-04-02 00:00:00+07:00,80.0,81.0,77.0,78.0,5498100
2026-04-06 00:00:00+07:00,78.0,79.0,77.0,79.0,5330000
2026-04-07 00:00:00+07:00,79.0,80.0,78.0,78.0,1754700
2026-04-08 00:00:00+07:00,79.0,80.0,77.0,79.0,8294200
2026-04-09 00:00:00+07:00,79.0,80.0,78.0,79.0,4997700
2026-04-10 00:00:00+07:00,79.0,82.0,75.0,81.0,15496600
2026-04-13 00:00:00+07:00,82.0,83.0,80.0,83.0,7262400
2026-04-14 00:00:00+07:00,83.0,86.0,81.0,84.0,9326800
2026-04-15 00:00:00+07:00,84.0,86.0,84.0,85.0,5887500
2026-04-16 00:00:00+07:00,86.0,92.0,85.0,90.0,57336200
2026-04-17 00:00:00+07:00,92.0,93.0,88.0,91.0,29959300
2026-04-20 00:00:00+07:00,88.0,91.0,88.0,88.0,8592000
2026-04-21 00:00:00+07:00,89.0,90.0,87.0,88.0,8675300
2026-04-22 00:00:00+07:00,88.0,90.0,87.0,89.0,9552000
2026-04-23 00:00:00+07:00,90.0,90.0,88.0,88.0,8462800
2026-04-24 00:00:00+07:00,89.0,89.0,83.0,83.0,12161500
2026-04-27 00:00:00+07:00,83.0,84.0,81.0,82.0,8162500
2026-04-28 00:00:00+07:00,82.0,85.0,82.0,83.0,6059100
2026-04-29 00:00:00+07:00,84.0,86.0,82.0,85.0,5204600
2026-04-30 00:00:00+07:00,84.0,85.0,82.0,84.0,7923500
2026-05-04 00:00:00+07:00,83.0,83.0,79.0,81.0,13958700
2026-05-05 00:00:00+07:00,81.0,81.0,77.0,80.0,14361100
2026-05-06 00:00:00+07:00,80.0,82.0,80.0,80.0,4030300
2026-05-07 00:00:00+07:00,81.0,102.0,81.0,97.0,697558600
2026-05-08 00:00:00+07:00,97.0,98.0,85.0,87.0,100114300
2026-05-11 00:00:00+07:00,87.0,92.0,85.0,86.0,59549000
2026-05-12 00:00:00+07:00,87.0,90.0,83.0,84.0,40282100
2026-05-13 00:00:00+07:00,80.0,84.0,80.0,81.0,23573400
2026-05-14 00:00:00+07:00,81.0,81.0,81.0,81.0,0
2026-05-15 00:00:00+07:00,81.0,81.0,81.0,81.0,0
2026-05-18 00:00:00+07:00,81.0,82.0,77.0,80.0,23247400
2026-05-19 00:00:00+07:00,79.0,80.0,75.0,76.0,25708100
2026-05-20 00:00:00+07:00,76.0,78.0,74.0,76.0,13468100
2026-05-21 00:00:00+07:00,76.0,77.0,71.0,71.0,17911200
2026-05-22 00:00:00+07:00,70.0,73.0,65.0,70.0,11504500
2026-05-25 00:00:00+07:00,73.0,75.0,71.0,72.0,8318800
2026-05-26 00:00:00+07:00,74.0,75.0,70.0,71.0,10790900
2026-05-27 00:00:00+07:00,71.0,71.0,71.0,71.0,0
2026-05-28 00:00:00+07:00,71.0,71.0,71.0,71.0,0
2026-05-29 00:00:00+07:00,70.0,72.0,70.0,71.0,5083300
2026-06-02 00:00:00+07:00,71.0,72.0,69.0,71.0,5041200
2026-06-03 00:00:00+07:00,71.0,72.0,64.0,68.0,23958200
2026-06-04 00:00:00+07:00,67.0,67.0,61.0,66.0,8993400
2026-06-05 00:00:00+07:00,66.0,66.0,61.0,61.0,6594000
2026-06-08 00:00:00+07:00,61.0,61.0,52.0,52.0,20022000
2026-06-09 00:00:00+07:00,52.0,56.0,51.0,55.0,10560300
2026-06-10 00:00:00+07:00,55.0,72.0,55.0,68.0,68822100
2026-06-11 00:00:00+07:00,66.0,70.0,64.0,66.0,14383700
2026-06-12 00:00:00+07:00,67.0,70.0,66.0,68.0,10175500
2026-06-15 00:00:00+07:00,70.0,72.0,69.0,71.0,12228300
2026-06-17 00:00:00+07:00,71.0,73.0,69.0,70.0,8910200
2026-06-18 00:00:00+07:00,70.0,71.0,67.0,71.0,6701900
2026-06-19 00:00:00+07:00,71.0,73.0,69.0,72.0,9340200
2026-06-22 00:00:00+07:00,72.0,73.0,69.0,69.0,5483600
2026-06-23 00:00:00+07:00,68.0,70.0,67.0,68.0,2514600
2026-06-24 00:00:00+07:00,69.0,70.0,66.0,67.0,1984600
2026-06-25 00:00:00+07:00,67.0,70.0,67.0,69.0,3224900
2026-06-26 00:00:00+07:00,68.0,70.0,65.0,65.0,3014100
2026-06-29 00:00:00+07:00,65.0,69.0,63.0,66.0,1948000
2026-06-30 00:00:00+07:00,65.0,66.0,62.0,64.0,3090900
2026-07-01 00:00:00+07:00,63.0,65.0,62.0,64.0,2068900
2026-07-02 00:00:00+07:00,63.0,66.0,63.0,66.0,2557400
2026-07-03 00:00:00+07:00,66.0,67.0,65.0,66.0,1653100
2026-07-06 00:00:00+07:00,66.0,67.0,65.0,66.0,2705300
2026-07-07 00:00:00+07:00,66.0,74.0,66.0,68.0,44023800
2026-07-08 00:00:00+07:00,68.0,68.0,65.0,67.0,9429900
2026-07-09 00:00:00+07:00,68.0,71.0,66.0,68.0,13377600
2026-07-10 00:00:00+07:00,68.0,69.0,67.0,67.0,2517500
2026-07-13 00:00:00+07:00,67.0,70.0,67.0,69.0,4237800
2026-07-14 00:00:00+07:00,70.0,71.0,68.0,69.0,5285700
