Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,266.0,272.0,262.0,266.0,32600
2026-03-02 00:00:00+07:00,266.0,292.0,260.0,268.0,587300
2026-03-03 00:00:00+07:00,278.0,280.0,270.0,274.0,394300
2026-03-04 00:00:00+07:00,270.0,274.0,244.0,246.0,623600
2026-03-05 00:00:00+07:00,256.0,264.0,256.0,262.0,214500
2026-03-06 00:00:00+07:00,262.0,272.0,250.0,264.0,272000
2026-03-09 00:00:00+07:00,264.0,264.0,252.0,258.0,349600
2026-03-10 00:00:00+07:00,252.0,270.0,248.0,266.0,448100
2026-03-11 00:00:00+07:00,268.0,270.0,254.0,264.0,129200
2026-03-12 00:00:00+07:00,264.0,264.0,256.0,258.0,44600
2026-03-13 00:00:00+07:00,254.0,258.0,244.0,246.0,134900
2026-03-16 00:00:00+07:00,246.0,246.0,230.0,240.0,148600
2026-03-17 00:00:00+07:00,260.0,260.0,238.0,238.0,33700
2026-03-25 00:00:00+07:00,238.0,238.0,236.0,238.0,459000
2026-03-26 00:00:00+07:00,238.0,244.0,236.0,240.0,34500
2026-03-27 00:00:00+07:00,244.0,276.0,244.0,252.0,967600
2026-03-30 00:00:00+07:00,252.0,260.0,238.0,240.0,619100
2026-03-31 00:00:00+07:00,244.0,250.0,238.0,244.0,476700
2026-04-01 00:00:00+07:00,242.0,254.0,242.0,252.0,150300
2026-04-02 00:00:00+07:00,242.0,254.0,242.0,250.0,95300
2026-04-06 00:00:00+07:00,252.0,252.0,240.0,248.0,178400
2026-04-07 00:00:00+07:00,252.0,264.0,252.0,254.0,584200
2026-04-08 00:00:00+07:00,260.0,260.0,250.0,254.0,76800
2026-04-09 00:00:00+07:00,256.0,260.0,248.0,254.0,89400
2026-04-10 00:00:00+07:00,254.0,254.0,246.0,252.0,71300
2026-04-13 00:00:00+07:00,252.0,252.0,246.0,252.0,125000
2026-04-14 00:00:00+07:00,248.0,254.0,248.0,254.0,471700
2026-04-15 00:00:00+07:00,254.0,282.0,250.0,258.0,412500
2026-04-16 00:00:00+07:00,260.0,278.0,250.0,256.0,810100
2026-04-17 00:00:00+07:00,256.0,292.0,252.0,262.0,1408500
2026-04-20 00:00:00+07:00,266.0,278.0,264.0,278.0,549400
2026-04-21 00:00:00+07:00,280.0,284.0,250.0,272.0,747600
2026-04-22 00:00:00+07:00,272.0,274.0,260.0,268.0,281600
2026-04-23 00:00:00+07:00,268.0,274.0,260.0,262.0,175900
