Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,79.0,90.0,72.0,72.0,1027235200
2026-03-02 00:00:00+07:00,65.0,68.0,62.0,62.0,207053200
2026-03-03 00:00:00+07:00,59.0,70.0,58.0,64.0,354743500
2026-03-04 00:00:00+07:00,63.0,63.0,55.0,56.0,184256100
2026-03-05 00:00:00+07:00,60.0,74.0,55.0,74.0,1045155400
2026-03-06 00:00:00+07:00,69.0,76.0,63.0,63.0,749132100
2026-03-09 00:00:00+07:00,57.0,61.0,55.0,59.0,182505300
2026-03-10 00:00:00+07:00,61.0,63.0,57.0,58.0,98729800
2026-03-11 00:00:00+07:00,58.0,63.0,57.0,58.0,128269800
2026-03-12 00:00:00+07:00,57.0,59.0,56.0,58.0,58867500
2026-03-13 00:00:00+07:00,59.0,59.0,56.0,57.0,44751100
2026-03-16 00:00:00+07:00,56.0,57.0,54.0,56.0,50122000
2026-03-17 00:00:00+07:00,57.0,59.0,56.0,57.0,22304300
2026-03-25 00:00:00+07:00,57.0,60.0,56.0,58.0,27537100
2026-03-26 00:00:00+07:00,59.0,59.0,56.0,57.0,32482900
2026-03-27 00:00:00+07:00,57.0,61.0,56.0,57.0,66765500
2026-03-30 00:00:00+07:00,56.0,58.0,55.0,57.0,34818100
2026-03-31 00:00:00+07:00,57.0,59.0,56.0,57.0,36701300
2026-04-01 00:00:00+07:00,57.0,61.0,57.0,58.0,64917400
2026-04-02 00:00:00+07:00,58.0,59.0,56.0,56.0,42971700
2026-04-06 00:00:00+07:00,56.0,57.0,55.0,56.0,40561400
2026-04-07 00:00:00+07:00,56.0,57.0,55.0,55.0,23113200
2026-04-08 00:00:00+07:00,56.0,59.0,55.0,58.0,44190500
2026-04-09 00:00:00+07:00,58.0,58.0,56.0,58.0,28606000
2026-04-10 00:00:00+07:00,58.0,62.0,58.0,60.0,86557300
2026-04-13 00:00:00+07:00,60.0,64.0,58.0,63.0,105812500
2026-04-14 00:00:00+07:00,64.0,71.0,61.0,66.0,277108300
2026-04-15 00:00:00+07:00,68.0,71.0,63.0,64.0,332837600
2026-04-16 00:00:00+07:00,64.0,67.0,63.0,66.0,91537700
2026-04-17 00:00:00+07:00,66.0,77.0,66.0,70.0,709561400
2026-04-20 00:00:00+07:00,75.0,90.0,71.0,84.0,2463268800
2026-04-21 00:00:00+07:00,84.0,108.0,80.0,105.0,3620070500
2026-04-22 00:00:00+07:00,107.0,139.0,103.0,136.0,4844520200
2026-04-23 00:00:00+07:00,136.0,172.0,136.0,143.0,4758079200
2026-04-24 00:00:00+07:00,148.0,160.0,123.0,128.0,1720878400
2026-04-27 00:00:00+07:00,136.0,144.0,128.0,134.0,1467515500
2026-04-28 00:00:00+07:00,137.0,138.0,124.0,130.0,687824700
2026-04-29 00:00:00+07:00,132.0,148.0,126.0,143.0,1460162600
