Date,Open,High,Low,Close,Volume
2026-03-02 00:00:00+07:00,120.0,120.0,114.0,115.0,191303500
2026-03-03 00:00:00+07:00,116.0,118.0,112.0,115.0,83577500
2026-03-04 00:00:00+07:00,115.0,115.0,105.0,109.0,159787900
2026-03-05 00:00:00+07:00,109.0,114.0,109.0,111.0,63323600
2026-03-06 00:00:00+07:00,112.0,112.0,107.0,111.0,68327700
2026-03-09 00:00:00+07:00,108.0,108.0,98.0,104.0,92950700
2026-03-10 00:00:00+07:00,105.0,108.0,100.0,103.0,76340100
2026-03-11 00:00:00+07:00,103.0,105.0,101.0,102.0,39411300
2026-03-12 00:00:00+07:00,102.0,109.0,101.0,102.0,133398500
2026-03-13 00:00:00+07:00,102.0,102.0,95.0,100.0,70795600
2026-03-16 00:00:00+07:00,99.0,100.0,93.0,99.0,48486700
2026-03-17 00:00:00+07:00,100.0,100.0,95.0,98.0,52498500
2026-03-25 00:00:00+07:00,100.0,102.0,95.0,102.0,50362500
2026-03-26 00:00:00+07:00,103.0,104.0,98.0,99.0,41547200
2026-03-27 00:00:00+07:00,99.0,99.0,97.0,99.0,40086900
2026-03-30 00:00:00+07:00,98.0,104.0,95.0,102.0,80161600
2026-03-31 00:00:00+07:00,102.0,104.0,99.0,101.0,63670100
2026-04-01 00:00:00+07:00,102.0,106.0,101.0,105.0,94230700
2026-04-02 00:00:00+07:00,105.0,123.0,104.0,110.0,685055300
2026-04-06 00:00:00+07:00,110.0,112.0,106.0,108.0,104132400
2026-04-07 00:00:00+07:00,109.0,111.0,106.0,107.0,82638100
2026-04-08 00:00:00+07:00,107.0,112.0,106.0,111.0,126524600
2026-04-09 00:00:00+07:00,112.0,116.0,108.0,115.0,182125000
2026-04-10 00:00:00+07:00,115.0,119.0,113.0,116.0,165009200
2026-04-13 00:00:00+07:00,114.0,128.0,112.0,126.0,368331900
2026-04-14 00:00:00+07:00,126.0,129.0,123.0,127.0,190251100
2026-04-15 00:00:00+07:00,127.0,145.0,125.0,140.0,707338900
2026-04-16 00:00:00+07:00,144.0,154.0,131.0,138.0,566460300
2026-04-17 00:00:00+07:00,140.0,140.0,126.0,129.0,225634000
2026-04-20 00:00:00+07:00,129.0,136.0,127.0,129.0,186093400
2026-04-21 00:00:00+07:00,129.0,130.0,121.0,126.0,143452200
2026-04-22 00:00:00+07:00,126.0,132.0,125.0,129.0,187941600
2026-04-23 00:00:00+07:00,129.0,129.0,117.0,117.0,152783800
2026-04-24 00:00:00+07:00,117.0,118.0,112.0,113.0,127505100
2026-04-27 00:00:00+07:00,113.0,115.0,109.0,111.0,82352000
2026-04-28 00:00:00+07:00,110.0,112.0,108.0,109.0,38041000
2026-04-29 00:00:00+07:00,109.0,122.0,109.0,119.0,201133800
2026-04-30 00:00:00+07:00,119.0,119.0,108.0,111.0,82532100
2026-05-04 00:00:00+07:00,112.0,115.0,110.0,112.0,48528200
2026-05-05 00:00:00+07:00,112.0,113.0,109.0,112.0,37665900
2026-05-06 00:00:00+07:00,112.0,114.0,110.0,114.0,66338400
2026-05-07 00:00:00+07:00,114.0,116.0,110.0,111.0,62413500
2026-05-08 00:00:00+07:00,112.0,112.0,105.0,107.0,60259500
2026-05-11 00:00:00+07:00,107.0,107.0,101.0,101.0,58420600
2026-05-12 00:00:00+07:00,101.0,106.0,100.0,103.0,40591700
2026-05-13 00:00:00+07:00,103.0,103.0,100.0,102.0,69638300
2026-05-14 00:00:00+07:00,102.0,102.0,102.0,102.0,0
2026-05-15 00:00:00+07:00,102.0,102.0,102.0,102.0,0
2026-05-18 00:00:00+07:00,102.0,102.0,95.0,100.0,59604900
2026-05-19 00:00:00+07:00,100.0,102.0,94.0,96.0,58527500
2026-05-20 00:00:00+07:00,96.0,98.0,91.0,96.0,69085600
2026-05-21 00:00:00+07:00,96.0,97.0,85.0,87.0,69622300
2026-05-22 00:00:00+07:00,87.0,92.0,83.0,90.0,60608900
2026-05-25 00:00:00+07:00,90.0,98.0,90.0,96.0,92272000
2026-05-26 00:00:00+07:00,95.0,96.0,91.0,96.0,60804200
2026-05-27 00:00:00+07:00,96.0,96.0,96.0,96.0,0
2026-05-28 00:00:00+07:00,96.0,96.0,96.0,96.0,0
2026-05-29 00:00:00+07:00,95.0,97.0,91.0,94.0,341117500
