Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,146.0,147.0,140.0,140.0,2218000
2026-02-27 00:00:00+07:00,140.0,150.0,139.0,144.0,1131500
2026-03-02 00:00:00+07:00,143.0,145.0,130.0,136.0,2411400
2026-03-03 00:00:00+07:00,137.0,137.0,123.0,123.0,7985200
2026-03-04 00:00:00+07:00,125.0,125.0,111.0,112.0,5650600
2026-03-05 00:00:00+07:00,112.0,117.0,101.0,103.0,8449700
2026-03-06 00:00:00+07:00,107.0,113.0,96.0,113.0,4051100
2026-03-09 00:00:00+07:00,112.0,119.0,102.0,102.0,7183500
2026-03-10 00:00:00+07:00,102.0,112.0,102.0,112.0,1527700
2026-03-11 00:00:00+07:00,112.0,116.0,103.0,103.0,1135300
2026-03-12 00:00:00+07:00,106.0,113.0,104.0,109.0,1827800
2026-03-13 00:00:00+07:00,110.0,111.0,99.0,100.0,2233100
2026-03-16 00:00:00+07:00,101.0,107.0,96.0,102.0,581500
2026-03-17 00:00:00+07:00,105.0,105.0,97.0,104.0,1089800
2026-03-25 00:00:00+07:00,99.0,105.0,99.0,102.0,380600
2026-03-26 00:00:00+07:00,103.0,112.0,99.0,107.0,1417700
2026-03-27 00:00:00+07:00,108.0,117.0,104.0,112.0,1580500
2026-03-30 00:00:00+07:00,112.0,118.0,107.0,107.0,650800
2026-03-31 00:00:00+07:00,107.0,110.0,103.0,103.0,697300
2026-04-01 00:00:00+07:00,103.0,108.0,102.0,106.0,335900
2026-04-02 00:00:00+07:00,106.0,106.0,102.0,102.0,504100
2026-04-06 00:00:00+07:00,103.0,112.0,94.0,112.0,2275700
2026-04-07 00:00:00+07:00,112.0,121.0,106.0,108.0,335900
2026-04-08 00:00:00+07:00,107.0,113.0,106.0,111.0,822000
2026-04-09 00:00:00+07:00,110.0,110.0,107.0,107.0,347400
2026-04-10 00:00:00+07:00,107.0,117.0,107.0,115.0,1802000
2026-04-13 00:00:00+07:00,117.0,117.0,110.0,113.0,853600
2026-04-14 00:00:00+07:00,113.0,115.0,111.0,114.0,629400
2026-04-15 00:00:00+07:00,112.0,117.0,111.0,114.0,1240300
2026-04-16 00:00:00+07:00,114.0,124.0,113.0,115.0,2450800
2026-04-17 00:00:00+07:00,118.0,122.0,118.0,120.0,1038100
2026-04-20 00:00:00+07:00,121.0,125.0,110.0,113.0,2761400
2026-04-21 00:00:00+07:00,121.0,121.0,110.0,115.0,1514000
2026-04-22 00:00:00+07:00,115.0,116.0,113.0,115.0,1006400
2026-04-23 00:00:00+07:00,124.0,126.0,124.0,126.0,12815600
2026-04-24 00:00:00+07:00,136.0,138.0,131.0,138.0,21055100
2026-04-27 00:00:00+07:00,138.0,151.0,125.0,125.0,14654000
2026-04-28 00:00:00+07:00,125.0,130.0,115.0,121.0,3445200
2026-04-29 00:00:00+07:00,123.0,124.0,118.0,121.0,2427700
2026-04-30 00:00:00+07:00,121.0,123.0,114.0,119.0,1538300
2026-05-04 00:00:00+07:00,118.0,120.0,110.0,116.0,2110100
2026-05-05 00:00:00+07:00,114.0,120.0,110.0,117.0,961400
2026-05-06 00:00:00+07:00,117.0,117.0,113.0,115.0,915300
2026-05-07 00:00:00+07:00,115.0,125.0,113.0,115.0,3166400
2026-05-08 00:00:00+07:00,116.0,126.0,115.0,124.0,9629500
2026-05-11 00:00:00+07:00,126.0,127.0,120.0,123.0,4115400
2026-05-12 00:00:00+07:00,126.0,133.0,115.0,118.0,2596600
2026-05-13 00:00:00+07:00,107.0,122.0,107.0,118.0,2542600
2026-05-14 00:00:00+07:00,118.0,118.0,118.0,118.0,0
2026-05-15 00:00:00+07:00,118.0,118.0,118.0,118.0,0
2026-05-18 00:00:00+07:00,110.0,120.0,110.0,115.0,2336700
2026-05-19 00:00:00+07:00,115.0,115.0,104.0,104.0,3495800
2026-05-20 00:00:00+07:00,104.0,111.0,104.0,108.0,499700
2026-05-21 00:00:00+07:00,109.0,109.0,98.0,98.0,6258600
2026-05-22 00:00:00+07:00,98.0,101.0,94.0,96.0,1000300
2026-05-25 00:00:00+07:00,94.0,104.0,93.0,97.0,728200
2026-05-26 00:00:00+07:00,97.0,106.0,97.0,99.0,3210700
2026-05-27 00:00:00+07:00,99.0,99.0,99.0,99.0,0
2026-05-28 00:00:00+07:00,99.0,99.0,99.0,99.0,0
2026-05-29 00:00:00+07:00,100.0,102.0,96.0,99.0,1364700
2026-06-02 00:00:00+07:00,97.0,104.0,90.0,90.0,9540600
2026-06-03 00:00:00+07:00,91.0,95.0,81.0,81.0,2236900
2026-06-04 00:00:00+07:00,77.0,80.0,73.0,73.0,3495200
2026-06-05 00:00:00+07:00,73.0,80.0,66.0,66.0,524900
2026-06-08 00:00:00+07:00,66.0,66.0,60.0,60.0,452300
2026-06-09 00:00:00+07:00,57.0,66.0,54.0,66.0,3163900
2026-06-10 00:00:00+07:00,66.0,72.0,60.0,65.0,7946500
2026-06-11 00:00:00+07:00,65.0,65.0,59.0,60.0,2528400
2026-06-12 00:00:00+07:00,62.0,65.0,58.0,62.0,2177100
2026-06-15 00:00:00+07:00,62.0,65.0,58.0,60.0,4156400
2026-06-17 00:00:00+07:00,62.0,62.0,58.0,60.0,1814300
2026-06-18 00:00:00+07:00,61.0,61.0,59.0,59.0,1013900
2026-06-19 00:00:00+07:00,59.0,62.0,57.0,60.0,1638400
2026-06-22 00:00:00+07:00,60.0,61.0,55.0,56.0,7522700
2026-06-23 00:00:00+07:00,56.0,57.0,53.0,54.0,1168300
2026-06-24 00:00:00+07:00,55.0,55.0,49.0,49.0,12011800
2026-06-25 00:00:00+07:00,47.0,53.0,47.0,53.0,4177700
2026-06-26 00:00:00+07:00,56.0,57.0,48.0,50.0,5885100
2026-06-29 00:00:00+07:00,50.0,52.0,47.0,49.0,1557900
2026-06-30 00:00:00+07:00,48.0,51.0,45.0,46.0,2340600
2026-07-01 00:00:00+07:00,46.0,50.0,45.0,50.0,3445500
2026-07-02 00:00:00+07:00,50.0,55.0,45.0,54.0,5171700
2026-07-03 00:00:00+07:00,54.0,59.0,53.0,58.0,6035300
2026-07-06 00:00:00+07:00,60.0,63.0,57.0,59.0,9965300
2026-07-07 00:00:00+07:00,59.0,60.0,57.0,60.0,1890000
2026-07-08 00:00:00+07:00,60.0,60.0,56.0,59.0,2815300
2026-07-09 00:00:00+07:00,64.0,64.0,56.0,59.0,1587400
2026-07-10 00:00:00+07:00,59.0,60.0,58.0,58.0,401300
2026-07-13 00:00:00+07:00,58.0,59.0,53.0,54.0,5004900
2026-07-14 00:00:00+07:00,56.0,59.0,54.0,56.0,6029800
2026-07-15 00:00:00+07:00,56.0,57.0,55.0,57.0,1115700
2026-07-16 00:00:00+07:00,57.0,58.0,55.0,56.0,1147400
2026-07-17 00:00:00+07:00,56.0,57.0,55.0,56.0,864500
2026-07-20 00:00:00+07:00,57.0,57.0,55.0,56.0,1180400
2026-07-21 00:00:00+07:00,54.0,56.0,54.0,55.0,2176500
2026-07-22 00:00:00+07:00,55.0,60.0,54.0,60.0,12714900
2026-07-23 00:00:00+07:00,60.0,66.0,60.0,66.0,10950800
2026-07-24 00:00:00+07:00,66.0,72.0,61.0,62.0,11957100
2026-07-27 00:00:00+07:00,62.0,66.0,61.0,64.0,5251500
2026-07-28 00:00:00+07:00,62.0,66.0,61.0,63.0,6078300
2026-07-29 00:00:00+07:00,62.0,67.0,59.0,64.0,3447700
2026-07-30 00:00:00+07:00,64.0,65.0,62.0,63.0,1293800
2026-07-31 00:00:00+07:00,63.0,65.0,61.0,62.0,1206500
2026-08-03 00:00:00+07:00,62.0,67.0,62.0,65.0,2800700
2026-08-04 00:00:00+07:00,65.0,67.0,62.0,65.0,3209200
2026-08-05 00:00:00+07:00,65.0,66.0,63.0,64.0,2463300
2026-08-06 00:00:00+07:00,65.0,70.0,65.0,70.0,4755300
2026-08-07 00:00:00+07:00,77.0,77.0,77.0,77.0,1817900
2026-08-10 00:00:00+07:00,84.0,84.0,73.0,84.0,20097900
2026-08-11 00:00:00+07:00,84.0,92.0,76.0,81.0,20669500
2026-08-12 00:00:00+07:00,81.0,81.0,74.0,74.0,7246100
2026-08-13 00:00:00+07:00,75.0,81.0,67.0,77.0,51323300
2026-08-14 00:00:00+07:00,77.0,83.0,75.0,77.0,23872400
2026-08-18 00:00:00+07:00,78.0,80.0,75.0,78.0,6544400
2026-08-19 00:00:00+07:00,76.0,78.0,75.0,77.0,2095400
2026-08-20 00:00:00+07:00,77.0,84.0,76.0,83.0,11283800
2026-08-21 00:00:00+07:00,83.0,87.0,80.0,82.0,2963200
2026-08-24 00:00:00+07:00,81.0,85.0,80.0,82.0,2697000
2026-08-26 00:00:00+07:00,82.0,86.0,74.0,75.0,15105700
2026-08-27 00:00:00+07:00,68.0,79.0,68.0,76.0,6327000
2026-08-28 00:00:00+07:00,78.0,80.0,75.0,77.0,3222100
2026-08-31 00:00:00+07:00,77.0,81.0,76.0,78.0,5456700
2026-09-01 00:00:00+07:00,80.0,81.0,76.0,78.0,3122300
2026-09-02 00:00:00+07:00,78.0,80.0,76.0,78.0,5261700
2026-09-03 00:00:00+07:00,79.0,80.0,71.0,73.0,24297800
2026-09-04 00:00:00+07:00,75.0,75.0,66.0,66.0,103735100
2026-09-07 00:00:00+07:00,62.0,62.0,60.0,60.0,73318300
2026-09-08 00:00:00+07:00,54.0,65.0,54.0,64.0,62989900
2026-09-09 00:00:00+07:00,58.0,65.0,58.0,62.0,19508600
2026-09-10 00:00:00+07:00,62.0,66.0,60.0,63.0,41509200
2026-09-11 00:00:00+07:00,64.0,64.0,61.0,62.0,11731900
2026-09-14 00:00:00+07:00,56.0,64.0,56.0,61.0,17185300
2026-09-15 00:00:00+07:00,61.0,64.0,60.0,62.0,5331400
2026-09-16 00:00:00+07:00,60.0,63.0,60.0,63.0,2644000
2026-09-17 00:00:00+07:00,63.0,63.0,61.0,63.0,7051600
2026-09-18 00:00:00+07:00,63.0,66.0,62.0,64.0,10820500
2026-09-21 00:00:00+07:00,64.0,65.0,62.0,65.0,8197700
2026-09-22 00:00:00+07:00,59.0,66.0,59.0,63.0,13415700
2026-09-23 00:00:00+07:00,64.0,64.0,62.0,63.0,3802500
2026-09-24 00:00:00+07:00,63.0,65.0,62.0,64.0,6386600
