Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,434.0,500.0,402.0,428.0,16176400
2026-03-02 00:00:00+07:00,412.0,424.0,406.0,410.0,3568400
2026-03-03 00:00:00+07:00,424.0,426.0,406.0,410.0,1283900
2026-03-04 00:00:00+07:00,412.0,412.0,388.0,390.0,1666000
2026-03-05 00:00:00+07:00,390.0,394.0,378.0,382.0,2034900
2026-03-06 00:00:00+07:00,384.0,386.0,346.0,358.0,1611500
2026-03-09 00:00:00+07:00,350.0,356.0,314.0,330.0,2893800
2026-03-10 00:00:00+07:00,338.0,354.0,336.0,338.0,1299400
2026-03-11 00:00:00+07:00,338.0,360.0,338.0,346.0,147900
2026-03-12 00:00:00+07:00,350.0,352.0,328.0,342.0,261500
2026-03-13 00:00:00+07:00,352.0,352.0,330.0,330.0,163600
2026-03-16 00:00:00+07:00,330.0,330.0,300.0,312.0,256800
2026-03-17 00:00:00+07:00,312.0,384.0,312.0,344.0,1127200
2026-03-25 00:00:00+07:00,344.0,366.0,340.0,342.0,452100
2026-03-26 00:00:00+07:00,340.0,350.0,340.0,344.0,80100
2026-03-27 00:00:00+07:00,344.0,350.0,340.0,342.0,96600
2026-03-30 00:00:00+07:00,342.0,342.0,330.0,334.0,150500
2026-03-31 00:00:00+07:00,334.0,334.0,328.0,334.0,88200
2026-04-01 00:00:00+07:00,334.0,340.0,334.0,338.0,65600
2026-04-02 00:00:00+07:00,340.0,346.0,338.0,340.0,67400
2026-04-06 00:00:00+07:00,336.0,344.0,334.0,340.0,108900
2026-04-07 00:00:00+07:00,348.0,348.0,330.0,334.0,121900
2026-04-08 00:00:00+07:00,346.0,348.0,336.0,348.0,271700
2026-04-09 00:00:00+07:00,348.0,350.0,342.0,346.0,65100
2026-04-10 00:00:00+07:00,346.0,356.0,346.0,352.0,87000
2026-04-13 00:00:00+07:00,350.0,378.0,348.0,366.0,561800
2026-04-14 00:00:00+07:00,370.0,376.0,364.0,372.0,553900
2026-04-15 00:00:00+07:00,372.0,376.0,370.0,374.0,249900
2026-04-16 00:00:00+07:00,374.0,378.0,372.0,374.0,173400
2026-04-17 00:00:00+07:00,380.0,404.0,374.0,384.0,755400
2026-04-20 00:00:00+07:00,388.0,390.0,352.0,376.0,567900
2026-04-21 00:00:00+07:00,370.0,378.0,342.0,354.0,961900
2026-04-22 00:00:00+07:00,356.0,374.0,352.0,366.0,796000
2026-04-23 00:00:00+07:00,370.0,372.0,352.0,354.0,531600
2026-04-24 00:00:00+07:00,360.0,364.0,348.0,354.0,696900
2026-04-27 00:00:00+07:00,356.0,382.0,348.0,368.0,2198400
2026-04-28 00:00:00+07:00,368.0,368.0,342.0,358.0,683300
2026-04-29 00:00:00+07:00,358.0,364.0,356.0,358.0,307100
2026-04-30 00:00:00+07:00,358.0,372.0,350.0,352.0,1227500
2026-05-04 00:00:00+07:00,350.0,350.0,340.0,344.0,462500
2026-05-05 00:00:00+07:00,344.0,356.0,338.0,342.0,280200
2026-05-06 00:00:00+07:00,344.0,358.0,338.0,344.0,196000
2026-05-07 00:00:00+07:00,348.0,348.0,340.0,342.0,169800
2026-05-08 00:00:00+07:00,342.0,344.0,336.0,336.0,404300
2026-05-11 00:00:00+07:00,336.0,336.0,312.0,320.0,668200
2026-05-12 00:00:00+07:00,320.0,320.0,302.0,306.0,663200
2026-05-13 00:00:00+07:00,306.0,306.0,284.0,294.0,1219700
2026-05-14 00:00:00+07:00,294.0,294.0,294.0,294.0,0
2026-05-15 00:00:00+07:00,294.0,294.0,294.0,294.0,0
2026-05-18 00:00:00+07:00,294.0,298.0,276.0,290.0,310600
2026-05-19 00:00:00+07:00,294.0,294.0,270.0,278.0,723600
2026-05-20 00:00:00+07:00,290.0,290.0,262.0,278.0,459700
2026-05-21 00:00:00+07:00,284.0,284.0,250.0,254.0,266300
2026-05-22 00:00:00+07:00,256.0,262.0,244.0,260.0,2421300
2026-05-25 00:00:00+07:00,260.0,276.0,260.0,268.0,223300
2026-05-26 00:00:00+07:00,268.0,268.0,252.0,260.0,1138900
2026-05-27 00:00:00+07:00,260.0,260.0,260.0,260.0,0
2026-05-28 00:00:00+07:00,260.0,260.0,260.0,260.0,0
2026-05-29 00:00:00+07:00,260.0,262.0,238.0,242.0,1262300
2026-06-02 00:00:00+07:00,242.0,250.0,238.0,240.0,393100
2026-06-03 00:00:00+07:00,242.0,242.0,226.0,240.0,452200
2026-06-04 00:00:00+07:00,240.0,242.0,204.0,204.0,3161700
2026-06-05 00:00:00+07:00,210.0,224.0,204.0,204.0,886000
2026-06-08 00:00:00+07:00,204.0,206.0,195.0,200.0,600700
2026-06-09 00:00:00+07:00,200.0,208.0,194.0,206.0,1287500
2026-06-10 00:00:00+07:00,208.0,216.0,204.0,216.0,554600
2026-06-11 00:00:00+07:00,216.0,218.0,198.0,208.0,1278100
2026-06-12 00:00:00+07:00,208.0,220.0,202.0,216.0,1147300
2026-06-15 00:00:00+07:00,216.0,236.0,216.0,222.0,3723000
2026-06-17 00:00:00+07:00,222.0,226.0,212.0,220.0,2728400
2026-06-18 00:00:00+07:00,220.0,226.0,206.0,218.0,1750000
2026-06-19 00:00:00+07:00,218.0,222.0,212.0,218.0,553500
2026-06-22 00:00:00+07:00,218.0,220.0,212.0,216.0,1083600
2026-06-23 00:00:00+07:00,218.0,218.0,208.0,214.0,341400
2026-06-24 00:00:00+07:00,214.0,214.0,202.0,202.0,320700
2026-06-25 00:00:00+07:00,202.0,212.0,202.0,212.0,115700
2026-06-26 00:00:00+07:00,212.0,216.0,200.0,206.0,940200
2026-06-29 00:00:00+07:00,206.0,214.0,204.0,204.0,171300
2026-06-30 00:00:00+07:00,204.0,208.0,200.0,204.0,257700
2026-07-01 00:00:00+07:00,206.0,206.0,200.0,202.0,54200
2026-07-02 00:00:00+07:00,206.0,220.0,200.0,206.0,202400
2026-07-03 00:00:00+07:00,210.0,212.0,206.0,212.0,886300
2026-07-06 00:00:00+07:00,212.0,226.0,210.0,226.0,1817400
2026-07-07 00:00:00+07:00,234.0,234.0,216.0,224.0,1664000
2026-07-08 00:00:00+07:00,224.0,224.0,212.0,216.0,1375900
2026-07-09 00:00:00+07:00,218.0,222.0,208.0,220.0,1051200
2026-07-10 00:00:00+07:00,220.0,222.0,214.0,218.0,239400
2026-07-13 00:00:00+07:00,218.0,224.0,212.0,218.0,1377800
2026-07-14 00:00:00+07:00,218.0,230.0,216.0,224.0,2079500
2026-07-15 00:00:00+07:00,224.0,224.0,218.0,222.0,1317800
2026-07-16 00:00:00+07:00,222.0,226.0,218.0,226.0,724000
2026-07-17 00:00:00+07:00,228.0,230.0,220.0,226.0,1148500
2026-07-20 00:00:00+07:00,226.0,226.0,220.0,222.0,1293900
2026-07-21 00:00:00+07:00,222.0,222.0,218.0,220.0,2020700
2026-07-22 00:00:00+07:00,222.0,224.0,206.0,220.0,1744800
2026-07-23 00:00:00+07:00,222.0,228.0,218.0,220.0,2623600
2026-07-24 00:00:00+07:00,220.0,220.0,210.0,216.0,767600
2026-07-27 00:00:00+07:00,214.0,220.0,210.0,220.0,704800
2026-07-28 00:00:00+07:00,220.0,222.0,216.0,220.0,1554700
2026-07-29 00:00:00+07:00,220.0,222.0,214.0,218.0,532500
2026-07-30 00:00:00+07:00,216.0,220.0,212.0,216.0,1751200
2026-07-31 00:00:00+07:00,216.0,224.0,216.0,222.0,1122100
2026-08-03 00:00:00+07:00,222.0,258.0,222.0,228.0,7938500
2026-08-04 00:00:00+07:00,226.0,248.0,226.0,234.0,3022200
2026-08-05 00:00:00+07:00,240.0,240.0,234.0,234.0,1078700
2026-08-06 00:00:00+07:00,236.0,240.0,232.0,234.0,1157700
2026-08-07 00:00:00+07:00,234.0,236.0,230.0,234.0,769900
2026-08-10 00:00:00+07:00,236.0,242.0,234.0,240.0,2131900
2026-08-11 00:00:00+07:00,238.0,238.0,232.0,234.0,1392000
2026-08-12 00:00:00+07:00,240.0,240.0,230.0,232.0,1047600
2026-08-13 00:00:00+07:00,232.0,234.0,222.0,226.0,1141000
2026-08-14 00:00:00+07:00,226.0,228.0,220.0,226.0,334200
2026-08-18 00:00:00+07:00,228.0,242.0,226.0,236.0,4063000
2026-08-19 00:00:00+07:00,234.0,236.0,230.0,234.0,2064700
2026-08-20 00:00:00+07:00,234.0,244.0,230.0,242.0,3744700
2026-08-21 00:00:00+07:00,242.0,244.0,240.0,240.0,968500
2026-08-24 00:00:00+07:00,240.0,242.0,236.0,240.0,566200
2026-08-26 00:00:00+07:00,242.0,242.0,232.0,234.0,1456300
2026-08-27 00:00:00+07:00,234.0,242.0,230.0,238.0,1376600
2026-08-28 00:00:00+07:00,238.0,238.0,234.0,236.0,365500
2026-08-31 00:00:00+07:00,236.0,246.0,236.0,244.0,1775300
2026-09-01 00:00:00+07:00,244.0,252.0,238.0,246.0,1757000
2026-09-02 00:00:00+07:00,246.0,254.0,242.0,252.0,1329100
2026-09-03 00:00:00+07:00,252.0,312.0,252.0,284.0,21477400
2026-09-04 00:00:00+07:00,300.0,304.0,270.0,284.0,4818200
2026-09-07 00:00:00+07:00,284.0,286.0,270.0,274.0,2722800
2026-09-08 00:00:00+07:00,278.0,278.0,272.0,278.0,790200
2026-09-09 00:00:00+07:00,278.0,280.0,270.0,276.0,1169300
2026-09-10 00:00:00+07:00,276.0,292.0,272.0,280.0,2845700
2026-09-11 00:00:00+07:00,278.0,292.0,258.0,286.0,2025300
2026-09-14 00:00:00+07:00,286.0,292.0,272.0,286.0,1821400
2026-09-15 00:00:00+07:00,290.0,320.0,282.0,304.0,10601600
2026-09-16 00:00:00+07:00,308.0,310.0,298.0,300.0,3902100
2026-09-17 00:00:00+07:00,300.0,310.0,290.0,306.0,2981300
2026-09-18 00:00:00+07:00,318.0,318.0,300.0,306.0,1592500
2026-09-21 00:00:00+07:00,310.0,310.0,302.0,302.0,1482500
2026-09-22 00:00:00+07:00,304.0,306.0,288.0,294.0,1967800
2026-09-23 00:00:00+07:00,286.0,300.0,278.0,296.0,601100
2026-09-24 00:00:00+07:00,304.0,304.0,290.0,290.0,481600
2026-09-25 00:00:00+07:00,290.0,294.0,272.0,274.0,1661200
