Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,76.0,78.0,69.0,69.0,91681400
2026-02-27 00:00:00+07:00,71.0,75.0,69.0,75.0,14317100
2026-03-02 00:00:00+07:00,76.0,80.0,68.0,71.0,53986200
2026-03-03 00:00:00+07:00,72.0,73.0,67.0,70.0,14927400
2026-03-04 00:00:00+07:00,70.0,72.0,63.0,69.0,32094300
2026-03-05 00:00:00+07:00,69.0,72.0,69.0,70.0,2139900
2026-03-06 00:00:00+07:00,70.0,70.0,67.0,69.0,4694400
2026-03-09 00:00:00+07:00,69.0,69.0,63.0,63.0,17513300
2026-03-10 00:00:00+07:00,65.0,66.0,63.0,65.0,3493900
2026-03-11 00:00:00+07:00,65.0,71.0,65.0,71.0,8931500
2026-03-12 00:00:00+07:00,72.0,76.0,68.0,68.0,3490800
2026-03-13 00:00:00+07:00,68.0,74.0,66.0,66.0,2747300
2026-03-16 00:00:00+07:00,66.0,66.0,62.0,65.0,2386900
2026-03-17 00:00:00+07:00,67.0,67.0,64.0,67.0,573500
2026-03-25 00:00:00+07:00,66.0,69.0,62.0,69.0,2680600
2026-03-26 00:00:00+07:00,69.0,73.0,69.0,71.0,1223900
2026-03-27 00:00:00+07:00,73.0,73.0,68.0,69.0,1079500
2026-03-30 00:00:00+07:00,69.0,70.0,65.0,65.0,3596800
2026-03-31 00:00:00+07:00,65.0,66.0,64.0,66.0,2957300
2026-04-01 00:00:00+07:00,65.0,67.0,63.0,65.0,1885200
2026-04-02 00:00:00+07:00,66.0,68.0,64.0,65.0,3112100
2026-04-06 00:00:00+07:00,65.0,70.0,63.0,64.0,2325400
2026-04-07 00:00:00+07:00,64.0,65.0,58.0,59.0,16842000
2026-04-08 00:00:00+07:00,60.0,61.0,58.0,59.0,8638500
2026-04-09 00:00:00+07:00,60.0,60.0,58.0,60.0,1691600
2026-04-10 00:00:00+07:00,60.0,62.0,58.0,61.0,3569900
2026-04-13 00:00:00+07:00,61.0,62.0,58.0,60.0,12136200
2026-04-14 00:00:00+07:00,60.0,66.0,59.0,62.0,13803200
2026-04-15 00:00:00+07:00,66.0,68.0,62.0,68.0,26175000
2026-04-16 00:00:00+07:00,68.0,74.0,67.0,72.0,29196400
