Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,730.0,730.0,695.0,725.0,6090400
2026-03-02 00:00:00+07:00,680.0,700.0,660.0,660.0,11020300
2026-03-03 00:00:00+07:00,670.0,705.0,640.0,670.0,6734400
2026-03-04 00:00:00+07:00,675.0,675.0,595.0,620.0,11192200
2026-03-05 00:00:00+07:00,635.0,645.0,615.0,620.0,3122400
2026-03-06 00:00:00+07:00,620.0,620.0,575.0,600.0,7218500
2026-03-09 00:00:00+07:00,555.0,580.0,515.0,565.0,8898300
2026-03-10 00:00:00+07:00,600.0,615.0,565.0,600.0,4478300
2026-03-11 00:00:00+07:00,610.0,620.0,570.0,570.0,4393000
2026-03-12 00:00:00+07:00,580.0,580.0,550.0,550.0,2750500
2026-03-13 00:00:00+07:00,550.0,555.0,505.0,520.0,6307100
2026-03-16 00:00:00+07:00,520.0,520.0,486.0,500.0,4565500
2026-03-17 00:00:00+07:00,515.0,525.0,490.0,500.0,5533900
2026-03-25 00:00:00+07:00,500.0,570.0,492.0,565.0,5784000
2026-03-26 00:00:00+07:00,580.0,625.0,555.0,555.0,10639600
2026-03-27 00:00:00+07:00,555.0,585.0,540.0,560.0,5637200
2026-03-30 00:00:00+07:00,555.0,560.0,520.0,550.0,2936800
2026-03-31 00:00:00+07:00,550.0,580.0,530.0,560.0,4859100
2026-04-01 00:00:00+07:00,565.0,590.0,560.0,570.0,7357800
2026-04-02 00:00:00+07:00,560.0,570.0,540.0,545.0,2717100
2026-04-06 00:00:00+07:00,530.0,560.0,525.0,545.0,1778600
2026-04-07 00:00:00+07:00,545.0,570.0,535.0,550.0,3277800
2026-04-08 00:00:00+07:00,575.0,590.0,560.0,585.0,7517000
2026-04-09 00:00:00+07:00,575.0,580.0,560.0,575.0,4266700
2026-04-10 00:00:00+07:00,575.0,625.0,575.0,605.0,13075100
2026-04-13 00:00:00+07:00,575.0,675.0,570.0,650.0,36434200
2026-04-14 00:00:00+07:00,660.0,680.0,640.0,660.0,14232100
2026-04-15 00:00:00+07:00,665.0,705.0,630.0,665.0,24857200
2026-04-16 00:00:00+07:00,680.0,765.0,660.0,760.0,51426200
2026-04-17 00:00:00+07:00,750.0,750.0,695.0,705.0,28603100
2026-04-20 00:00:00+07:00,710.0,720.0,670.0,670.0,15633200
2026-04-21 00:00:00+07:00,670.0,725.0,670.0,720.0,15725300
2026-04-22 00:00:00+07:00,730.0,780.0,710.0,770.0,46587800
2026-04-23 00:00:00+07:00,775.0,795.0,710.0,710.0,34709700
2026-04-24 00:00:00+07:00,720.0,720.0,610.0,615.0,39104400
2026-04-27 00:00:00+07:00,620.0,655.0,615.0,635.0,13630600
2026-04-28 00:00:00+07:00,640.0,650.0,615.0,630.0,4698100
2026-04-29 00:00:00+07:00,640.0,655.0,625.0,630.0,4561600
2026-04-30 00:00:00+07:00,630.0,630.0,570.0,615.0,11428700
2026-05-04 00:00:00+07:00,615.0,635.0,600.0,600.0,6013200
2026-05-05 00:00:00+07:00,600.0,630.0,590.0,630.0,8074600
2026-05-06 00:00:00+07:00,625.0,630.0,610.0,615.0,4398200
2026-05-07 00:00:00+07:00,625.0,635.0,600.0,605.0,6143500
2026-05-08 00:00:00+07:00,605.0,610.0,565.0,570.0,8586900
2026-05-11 00:00:00+07:00,580.0,585.0,550.0,560.0,9766200
2026-05-12 00:00:00+07:00,565.0,570.0,525.0,560.0,6144400
2026-05-13 00:00:00+07:00,560.0,560.0,545.0,555.0,3122400
2026-05-14 00:00:00+07:00,555.0,555.0,555.0,555.0,0
2026-05-15 00:00:00+07:00,555.0,555.0,555.0,555.0,0
2026-05-18 00:00:00+07:00,555.0,555.0,496.0,515.0,13945300
2026-05-19 00:00:00+07:00,520.0,525.0,480.0,488.0,8114100
2026-05-20 00:00:00+07:00,490.0,505.0,462.0,488.0,6912500
2026-05-21 00:00:00+07:00,494.0,500.0,438.0,444.0,12695000
2026-05-22 00:00:00+07:00,446.0,476.0,426.0,476.0,9933100
2026-05-25 00:00:00+07:00,476.0,486.0,458.0,476.0,4351100
2026-05-26 00:00:00+07:00,480.0,494.0,474.0,478.0,6466200
2026-05-27 00:00:00+07:00,478.0,478.0,478.0,478.0,0
2026-05-28 00:00:00+07:00,478.0,478.0,478.0,478.0,0
2026-05-29 00:00:00+07:00,480.0,500.0,480.0,490.0,6720400
2026-06-02 00:00:00+07:00,500.0,510.0,490.0,498.0,6906400
2026-06-03 00:00:00+07:00,505.0,505.0,462.0,480.0,8562300
2026-06-04 00:00:00+07:00,484.0,484.0,450.0,470.0,8196500
2026-06-05 00:00:00+07:00,444.0,444.0,410.0,410.0,6525300
2026-06-08 00:00:00+07:00,400.0,400.0,350.0,354.0,11535900
2026-06-09 00:00:00+07:00,356.0,412.0,350.0,410.0,7074300
2026-06-10 00:00:00+07:00,420.0,424.0,390.0,410.0,3227500
2026-06-11 00:00:00+07:00,412.0,418.0,382.0,400.0,2858800
2026-06-12 00:00:00+07:00,400.0,422.0,400.0,414.0,4115900
2026-06-15 00:00:00+07:00,418.0,470.0,418.0,450.0,8610800
2026-06-17 00:00:00+07:00,460.0,470.0,444.0,464.0,7449500
2026-06-18 00:00:00+07:00,468.0,484.0,456.0,470.0,5364400
2026-06-19 00:00:00+07:00,480.0,480.0,462.0,464.0,3072600
2026-06-22 00:00:00+07:00,464.0,464.0,442.0,448.0,2746100
2026-06-23 00:00:00+07:00,450.0,466.0,448.0,456.0,3009900
2026-06-24 00:00:00+07:00,452.0,466.0,434.0,436.0,2648200
2026-06-25 00:00:00+07:00,438.0,448.0,430.0,446.0,1800200
2026-06-26 00:00:00+07:00,446.0,448.0,414.0,424.0,2670300
2026-06-29 00:00:00+07:00,426.0,426.0,414.0,416.0,1391900
2026-06-30 00:00:00+07:00,414.0,418.0,396.0,402.0,1215900
2026-07-01 00:00:00+07:00,402.0,416.0,398.0,410.0,1557100
2026-07-02 00:00:00+07:00,410.0,420.0,400.0,416.0,1553500
2026-07-03 00:00:00+07:00,420.0,436.0,416.0,426.0,1992800
2026-07-06 00:00:00+07:00,426.0,434.0,416.0,422.0,792200
2026-07-07 00:00:00+07:00,422.0,434.0,420.0,424.0,2317300
2026-07-08 00:00:00+07:00,430.0,434.0,412.0,412.0,1320800
2026-07-09 00:00:00+07:00,418.0,424.0,412.0,420.0,851600
2026-07-10 00:00:00+07:00,422.0,488.0,416.0,454.0,16041800
2026-07-13 00:00:00+07:00,460.0,484.0,454.0,464.0,9747900
2026-07-14 00:00:00+07:00,468.0,478.0,460.0,462.0,4369300
2026-07-15 00:00:00+07:00,468.0,476.0,458.0,464.0,4291400
2026-07-16 00:00:00+07:00,462.0,540.0,458.0,515.0,31091700
2026-07-17 00:00:00+07:00,515.0,520.0,490.0,500.0,8276100
2026-07-20 00:00:00+07:00,510.0,525.0,505.0,510.0,5310500
2026-07-21 00:00:00+07:00,510.0,540.0,510.0,535.0,10616500
2026-07-22 00:00:00+07:00,535.0,535.0,505.0,515.0,4799500
2026-07-23 00:00:00+07:00,515.0,530.0,505.0,510.0,6196900
2026-07-24 00:00:00+07:00,510.0,510.0,488.0,496.0,4005700
2026-07-27 00:00:00+07:00,490.0,500.0,480.0,490.0,2116200
2026-07-28 00:00:00+07:00,494.0,494.0,470.0,480.0,2917400
2026-07-29 00:00:00+07:00,480.0,488.0,462.0,470.0,2497400
2026-07-30 00:00:00+07:00,466.0,476.0,466.0,474.0,847300
2026-07-31 00:00:00+07:00,476.0,510.0,476.0,496.0,3961600
2026-08-03 00:00:00+07:00,500.0,505.0,490.0,492.0,2517200
2026-08-04 00:00:00+07:00,490.0,535.0,484.0,515.0,8853300
2026-08-05 00:00:00+07:00,525.0,545.0,515.0,535.0,8009000
2026-08-06 00:00:00+07:00,535.0,540.0,515.0,530.0,4919000
2026-08-07 00:00:00+07:00,530.0,540.0,520.0,530.0,2321100
2026-08-10 00:00:00+07:00,525.0,555.0,520.0,525.0,8825900
2026-08-11 00:00:00+07:00,525.0,525.0,500.0,510.0,5375300
2026-08-12 00:00:00+07:00,515.0,535.0,505.0,530.0,6388700
2026-08-13 00:00:00+07:00,530.0,550.0,520.0,530.0,9529300
2026-08-14 00:00:00+07:00,530.0,540.0,515.0,530.0,2450900
2026-08-18 00:00:00+07:00,530.0,560.0,530.0,545.0,10822100
