Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,167.0,189.0,162.0,187.0,25141400
2026-03-02 00:00:00+07:00,170.0,178.0,159.0,159.0,60083400
2026-03-03 00:00:00+07:00,159.0,164.0,138.0,158.0,30844700
2026-03-04 00:00:00+07:00,154.0,165.0,135.0,135.0,52569000
2026-03-05 00:00:00+07:00,158.0,171.0,141.0,146.0,102877900
2026-03-06 00:00:00+07:00,144.0,154.0,129.0,146.0,33327300
2026-03-09 00:00:00+07:00,125.0,139.0,125.0,135.0,34382700
2026-03-10 00:00:00+07:00,140.0,165.0,131.0,146.0,61970500
2026-03-11 00:00:00+07:00,150.0,166.0,140.0,145.0,44647000
2026-03-12 00:00:00+07:00,150.0,150.0,134.0,136.0,10817900
2026-03-13 00:00:00+07:00,131.0,137.0,126.0,126.0,18485500
2026-03-16 00:00:00+07:00,126.0,128.0,117.0,120.0,13251500
2026-03-17 00:00:00+07:00,122.0,135.0,119.0,123.0,17224100
2026-03-25 00:00:00+07:00,123.0,137.0,118.0,134.0,11258800
2026-03-26 00:00:00+07:00,140.0,142.0,125.0,128.0,13408400
2026-03-27 00:00:00+07:00,128.0,130.0,122.0,130.0,7199400
2026-03-30 00:00:00+07:00,124.0,133.0,121.0,128.0,10808700
2026-03-31 00:00:00+07:00,128.0,130.0,118.0,121.0,13101300
2026-04-01 00:00:00+07:00,126.0,132.0,124.0,128.0,18329000
2026-04-02 00:00:00+07:00,128.0,128.0,119.0,122.0,6668900
2026-04-06 00:00:00+07:00,121.0,125.0,116.0,117.0,15116100
2026-04-07 00:00:00+07:00,119.0,121.0,115.0,118.0,9032500
2026-04-08 00:00:00+07:00,121.0,129.0,119.0,125.0,24013500
2026-04-09 00:00:00+07:00,125.0,126.0,123.0,124.0,5619900
2026-04-10 00:00:00+07:00,126.0,161.0,126.0,147.0,111506000
2026-04-13 00:00:00+07:00,146.0,158.0,140.0,154.0,61292000
2026-04-14 00:00:00+07:00,157.0,165.0,152.0,158.0,67674500
2026-04-15 00:00:00+07:00,162.0,165.0,156.0,156.0,26791800
2026-04-16 00:00:00+07:00,158.0,161.0,149.0,150.0,15516300
2026-04-17 00:00:00+07:00,146.0,198.0,146.0,181.0,401865100
2026-04-20 00:00:00+07:00,181.0,188.0,168.0,169.0,78543700
2026-04-21 00:00:00+07:00,170.0,177.0,162.0,172.0,45026600
2026-04-22 00:00:00+07:00,173.0,206.0,173.0,194.0,295448700
2026-04-23 00:00:00+07:00,195.0,196.0,177.0,182.0,53726500
2026-04-24 00:00:00+07:00,182.0,202.0,165.0,167.0,110156500
2026-04-27 00:00:00+07:00,169.0,181.0,165.0,171.0,26647400
2026-04-28 00:00:00+07:00,175.0,212.0,166.0,212.0,282843400
2026-04-29 00:00:00+07:00,212.0,218.0,191.0,191.0,205457900
2026-04-30 00:00:00+07:00,191.0,196.0,172.0,181.0,57563500
2026-05-04 00:00:00+07:00,188.0,194.0,182.0,184.0,37125800
2026-05-05 00:00:00+07:00,185.0,197.0,179.0,190.0,54721600
2026-05-06 00:00:00+07:00,192.0,193.0,184.0,184.0,25623200
2026-05-07 00:00:00+07:00,186.0,194.0,185.0,188.0,53712300
2026-05-08 00:00:00+07:00,190.0,197.0,170.0,170.0,75965000
2026-05-11 00:00:00+07:00,168.0,175.0,157.0,169.0,30261900
2026-05-12 00:00:00+07:00,171.0,177.0,144.0,159.0,21536500
2026-05-13 00:00:00+07:00,159.0,169.0,150.0,160.0,28481300
2026-05-14 00:00:00+07:00,160.0,160.0,160.0,160.0,0
2026-05-15 00:00:00+07:00,160.0,160.0,160.0,160.0,0
2026-05-18 00:00:00+07:00,159.0,160.0,146.0,158.0,14280900
2026-05-19 00:00:00+07:00,158.0,166.0,145.0,146.0,15785000
2026-05-20 00:00:00+07:00,146.0,150.0,134.0,147.0,16000000
2026-05-21 00:00:00+07:00,151.0,155.0,125.0,126.0,33706100
2026-05-22 00:00:00+07:00,126.0,134.0,114.0,134.0,14090200
2026-05-25 00:00:00+07:00,142.0,142.0,130.0,132.0,11626200
2026-05-26 00:00:00+07:00,132.0,148.0,127.0,128.0,22113100
2026-05-27 00:00:00+07:00,128.0,128.0,128.0,128.0,0
2026-05-28 00:00:00+07:00,128.0,128.0,128.0,128.0,0
2026-05-29 00:00:00+07:00,128.0,143.0,128.0,138.0,15346300
2026-06-02 00:00:00+07:00,141.0,145.0,137.0,138.0,14122000
2026-06-03 00:00:00+07:00,140.0,142.0,119.0,119.0,12302400
2026-06-04 00:00:00+07:00,118.0,119.0,102.0,102.0,29485900
2026-06-05 00:00:00+07:00,101.0,104.0,90.0,93.0,31991500
2026-06-08 00:00:00+07:00,88.0,94.0,80.0,89.0,18255800
2026-06-09 00:00:00+07:00,95.0,105.0,87.0,105.0,28144800
2026-06-10 00:00:00+07:00,110.0,123.0,101.0,114.0,37662500
2026-06-11 00:00:00+07:00,113.0,117.0,105.0,108.0,11543300
2026-06-12 00:00:00+07:00,110.0,143.0,110.0,127.0,67964500
2026-06-15 00:00:00+07:00,131.0,134.0,123.0,127.0,36112800
2026-06-17 00:00:00+07:00,128.0,131.0,119.0,123.0,14258400
2026-06-18 00:00:00+07:00,123.0,124.0,105.0,115.0,33097200
2026-06-19 00:00:00+07:00,118.0,123.0,112.0,116.0,10625500
2026-06-22 00:00:00+07:00,117.0,118.0,110.0,113.0,6711600
2026-06-23 00:00:00+07:00,114.0,118.0,110.0,114.0,10944300
2026-06-24 00:00:00+07:00,116.0,118.0,100.0,101.0,18498100
2026-06-25 00:00:00+07:00,100.0,109.0,92.0,107.0,14725300
2026-06-26 00:00:00+07:00,110.0,112.0,97.0,99.0,8126600
2026-06-29 00:00:00+07:00,96.0,101.0,95.0,98.0,7218500
2026-06-30 00:00:00+07:00,98.0,98.0,90.0,91.0,11423500
2026-07-01 00:00:00+07:00,92.0,102.0,89.0,101.0,16573000
2026-07-02 00:00:00+07:00,103.0,109.0,99.0,102.0,23862700
2026-07-03 00:00:00+07:00,102.0,108.0,102.0,105.0,8927200
2026-07-06 00:00:00+07:00,107.0,121.0,105.0,111.0,25409800
2026-07-07 00:00:00+07:00,112.0,112.0,108.0,110.0,5728800
2026-07-08 00:00:00+07:00,109.0,115.0,102.0,107.0,12480400
2026-07-09 00:00:00+07:00,110.0,110.0,106.0,108.0,9158700
2026-07-10 00:00:00+07:00,108.0,116.0,106.0,107.0,11407100
2026-07-13 00:00:00+07:00,108.0,111.0,105.0,111.0,7814100
2026-07-14 00:00:00+07:00,112.0,117.0,107.0,115.0,19929200
2026-07-15 00:00:00+07:00,115.0,127.0,113.0,113.0,37581900
2026-07-16 00:00:00+07:00,114.0,128.0,111.0,118.0,82142400
2026-07-17 00:00:00+07:00,119.0,119.0,113.0,116.0,11418400
2026-07-20 00:00:00+07:00,117.0,119.0,115.0,117.0,12583100
2026-07-21 00:00:00+07:00,118.0,124.0,117.0,121.0,37991400
2026-07-22 00:00:00+07:00,124.0,138.0,121.0,125.0,88777500
2026-07-23 00:00:00+07:00,125.0,133.0,121.0,124.0,55056000
2026-07-24 00:00:00+07:00,123.0,123.0,111.0,116.0,22360800
2026-07-27 00:00:00+07:00,117.0,126.0,114.0,121.0,33831100
2026-07-28 00:00:00+07:00,121.0,124.0,117.0,118.0,9885400
2026-07-29 00:00:00+07:00,121.0,129.0,117.0,122.0,32382200
2026-07-30 00:00:00+07:00,122.0,146.0,121.0,141.0,183954300
2026-07-31 00:00:00+07:00,146.0,163.0,141.0,144.0,188466800
2026-08-03 00:00:00+07:00,147.0,157.0,143.0,149.0,72574900
2026-08-04 00:00:00+07:00,155.0,199.0,152.0,189.0,366795300
2026-08-05 00:00:00+07:00,185.0,193.0,178.0,189.0,130359500
2026-08-06 00:00:00+07:00,193.0,193.0,181.0,184.0,45377400
2026-08-07 00:00:00+07:00,189.0,204.0,185.0,192.0,166798100
2026-08-10 00:00:00+07:00,195.0,196.0,182.0,185.0,54728700
2026-08-11 00:00:00+07:00,185.0,187.0,164.0,170.0,60449500
2026-08-12 00:00:00+07:00,171.0,188.0,171.0,184.0,73177600
2026-08-13 00:00:00+07:00,186.0,187.0,170.0,173.0,27079300
2026-08-14 00:00:00+07:00,173.0,183.0,171.0,180.0,55005800
2026-08-18 00:00:00+07:00,180.0,240.0,179.0,240.0,578205200
2026-08-19 00:00:00+07:00,236.0,252.0,218.0,224.0,365323800
2026-08-20 00:00:00+07:00,226.0,236.0,220.0,232.0,123557500
2026-08-21 00:00:00+07:00,234.0,238.0,224.0,230.0,94532400
2026-08-24 00:00:00+07:00,236.0,246.0,224.0,230.0,148295800
2026-08-26 00:00:00+07:00,234.0,234.0,196.0,196.0,112601900
2026-08-27 00:00:00+07:00,196.0,232.0,193.0,232.0,180648200
2026-08-28 00:00:00+07:00,234.0,236.0,212.0,222.0,91451500
2026-08-31 00:00:00+07:00,222.0,232.0,214.0,228.0,97709300
2026-09-01 00:00:00+07:00,232.0,242.0,220.0,226.0,151635100
2026-09-02 00:00:00+07:00,226.0,228.0,216.0,220.0,33428300
2026-09-03 00:00:00+07:00,224.0,226.0,216.0,220.0,27259600
2026-09-04 00:00:00+07:00,222.0,228.0,218.0,222.0,52523400
2026-09-07 00:00:00+07:00,224.0,228.0,216.0,224.0,38408200
2026-09-08 00:00:00+07:00,224.0,234.0,220.0,220.0,73434200
