Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,232.0,250.0,228.0,250.0,5990300
2026-02-27 00:00:00+07:00,252.0,266.0,226.0,228.0,5258400
2026-03-02 00:00:00+07:00,226.0,226.0,206.0,208.0,4553800
2026-03-03 00:00:00+07:00,206.0,216.0,189.0,204.0,3137300
2026-03-04 00:00:00+07:00,204.0,204.0,184.0,185.0,3334400
2026-03-05 00:00:00+07:00,185.0,202.0,183.0,202.0,648900
2026-03-06 00:00:00+07:00,216.0,220.0,200.0,212.0,1992800
2026-03-09 00:00:00+07:00,216.0,216.0,191.0,195.0,2444400
2026-03-10 00:00:00+07:00,195.0,210.0,190.0,202.0,626600
2026-03-11 00:00:00+07:00,204.0,212.0,193.0,200.0,1370700
2026-03-12 00:00:00+07:00,195.0,220.0,195.0,206.0,1156800
2026-03-13 00:00:00+07:00,206.0,214.0,193.0,193.0,1298900
2026-03-16 00:00:00+07:00,193.0,193.0,175.0,191.0,983400
2026-03-17 00:00:00+07:00,200.0,200.0,186.0,192.0,405800
2026-03-25 00:00:00+07:00,191.0,200.0,187.0,194.0,1745800
2026-03-26 00:00:00+07:00,200.0,200.0,188.0,191.0,589700
2026-03-27 00:00:00+07:00,195.0,195.0,189.0,189.0,139500
2026-03-30 00:00:00+07:00,189.0,202.0,185.0,197.0,906300
2026-03-31 00:00:00+07:00,197.0,198.0,189.0,196.0,348700
2026-04-01 00:00:00+07:00,196.0,196.0,188.0,192.0,557200
2026-04-02 00:00:00+07:00,192.0,192.0,184.0,185.0,1020500
2026-04-06 00:00:00+07:00,200.0,200.0,183.0,183.0,829600
2026-04-07 00:00:00+07:00,190.0,190.0,179.0,180.0,497400
2026-04-08 00:00:00+07:00,180.0,185.0,180.0,182.0,1504000
2026-04-09 00:00:00+07:00,182.0,184.0,178.0,183.0,1387200
2026-04-10 00:00:00+07:00,182.0,200.0,180.0,190.0,1792700
2026-04-13 00:00:00+07:00,190.0,208.0,188.0,208.0,2058400
2026-04-14 00:00:00+07:00,208.0,228.0,208.0,228.0,2491400
2026-04-15 00:00:00+07:00,240.0,250.0,230.0,248.0,3754300
2026-04-16 00:00:00+07:00,248.0,254.0,228.0,230.0,1621300
2026-04-17 00:00:00+07:00,236.0,240.0,210.0,234.0,579000
2026-04-20 00:00:00+07:00,236.0,246.0,234.0,234.0,964800
2026-04-21 00:00:00+07:00,236.0,246.0,228.0,234.0,948200
2026-04-22 00:00:00+07:00,238.0,248.0,236.0,242.0,1574100
2026-04-23 00:00:00+07:00,242.0,250.0,228.0,240.0,1345800
2026-04-24 00:00:00+07:00,240.0,240.0,226.0,226.0,1577100
2026-04-27 00:00:00+07:00,228.0,234.0,224.0,226.0,631500
2026-04-28 00:00:00+07:00,226.0,228.0,208.0,218.0,615400
2026-04-29 00:00:00+07:00,218.0,224.0,212.0,216.0,1085300
2026-04-30 00:00:00+07:00,216.0,224.0,206.0,206.0,1454600
2026-05-04 00:00:00+07:00,216.0,216.0,199.0,199.0,508500
2026-05-05 00:00:00+07:00,199.0,206.0,192.0,202.0,443400
2026-05-06 00:00:00+07:00,200.0,214.0,200.0,208.0,213200
2026-05-07 00:00:00+07:00,212.0,220.0,192.0,214.0,1328400
2026-05-08 00:00:00+07:00,210.0,220.0,200.0,216.0,370500
2026-05-11 00:00:00+07:00,226.0,226.0,198.0,206.0,758100
2026-05-12 00:00:00+07:00,202.0,206.0,198.0,200.0,679500
2026-05-13 00:00:00+07:00,198.0,220.0,198.0,220.0,986400
2026-05-14 00:00:00+07:00,220.0,220.0,220.0,220.0,0
2026-05-15 00:00:00+07:00,220.0,220.0,220.0,220.0,0
2026-05-18 00:00:00+07:00,220.0,230.0,198.0,220.0,1150100
2026-05-19 00:00:00+07:00,220.0,228.0,199.0,218.0,2057200
2026-05-20 00:00:00+07:00,220.0,220.0,197.0,197.0,3183900
2026-05-21 00:00:00+07:00,193.0,193.0,178.0,178.0,2045600
2026-05-22 00:00:00+07:00,195.0,195.0,195.0,195.0,3694600
2026-05-25 00:00:00+07:00,214.0,214.0,214.0,214.0,6848300
2026-05-26 00:00:00+07:00,234.0,234.0,214.0,234.0,26903000
2026-05-27 00:00:00+07:00,234.0,234.0,234.0,234.0,0
2026-05-28 00:00:00+07:00,234.0,234.0,234.0,234.0,0
2026-05-29 00:00:00+07:00,232.0,256.0,232.0,250.0,45861200
2026-06-02 00:00:00+07:00,248.0,248.0,226.0,226.0,3013800
2026-06-03 00:00:00+07:00,204.0,220.0,204.0,204.0,350400
2026-06-04 00:00:00+07:00,184.0,194.0,184.0,184.0,1722000
2026-06-05 00:00:00+07:00,183.0,183.0,166.0,166.0,1326200
2026-06-08 00:00:00+07:00,166.0,166.0,150.0,150.0,288800
2026-06-09 00:00:00+07:00,150.0,163.0,135.0,159.0,12955400
2026-06-10 00:00:00+07:00,159.0,174.0,150.0,161.0,4891800
2026-06-11 00:00:00+07:00,161.0,165.0,155.0,156.0,679200
2026-06-12 00:00:00+07:00,156.0,164.0,154.0,162.0,1147900
2026-06-15 00:00:00+07:00,160.0,170.0,153.0,164.0,3157300
2026-06-17 00:00:00+07:00,164.0,179.0,164.0,174.0,1807100
2026-06-18 00:00:00+07:00,174.0,183.0,174.0,183.0,2242300
2026-06-19 00:00:00+07:00,182.0,200.0,182.0,191.0,947300
2026-06-22 00:00:00+07:00,192.0,194.0,188.0,190.0,1069400
2026-06-23 00:00:00+07:00,189.0,190.0,175.0,183.0,730600
2026-06-24 00:00:00+07:00,183.0,189.0,175.0,180.0,534300
2026-06-25 00:00:00+07:00,180.0,180.0,172.0,175.0,1069700
2026-06-26 00:00:00+07:00,174.0,180.0,171.0,172.0,113300
2026-06-29 00:00:00+07:00,171.0,175.0,166.0,166.0,308500
2026-06-30 00:00:00+07:00,166.0,172.0,165.0,167.0,969200
2026-07-01 00:00:00+07:00,169.0,173.0,167.0,172.0,513800
2026-07-02 00:00:00+07:00,172.0,189.0,168.0,177.0,1160600
2026-07-03 00:00:00+07:00,177.0,194.0,177.0,194.0,4262200
2026-07-06 00:00:00+07:00,194.0,212.0,194.0,212.0,3038500
2026-07-07 00:00:00+07:00,232.0,232.0,200.0,232.0,12875900
2026-07-08 00:00:00+07:00,230.0,230.0,210.0,216.0,4416500
2026-07-09 00:00:00+07:00,214.0,234.0,210.0,228.0,3305100
2026-07-10 00:00:00+07:00,226.0,234.0,212.0,222.0,1457400
2026-07-13 00:00:00+07:00,230.0,230.0,206.0,210.0,1878200
2026-07-14 00:00:00+07:00,220.0,220.0,195.0,210.0,2340300
