Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,45.0,48.0,45.0,48.0,849100
2026-03-02 00:00:00+07:00,46.0,48.0,46.0,46.0,1277600
2026-03-03 00:00:00+07:00,46.0,46.0,45.0,45.0,1121300
2026-03-04 00:00:00+07:00,44.0,44.0,42.0,42.0,1845300
2026-03-05 00:00:00+07:00,41.0,45.0,41.0,45.0,1487100
2026-03-06 00:00:00+07:00,47.0,47.0,46.0,46.0,2075300
2026-03-09 00:00:00+07:00,43.0,43.0,43.0,43.0,1687200
2026-03-10 00:00:00+07:00,45.0,46.0,45.0,45.0,583600
2026-03-11 00:00:00+07:00,44.0,45.0,43.0,43.0,435400
2026-03-12 00:00:00+07:00,43.0,43.0,43.0,43.0,387300
2026-03-13 00:00:00+07:00,42.0,42.0,42.0,42.0,445900
2026-03-16 00:00:00+07:00,42.0,43.0,42.0,43.0,554700
2026-03-17 00:00:00+07:00,45.0,45.0,43.0,45.0,86200
2026-03-25 00:00:00+07:00,45.0,45.0,44.0,44.0,851700
2026-03-26 00:00:00+07:00,48.0,48.0,45.0,45.0,484500
2026-03-27 00:00:00+07:00,44.0,44.0,44.0,44.0,269600
2026-03-30 00:00:00+07:00,46.0,48.0,45.0,48.0,10497800
2026-03-31 00:00:00+07:00,52.0,52.0,52.0,52.0,4750700
2026-04-01 00:00:00+07:00,57.0,57.0,57.0,57.0,31184600
2026-04-02 00:00:00+07:00,61.0,61.0,53.0,53.0,24288600
2026-04-06 00:00:00+07:00,50.0,51.0,50.0,50.0,11000600
2026-04-07 00:00:00+07:00,50.0,50.0,46.0,46.0,5629500
2026-04-08 00:00:00+07:00,46.0,48.0,46.0,48.0,4294600
2026-04-09 00:00:00+07:00,48.0,50.0,48.0,49.0,1428500
2026-04-10 00:00:00+07:00,49.0,53.0,49.0,53.0,2736600
2026-04-13 00:00:00+07:00,58.0,58.0,58.0,58.0,10559300
2026-04-14 00:00:00+07:00,57.0,61.0,57.0,58.0,10409000
2026-04-15 00:00:00+07:00,57.0,58.0,57.0,58.0,7163500
2026-04-16 00:00:00+07:00,59.0,62.0,59.0,60.0,8508300
2026-04-17 00:00:00+07:00,60.0,60.0,60.0,60.0,3012000
2026-04-20 00:00:00+07:00,62.0,62.0,59.0,59.0,5143500
2026-04-21 00:00:00+07:00,59.0,63.0,59.0,63.0,4003900
2026-04-22 00:00:00+07:00,63.0,63.0,63.0,63.0,6099800
2026-04-23 00:00:00+07:00,64.0,67.0,64.0,66.0,6902100
2026-04-24 00:00:00+07:00,66.0,66.0,60.0,60.0,5313100
2026-04-27 00:00:00+07:00,62.0,65.0,62.0,64.0,5179000
2026-04-28 00:00:00+07:00,64.0,66.0,64.0,66.0,6442600
2026-04-29 00:00:00+07:00,66.0,68.0,66.0,68.0,5973600
2026-04-30 00:00:00+07:00,65.0,66.0,63.0,66.0,6212200
2026-05-04 00:00:00+07:00,69.0,70.0,69.0,70.0,11565900
2026-05-05 00:00:00+07:00,70.0,77.0,70.0,77.0,23712800
2026-05-06 00:00:00+07:00,81.0,81.0,74.0,76.0,18866500
2026-05-07 00:00:00+07:00,74.0,74.0,70.0,70.0,13156500
2026-05-08 00:00:00+07:00,71.0,76.0,71.0,75.0,9077800
2026-05-11 00:00:00+07:00,79.0,79.0,73.0,73.0,8492100
2026-05-12 00:00:00+07:00,73.0,73.0,66.0,70.0,17331300
2026-05-13 00:00:00+07:00,72.0,74.0,71.0,74.0,7617200
2026-05-14 00:00:00+07:00,74.0,74.0,74.0,74.0,0
2026-05-15 00:00:00+07:00,74.0,74.0,74.0,74.0,0
2026-05-18 00:00:00+07:00,71.0,74.0,71.0,74.0,7420100
2026-05-19 00:00:00+07:00,76.0,76.0,71.0,71.0,6635700
2026-05-20 00:00:00+07:00,72.0,72.0,70.0,71.0,5348300
2026-05-21 00:00:00+07:00,69.0,69.0,64.0,64.0,12454900
2026-05-22 00:00:00+07:00,58.0,70.0,58.0,70.0,16960900
2026-05-25 00:00:00+07:00,75.0,75.0,72.0,75.0,16885500
2026-05-26 00:00:00+07:00,75.0,75.0,70.0,70.0,21398200
2026-05-27 00:00:00+07:00,70.0,70.0,70.0,70.0,0
2026-05-28 00:00:00+07:00,70.0,70.0,70.0,70.0,0
2026-05-29 00:00:00+07:00,83.0,85.0,64.0,64.0,501948900
2026-06-02 00:00:00+07:00,64.0,67.0,59.0,60.0,88996300
2026-06-03 00:00:00+07:00,60.0,63.0,51.0,56.0,96358600
2026-06-04 00:00:00+07:00,54.0,56.0,51.0,53.0,28997000
2026-06-05 00:00:00+07:00,54.0,60.0,51.0,53.0,48337200
2026-06-08 00:00:00+07:00,52.0,52.0,50.0,50.0,34252400
2026-06-09 00:00:00+07:00,50.0,54.0,50.0,54.0,32635600
2026-06-10 00:00:00+07:00,54.0,55.0,52.0,54.0,24463200
2026-06-11 00:00:00+07:00,53.0,56.0,52.0,53.0,11274900
