Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,90.0,93.0,89.0,92.0,715700
2026-03-02 00:00:00+07:00,92.0,99.0,92.0,96.0,6622900
2026-03-03 00:00:00+07:00,97.0,99.0,95.0,97.0,4543600
2026-03-04 00:00:00+07:00,98.0,98.0,84.0,96.0,4077400
2026-03-05 00:00:00+07:00,96.0,96.0,91.0,93.0,839100
2026-03-06 00:00:00+07:00,94.0,96.0,89.0,94.0,1533400
2026-03-09 00:00:00+07:00,91.0,93.0,84.0,93.0,1673000
2026-03-10 00:00:00+07:00,93.0,93.0,85.0,90.0,3638600
2026-03-11 00:00:00+07:00,89.0,89.0,85.0,86.0,2919700
2026-03-12 00:00:00+07:00,86.0,87.0,83.0,85.0,2006300
2026-03-13 00:00:00+07:00,83.0,86.0,81.0,86.0,1441700
2026-03-16 00:00:00+07:00,85.0,85.0,81.0,84.0,2657400
2026-03-17 00:00:00+07:00,85.0,85.0,83.0,83.0,197100
2026-03-25 00:00:00+07:00,83.0,94.0,83.0,83.0,2747100
2026-03-26 00:00:00+07:00,83.0,86.0,82.0,84.0,1284500
2026-03-27 00:00:00+07:00,84.0,85.0,82.0,85.0,606500
2026-03-30 00:00:00+07:00,95.0,112.0,89.0,110.0,285507100
2026-03-31 00:00:00+07:00,111.0,111.0,94.0,94.0,102119100
2026-04-01 00:00:00+07:00,94.0,95.0,89.0,93.0,21248600
2026-04-02 00:00:00+07:00,93.0,94.0,89.0,90.0,10117400
2026-04-06 00:00:00+07:00,90.0,91.0,87.0,88.0,8173800
2026-04-07 00:00:00+07:00,88.0,91.0,86.0,88.0,12949600
2026-04-08 00:00:00+07:00,89.0,90.0,88.0,89.0,11053400
2026-04-09 00:00:00+07:00,89.0,89.0,85.0,89.0,11998700
2026-04-10 00:00:00+07:00,89.0,89.0,87.0,89.0,5104200
2026-04-13 00:00:00+07:00,89.0,90.0,88.0,89.0,4689800
2026-04-14 00:00:00+07:00,91.0,91.0,88.0,90.0,6176100
2026-04-15 00:00:00+07:00,90.0,95.0,89.0,93.0,22555100
2026-04-16 00:00:00+07:00,95.0,96.0,92.0,94.0,7446900
2026-04-17 00:00:00+07:00,96.0,96.0,92.0,93.0,9542700
2026-04-20 00:00:00+07:00,94.0,95.0,92.0,92.0,5509900
2026-04-21 00:00:00+07:00,93.0,94.0,92.0,93.0,2542600
2026-04-22 00:00:00+07:00,92.0,93.0,91.0,92.0,4125100
2026-04-23 00:00:00+07:00,91.0,93.0,90.0,92.0,2373000
2026-04-24 00:00:00+07:00,92.0,93.0,86.0,89.0,6831200
2026-04-27 00:00:00+07:00,89.0,89.0,87.0,88.0,3434400
2026-04-28 00:00:00+07:00,88.0,90.0,86.0,88.0,4762500
2026-04-29 00:00:00+07:00,89.0,96.0,89.0,93.0,21173900
2026-04-30 00:00:00+07:00,93.0,93.0,89.0,90.0,6384600
2026-05-04 00:00:00+07:00,90.0,92.0,87.0,89.0,2358200
2026-05-05 00:00:00+07:00,89.0,91.0,88.0,88.0,4734600
2026-05-06 00:00:00+07:00,88.0,93.0,88.0,92.0,4602500
2026-05-07 00:00:00+07:00,93.0,104.0,92.0,100.0,70648400
2026-05-08 00:00:00+07:00,100.0,101.0,93.0,93.0,8805700
2026-05-11 00:00:00+07:00,94.0,98.0,93.0,95.0,6316600
2026-05-12 00:00:00+07:00,95.0,102.0,95.0,99.0,12755600
2026-05-13 00:00:00+07:00,100.0,101.0,97.0,98.0,5708600
2026-05-14 00:00:00+07:00,98.0,98.0,98.0,98.0,0
2026-05-15 00:00:00+07:00,98.0,98.0,98.0,98.0,0
2026-05-18 00:00:00+07:00,98.0,99.0,95.0,95.0,9505800
2026-05-19 00:00:00+07:00,95.0,104.0,93.0,99.0,11185500
2026-05-20 00:00:00+07:00,99.0,102.0,97.0,100.0,7456500
2026-05-21 00:00:00+07:00,100.0,104.0,90.0,95.0,18960100
2026-05-22 00:00:00+07:00,95.0,98.0,90.0,98.0,5028500
2026-05-25 00:00:00+07:00,98.0,99.0,94.0,97.0,13075900
2026-05-26 00:00:00+07:00,98.0,100.0,97.0,100.0,42483000
