Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,224.0,226.0,192.0,194.0,13168400
2026-02-27 00:00:00+07:00,194.0,197.0,185.0,197.0,1385300
2026-03-02 00:00:00+07:00,197.0,197.0,174.0,177.0,1924200
2026-03-03 00:00:00+07:00,173.0,185.0,172.0,180.0,649700
2026-03-04 00:00:00+07:00,177.0,180.0,166.0,172.0,624000
2026-03-05 00:00:00+07:00,176.0,177.0,166.0,173.0,629100
2026-03-06 00:00:00+07:00,170.0,181.0,168.0,179.0,950700
2026-03-09 00:00:00+07:00,178.0,179.0,170.0,179.0,171000
2026-03-10 00:00:00+07:00,180.0,185.0,172.0,176.0,164300
2026-03-11 00:00:00+07:00,177.0,185.0,177.0,179.0,109700
2026-03-12 00:00:00+07:00,180.0,183.0,178.0,179.0,132200
2026-03-13 00:00:00+07:00,179.0,185.0,175.0,182.0,253700
2026-03-16 00:00:00+07:00,182.0,184.0,170.0,178.0,174400
2026-03-17 00:00:00+07:00,174.0,183.0,174.0,178.0,103100
2026-03-25 00:00:00+07:00,178.0,182.0,178.0,180.0,216300
2026-03-26 00:00:00+07:00,178.0,184.0,175.0,182.0,161700
2026-03-27 00:00:00+07:00,182.0,192.0,181.0,183.0,249300
2026-03-30 00:00:00+07:00,184.0,184.0,179.0,182.0,191000
2026-03-31 00:00:00+07:00,183.0,190.0,180.0,180.0,155600
2026-04-01 00:00:00+07:00,181.0,195.0,180.0,181.0,131700
2026-04-02 00:00:00+07:00,181.0,188.0,181.0,183.0,116400
2026-04-06 00:00:00+07:00,181.0,181.0,174.0,177.0,150600
2026-04-07 00:00:00+07:00,181.0,181.0,170.0,171.0,216800
2026-04-08 00:00:00+07:00,173.0,176.0,173.0,175.0,86600
2026-04-09 00:00:00+07:00,174.0,177.0,169.0,171.0,93400
2026-04-10 00:00:00+07:00,171.0,193.0,171.0,180.0,208000
2026-04-13 00:00:00+07:00,184.0,184.0,177.0,178.0,124300
2026-04-14 00:00:00+07:00,177.0,177.0,172.0,177.0,200200
2026-04-15 00:00:00+07:00,177.0,177.0,167.0,173.0,293700
2026-04-16 00:00:00+07:00,174.0,180.0,172.0,176.0,988600
2026-04-17 00:00:00+07:00,176.0,181.0,173.0,173.0,216100
2026-04-20 00:00:00+07:00,174.0,179.0,174.0,177.0,95600
2026-04-21 00:00:00+07:00,174.0,176.0,171.0,172.0,617700
2026-04-22 00:00:00+07:00,172.0,173.0,169.0,170.0,205500
2026-04-23 00:00:00+07:00,169.0,175.0,169.0,174.0,104200
2026-04-24 00:00:00+07:00,174.0,174.0,168.0,171.0,150900
2026-04-27 00:00:00+07:00,171.0,171.0,168.0,169.0,170100
2026-04-28 00:00:00+07:00,170.0,172.0,167.0,168.0,178200
2026-04-29 00:00:00+07:00,169.0,172.0,166.0,168.0,56300
2026-04-30 00:00:00+07:00,171.0,171.0,161.0,163.0,282800
2026-05-04 00:00:00+07:00,163.0,208.0,161.0,162.0,11016200
2026-05-05 00:00:00+07:00,167.0,168.0,156.0,162.0,918200
2026-05-06 00:00:00+07:00,158.0,176.0,158.0,162.0,303300
