Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,580.0,630.0,535.0,535.0,23645600
2026-02-27 00:00:00+07:00,540.0,560.0,484.0,525.0,11641700
2026-03-02 00:00:00+07:00,486.0,535.0,474.0,510.0,13869400
2026-03-03 00:00:00+07:00,510.0,530.0,482.0,496.0,6363800
2026-03-04 00:00:00+07:00,496.0,520.0,456.0,486.0,12086500
2026-03-05 00:00:00+07:00,505.0,530.0,498.0,530.0,10025200
2026-03-06 00:00:00+07:00,555.0,580.0,550.0,580.0,23037000
2026-03-09 00:00:00+07:00,580.0,580.0,525.0,525.0,16089300
2026-03-10 00:00:00+07:00,530.0,540.0,482.0,490.0,11146600
2026-03-11 00:00:00+07:00,505.0,520.0,488.0,492.0,6400000
2026-03-12 00:00:00+07:00,492.0,500.0,482.0,482.0,2378200
2026-03-13 00:00:00+07:00,484.0,484.0,458.0,476.0,4364600
2026-03-16 00:00:00+07:00,470.0,484.0,430.0,458.0,5586400
2026-03-17 00:00:00+07:00,464.0,496.0,458.0,486.0,3976800
2026-03-25 00:00:00+07:00,486.0,486.0,458.0,464.0,2245200
2026-03-26 00:00:00+07:00,450.0,476.0,450.0,450.0,3261200
2026-03-27 00:00:00+07:00,454.0,472.0,450.0,452.0,1523300
2026-03-30 00:00:00+07:00,456.0,456.0,418.0,452.0,1752800
2026-03-31 00:00:00+07:00,456.0,458.0,416.0,420.0,2622300
2026-04-01 00:00:00+07:00,444.0,462.0,420.0,434.0,2602300
2026-04-02 00:00:00+07:00,436.0,456.0,416.0,418.0,1475900
2026-04-06 00:00:00+07:00,400.0,432.0,394.0,398.0,2449400
2026-04-07 00:00:00+07:00,394.0,434.0,390.0,434.0,4472000
2026-04-08 00:00:00+07:00,434.0,460.0,412.0,454.0,4637100
2026-04-09 00:00:00+07:00,456.0,456.0,434.0,440.0,1965800
2026-04-10 00:00:00+07:00,484.0,484.0,448.0,454.0,1811700
2026-04-13 00:00:00+07:00,456.0,458.0,436.0,454.0,3586300
2026-04-14 00:00:00+07:00,456.0,458.0,440.0,448.0,3795800
2026-04-15 00:00:00+07:00,472.0,492.0,472.0,492.0,14521900
2026-04-16 00:00:00+07:00,496.0,540.0,476.0,492.0,25885700
2026-04-17 00:00:00+07:00,498.0,510.0,460.0,488.0,9773500
2026-04-20 00:00:00+07:00,520.0,520.0,464.0,476.0,4243400
2026-04-21 00:00:00+07:00,464.0,500.0,460.0,480.0,8071800
2026-04-22 00:00:00+07:00,480.0,510.0,480.0,488.0,6034300
2026-04-23 00:00:00+07:00,490.0,496.0,478.0,486.0,2750700
2026-04-24 00:00:00+07:00,486.0,492.0,440.0,460.0,7605800
2026-04-27 00:00:00+07:00,460.0,488.0,456.0,456.0,2142900
2026-04-28 00:00:00+07:00,468.0,492.0,448.0,450.0,3934300
2026-04-29 00:00:00+07:00,450.0,458.0,420.0,420.0,7280200
2026-04-30 00:00:00+07:00,420.0,446.0,400.0,402.0,9473900
2026-05-04 00:00:00+07:00,404.0,418.0,394.0,394.0,4643300
2026-05-05 00:00:00+07:00,396.0,402.0,384.0,392.0,2583000
2026-05-06 00:00:00+07:00,394.0,420.0,394.0,412.0,8520600
2026-05-07 00:00:00+07:00,416.0,416.0,388.0,390.0,4774700
2026-05-08 00:00:00+07:00,392.0,400.0,374.0,376.0,3503000
2026-05-11 00:00:00+07:00,376.0,386.0,364.0,374.0,3130300
2026-05-12 00:00:00+07:00,374.0,386.0,354.0,378.0,2970100
2026-05-13 00:00:00+07:00,380.0,386.0,366.0,376.0,1496400
2026-05-14 00:00:00+07:00,376.0,376.0,376.0,376.0,0
2026-05-15 00:00:00+07:00,376.0,376.0,376.0,376.0,0
2026-05-18 00:00:00+07:00,376.0,386.0,352.0,358.0,2050900
2026-05-19 00:00:00+07:00,370.0,386.0,324.0,324.0,5538700
2026-05-20 00:00:00+07:00,324.0,354.0,292.0,350.0,3494700
2026-05-21 00:00:00+07:00,350.0,384.0,342.0,348.0,10017700
2026-05-22 00:00:00+07:00,350.0,352.0,316.0,338.0,3572800
2026-05-25 00:00:00+07:00,350.0,370.0,326.0,370.0,7109100
2026-05-26 00:00:00+07:00,406.0,406.0,406.0,406.0,4200500
2026-05-27 00:00:00+07:00,406.0,406.0,406.0,406.0,0
2026-05-28 00:00:00+07:00,406.0,406.0,406.0,406.0,0
2026-05-29 00:00:00+07:00,446.0,446.0,398.0,400.0,13410600
2026-06-02 00:00:00+07:00,402.0,426.0,360.0,360.0,9521800
2026-06-03 00:00:00+07:00,360.0,362.0,324.0,324.0,3657300
2026-06-04 00:00:00+07:00,324.0,324.0,292.0,292.0,3727700
2026-06-05 00:00:00+07:00,292.0,292.0,264.0,264.0,3780100
2026-06-08 00:00:00+07:00,264.0,268.0,238.0,238.0,3202300
2026-06-09 00:00:00+07:00,238.0,260.0,216.0,258.0,12543400
2026-06-10 00:00:00+07:00,258.0,282.0,236.0,242.0,16247800
2026-06-11 00:00:00+07:00,240.0,250.0,222.0,230.0,4711100
2026-06-12 00:00:00+07:00,236.0,252.0,220.0,252.0,4185500
2026-06-15 00:00:00+07:00,254.0,276.0,250.0,276.0,4408000
2026-06-17 00:00:00+07:00,276.0,296.0,262.0,270.0,3497800
2026-06-18 00:00:00+07:00,270.0,276.0,244.0,252.0,3638000
2026-06-19 00:00:00+07:00,252.0,256.0,228.0,228.0,9386000
2026-06-22 00:00:00+07:00,230.0,234.0,210.0,222.0,3418800
2026-06-23 00:00:00+07:00,210.0,244.0,210.0,242.0,7785500
2026-06-24 00:00:00+07:00,240.0,250.0,220.0,220.0,2690500
2026-06-25 00:00:00+07:00,220.0,232.0,210.0,226.0,902500
