Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,85.0,87.0,82.0,82.0,8734800
2026-02-27 00:00:00+07:00,82.0,82.0,79.0,80.0,3765000
2026-03-02 00:00:00+07:00,71.0,76.0,71.0,73.0,9584300
2026-03-03 00:00:00+07:00,73.0,78.0,72.0,74.0,2002500
2026-03-04 00:00:00+07:00,74.0,76.0,66.0,68.0,5000900
2026-03-05 00:00:00+07:00,70.0,72.0,69.0,69.0,2126300
2026-03-06 00:00:00+07:00,70.0,70.0,65.0,66.0,4122200
2026-03-09 00:00:00+07:00,64.0,65.0,59.0,59.0,7401400
2026-03-10 00:00:00+07:00,60.0,62.0,57.0,59.0,4395600
2026-03-11 00:00:00+07:00,59.0,61.0,58.0,59.0,1575300
2026-03-12 00:00:00+07:00,61.0,75.0,61.0,66.0,40201900
2026-03-13 00:00:00+07:00,66.0,67.0,58.0,58.0,9209900
2026-03-16 00:00:00+07:00,58.0,58.0,54.0,57.0,3397900
2026-03-17 00:00:00+07:00,57.0,57.0,55.0,57.0,1419200
2026-03-25 00:00:00+07:00,57.0,59.0,56.0,59.0,2310100
2026-03-26 00:00:00+07:00,59.0,61.0,58.0,60.0,1332200
2026-03-27 00:00:00+07:00,60.0,71.0,59.0,61.0,15611500
2026-03-30 00:00:00+07:00,59.0,61.0,58.0,59.0,3670200
2026-03-31 00:00:00+07:00,60.0,76.0,59.0,67.0,44157600
2026-04-01 00:00:00+07:00,67.0,69.0,63.0,65.0,6612500
2026-04-02 00:00:00+07:00,65.0,74.0,64.0,70.0,24146200
2026-04-06 00:00:00+07:00,70.0,71.0,65.0,67.0,6344900
2026-04-07 00:00:00+07:00,66.0,71.0,65.0,66.0,6284000
2026-04-08 00:00:00+07:00,66.0,69.0,66.0,67.0,3366900
2026-04-09 00:00:00+07:00,67.0,68.0,65.0,67.0,2653100
2026-04-10 00:00:00+07:00,66.0,67.0,66.0,67.0,1374200
2026-04-13 00:00:00+07:00,67.0,67.0,65.0,66.0,2192900
2026-04-14 00:00:00+07:00,67.0,69.0,66.0,67.0,4838500
2026-04-15 00:00:00+07:00,68.0,78.0,67.0,75.0,30557000
2026-04-16 00:00:00+07:00,77.0,78.0,72.0,73.0,8754100
2026-04-17 00:00:00+07:00,74.0,74.0,71.0,71.0,2852100
2026-04-20 00:00:00+07:00,71.0,82.0,71.0,80.0,47541300
2026-04-21 00:00:00+07:00,80.0,82.0,76.0,78.0,8814500
2026-04-22 00:00:00+07:00,78.0,80.0,77.0,78.0,5871800
2026-04-23 00:00:00+07:00,79.0,80.0,77.0,78.0,4546000
2026-04-24 00:00:00+07:00,79.0,89.0,73.0,73.0,70192100
2026-04-27 00:00:00+07:00,73.0,77.0,71.0,75.0,4791700
2026-04-28 00:00:00+07:00,77.0,85.0,77.0,78.0,63885000
2026-04-29 00:00:00+07:00,79.0,80.0,76.0,77.0,5771000
2026-04-30 00:00:00+07:00,78.0,84.0,78.0,78.0,18780300
2026-05-04 00:00:00+07:00,79.0,80.0,76.0,78.0,4381000
2026-05-05 00:00:00+07:00,78.0,80.0,76.0,76.0,3855400
2026-05-06 00:00:00+07:00,76.0,97.0,76.0,87.0,299203500
2026-05-07 00:00:00+07:00,87.0,89.0,81.0,83.0,39524400
2026-05-08 00:00:00+07:00,82.0,94.0,81.0,84.0,169097500
2026-05-11 00:00:00+07:00,86.0,100.0,85.0,94.0,242226800
2026-05-12 00:00:00+07:00,96.0,96.0,83.0,83.0,53627600
2026-05-13 00:00:00+07:00,82.0,83.0,77.0,79.0,25189500
2026-05-14 00:00:00+07:00,79.0,79.0,79.0,79.0,0
2026-05-15 00:00:00+07:00,79.0,79.0,79.0,79.0,0
2026-05-18 00:00:00+07:00,81.0,86.0,77.0,80.0,30380600
2026-05-19 00:00:00+07:00,81.0,82.0,71.0,73.0,16286100
2026-05-20 00:00:00+07:00,74.0,75.0,63.0,72.0,10552800
2026-05-21 00:00:00+07:00,73.0,78.0,66.0,69.0,12342700
2026-05-22 00:00:00+07:00,70.0,71.0,66.0,70.0,4500500
2026-05-25 00:00:00+07:00,70.0,74.0,69.0,70.0,5368500
2026-05-26 00:00:00+07:00,71.0,74.0,69.0,70.0,3506100
2026-05-27 00:00:00+07:00,70.0,70.0,70.0,70.0,0
2026-05-28 00:00:00+07:00,70.0,70.0,70.0,70.0,0
2026-05-29 00:00:00+07:00,71.0,72.0,67.0,69.0,2128200
2026-06-02 00:00:00+07:00,70.0,71.0,66.0,69.0,7355300
2026-06-03 00:00:00+07:00,68.0,72.0,62.0,62.0,18715400
2026-06-04 00:00:00+07:00,63.0,70.0,56.0,62.0,15345400
2026-06-05 00:00:00+07:00,61.0,61.0,56.0,58.0,3590600
2026-06-08 00:00:00+07:00,59.0,59.0,50.0,52.0,12064600
2026-06-09 00:00:00+07:00,52.0,56.0,51.0,55.0,5830900
2026-06-10 00:00:00+07:00,56.0,59.0,51.0,56.0,8633000
2026-06-11 00:00:00+07:00,56.0,60.0,56.0,57.0,2239800
2026-06-12 00:00:00+07:00,57.0,60.0,57.0,59.0,3566000
