Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,262.0,266.0,256.0,262.0,729400
2026-03-02 00:00:00+07:00,246.0,302.0,224.0,286.0,5815600
2026-03-03 00:00:00+07:00,288.0,292.0,244.0,244.0,5711900
2026-03-04 00:00:00+07:00,244.0,250.0,212.0,228.0,939900
2026-03-05 00:00:00+07:00,228.0,256.0,228.0,236.0,416800
2026-03-06 00:00:00+07:00,250.0,250.0,220.0,228.0,122800
2026-03-09 00:00:00+07:00,220.0,220.0,194.0,208.0,464300
2026-03-10 00:00:00+07:00,208.0,220.0,202.0,218.0,330000
2026-03-11 00:00:00+07:00,218.0,234.0,202.0,214.0,464100
2026-03-12 00:00:00+07:00,206.0,220.0,206.0,214.0,59100
2026-03-13 00:00:00+07:00,206.0,212.0,184.0,212.0,336700
2026-03-16 00:00:00+07:00,200.0,208.0,195.0,202.0,244300
2026-03-17 00:00:00+07:00,202.0,218.0,200.0,204.0,251500
2026-03-25 00:00:00+07:00,200.0,212.0,199.0,212.0,38000
2026-03-26 00:00:00+07:00,212.0,236.0,210.0,212.0,376200
2026-03-27 00:00:00+07:00,232.0,256.0,212.0,220.0,538400
2026-03-30 00:00:00+07:00,220.0,220.0,200.0,206.0,532500
2026-03-31 00:00:00+07:00,208.0,214.0,204.0,204.0,152900
2026-04-01 00:00:00+07:00,204.0,218.0,204.0,212.0,241200
2026-04-02 00:00:00+07:00,246.0,246.0,204.0,224.0,1070300
2026-04-06 00:00:00+07:00,226.0,228.0,212.0,212.0,310200
2026-04-07 00:00:00+07:00,228.0,228.0,202.0,220.0,94900
2026-04-08 00:00:00+07:00,220.0,222.0,208.0,216.0,326600
2026-04-09 00:00:00+07:00,216.0,220.0,210.0,210.0,72800
2026-04-10 00:00:00+07:00,220.0,220.0,199.0,210.0,543400
2026-04-13 00:00:00+07:00,216.0,230.0,212.0,218.0,794800
2026-04-14 00:00:00+07:00,224.0,226.0,212.0,216.0,322200
2026-04-15 00:00:00+07:00,220.0,220.0,214.0,216.0,83700
2026-04-16 00:00:00+07:00,220.0,226.0,218.0,222.0,226700
2026-04-17 00:00:00+07:00,222.0,226.0,206.0,220.0,422500
2026-04-20 00:00:00+07:00,222.0,230.0,220.0,226.0,426800
2026-04-21 00:00:00+07:00,228.0,244.0,220.0,236.0,383700
2026-04-22 00:00:00+07:00,232.0,272.0,232.0,248.0,1976600
2026-04-23 00:00:00+07:00,248.0,260.0,228.0,244.0,732700
2026-04-24 00:00:00+07:00,232.0,252.0,214.0,230.0,538000
2026-04-27 00:00:00+07:00,230.0,234.0,216.0,218.0,553000
2026-04-28 00:00:00+07:00,220.0,230.0,218.0,230.0,122400
2026-04-29 00:00:00+07:00,228.0,238.0,224.0,230.0,376600
2026-04-30 00:00:00+07:00,230.0,230.0,210.0,224.0,215300
2026-05-04 00:00:00+07:00,230.0,240.0,218.0,224.0,507500
2026-05-05 00:00:00+07:00,224.0,230.0,218.0,222.0,156600
2026-05-06 00:00:00+07:00,222.0,230.0,218.0,222.0,322400
2026-05-07 00:00:00+07:00,220.0,226.0,214.0,220.0,427700
2026-05-08 00:00:00+07:00,222.0,222.0,216.0,216.0,114300
2026-05-11 00:00:00+07:00,216.0,224.0,214.0,220.0,208300
2026-05-12 00:00:00+07:00,218.0,228.0,214.0,218.0,162100
2026-05-13 00:00:00+07:00,226.0,226.0,214.0,216.0,125200
2026-05-14 00:00:00+07:00,216.0,216.0,216.0,216.0,0
2026-05-15 00:00:00+07:00,216.0,216.0,216.0,216.0,0
2026-05-18 00:00:00+07:00,222.0,222.0,206.0,216.0,1010600
2026-05-19 00:00:00+07:00,210.0,216.0,206.0,208.0,445700
2026-05-20 00:00:00+07:00,218.0,218.0,208.0,210.0,251100
2026-05-21 00:00:00+07:00,212.0,212.0,206.0,210.0,521400
2026-05-22 00:00:00+07:00,210.0,214.0,206.0,212.0,862100
2026-05-25 00:00:00+07:00,212.0,218.0,206.0,214.0,146400
2026-05-26 00:00:00+07:00,216.0,216.0,210.0,214.0,74400
2026-05-27 00:00:00+07:00,214.0,214.0,214.0,214.0,0
2026-05-28 00:00:00+07:00,214.0,214.0,214.0,214.0,0
2026-05-29 00:00:00+07:00,214.0,216.0,210.0,214.0,33000
2026-06-02 00:00:00+07:00,216.0,216.0,210.0,210.0,11700
2026-06-03 00:00:00+07:00,210.0,230.0,200.0,206.0,1284300
2026-06-04 00:00:00+07:00,197.0,208.0,182.0,182.0,196900
2026-06-05 00:00:00+07:00,182.0,182.0,179.0,179.0,73200
2026-06-08 00:00:00+07:00,179.0,179.0,165.0,176.0,221300
2026-06-09 00:00:00+07:00,171.0,228.0,165.0,210.0,127300
2026-06-10 00:00:00+07:00,199.0,206.0,190.0,204.0,152900
2026-06-11 00:00:00+07:00,199.0,204.0,190.0,198.0,111500
2026-06-12 00:00:00+07:00,198.0,210.0,189.0,204.0,135200
2026-06-15 00:00:00+07:00,210.0,210.0,197.0,204.0,91800
2026-06-17 00:00:00+07:00,199.0,202.0,197.0,200.0,119200
2026-06-18 00:00:00+07:00,206.0,206.0,191.0,200.0,64000
2026-06-19 00:00:00+07:00,200.0,200.0,190.0,200.0,115500
2026-06-22 00:00:00+07:00,191.0,250.0,190.0,200.0,4079100
2026-06-23 00:00:00+07:00,200.0,202.0,193.0,194.0,133300
2026-06-24 00:00:00+07:00,193.0,197.0,190.0,190.0,99100
2026-06-25 00:00:00+07:00,200.0,200.0,188.0,200.0,110200
2026-06-26 00:00:00+07:00,200.0,200.0,190.0,197.0,36900
2026-06-29 00:00:00+07:00,197.0,202.0,188.0,189.0,96100
2026-06-30 00:00:00+07:00,196.0,200.0,188.0,200.0,537100
2026-07-01 00:00:00+07:00,200.0,200.0,195.0,195.0,9000
2026-07-02 00:00:00+07:00,195.0,200.0,195.0,200.0,205400
2026-07-03 00:00:00+07:00,200.0,200.0,197.0,197.0,16600
2026-07-06 00:00:00+07:00,199.0,199.0,196.0,197.0,65800
2026-07-07 00:00:00+07:00,197.0,216.0,193.0,195.0,228400
2026-07-08 00:00:00+07:00,200.0,200.0,193.0,193.0,8700
2026-07-09 00:00:00+07:00,194.0,194.0,181.0,185.0,70700
2026-07-10 00:00:00+07:00,200.0,230.0,186.0,186.0,3612600
2026-07-13 00:00:00+07:00,187.0,193.0,179.0,180.0,857100
2026-07-14 00:00:00+07:00,180.0,180.0,177.0,179.0,355500
2026-07-15 00:00:00+07:00,180.0,180.0,178.0,179.0,196500
2026-07-16 00:00:00+07:00,178.0,180.0,165.0,180.0,2969800
2026-07-17 00:00:00+07:00,180.0,183.0,177.0,180.0,279700
2026-07-20 00:00:00+07:00,180.0,182.0,178.0,180.0,117500
2026-07-21 00:00:00+07:00,182.0,182.0,178.0,179.0,255200
2026-07-22 00:00:00+07:00,179.0,184.0,176.0,180.0,335800
2026-07-23 00:00:00+07:00,184.0,188.0,181.0,186.0,536200
2026-07-24 00:00:00+07:00,186.0,212.0,180.0,182.0,1943200
2026-07-27 00:00:00+07:00,190.0,244.0,182.0,210.0,14425800
2026-07-28 00:00:00+07:00,212.0,234.0,192.0,194.0,3668400
2026-07-29 00:00:00+07:00,206.0,250.0,189.0,190.0,13052700
2026-07-30 00:00:00+07:00,194.0,198.0,185.0,190.0,1406100
2026-07-31 00:00:00+07:00,194.0,199.0,188.0,193.0,1228100
2026-08-03 00:00:00+07:00,194.0,197.0,182.0,188.0,976100
2026-08-04 00:00:00+07:00,187.0,188.0,183.0,187.0,319300
2026-08-05 00:00:00+07:00,186.0,197.0,186.0,190.0,1215200
2026-08-06 00:00:00+07:00,194.0,196.0,185.0,189.0,362900
2026-08-07 00:00:00+07:00,190.0,196.0,185.0,194.0,1177700
2026-08-10 00:00:00+07:00,194.0,198.0,191.0,192.0,948400
2026-08-11 00:00:00+07:00,193.0,197.0,185.0,189.0,636000
2026-08-12 00:00:00+07:00,190.0,190.0,185.0,186.0,372500
2026-08-13 00:00:00+07:00,187.0,200.0,181.0,185.0,1380100
2026-08-14 00:00:00+07:00,186.0,186.0,183.0,183.0,106300
2026-08-18 00:00:00+07:00,183.0,187.0,182.0,184.0,182000
2026-08-19 00:00:00+07:00,184.0,199.0,183.0,184.0,1518100
2026-08-20 00:00:00+07:00,188.0,188.0,183.0,184.0,226800
2026-08-21 00:00:00+07:00,185.0,187.0,184.0,185.0,225700
2026-08-24 00:00:00+07:00,185.0,192.0,183.0,187.0,395800
2026-08-26 00:00:00+07:00,188.0,190.0,183.0,184.0,302800
2026-08-27 00:00:00+07:00,184.0,194.0,184.0,186.0,258200
2026-08-28 00:00:00+07:00,190.0,190.0,184.0,185.0,111600
2026-08-31 00:00:00+07:00,187.0,189.0,184.0,188.0,280300
2026-09-01 00:00:00+07:00,186.0,188.0,184.0,185.0,297100
2026-09-02 00:00:00+07:00,185.0,185.0,182.0,182.0,369700
2026-09-03 00:00:00+07:00,186.0,193.0,183.0,184.0,1261400
2026-09-04 00:00:00+07:00,187.0,187.0,183.0,184.0,182100
2026-09-07 00:00:00+07:00,184.0,193.0,184.0,192.0,1356300
2026-09-08 00:00:00+07:00,193.0,194.0,190.0,190.0,730600
2026-09-09 00:00:00+07:00,190.0,191.0,185.0,189.0,309600
2026-09-10 00:00:00+07:00,191.0,191.0,187.0,187.0,130900
2026-09-11 00:00:00+07:00,188.0,189.0,184.0,185.0,158700
2026-09-14 00:00:00+07:00,186.0,188.0,183.0,186.0,245900
2026-09-15 00:00:00+07:00,189.0,189.0,183.0,186.0,257400
2026-09-16 00:00:00+07:00,186.0,190.0,184.0,185.0,609300
2026-09-17 00:00:00+07:00,186.0,190.0,185.0,186.0,143600
2026-09-18 00:00:00+07:00,186.0,190.0,186.0,187.0,138000
2026-09-21 00:00:00+07:00,187.0,226.0,186.0,190.0,15146000
2026-09-22 00:00:00+07:00,194.0,216.0,189.0,195.0,9521900
2026-09-23 00:00:00+07:00,216.0,218.0,191.0,198.0,2485200
2026-09-24 00:00:00+07:00,198.0,198.0,189.0,191.0,1205500
2026-09-25 00:00:00+07:00,191.0,196.0,164.0,182.0,2164600
