Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,200.0,204.0,197.0,200.0,1051200
2026-03-02 00:00:00+07:00,197.0,197.0,185.0,188.0,3706400
2026-03-03 00:00:00+07:00,188.0,196.0,187.0,190.0,912600
2026-03-04 00:00:00+07:00,192.0,212.0,180.0,186.0,4602400
2026-03-05 00:00:00+07:00,186.0,192.0,185.0,186.0,1465800
2026-03-06 00:00:00+07:00,188.0,190.0,180.0,181.0,1918200
2026-03-09 00:00:00+07:00,181.0,181.0,164.0,171.0,1546000
2026-03-10 00:00:00+07:00,172.0,183.0,165.0,170.0,437800
2026-03-11 00:00:00+07:00,171.0,173.0,167.0,169.0,462400
2026-03-12 00:00:00+07:00,172.0,174.0,167.0,170.0,1380300
2026-03-13 00:00:00+07:00,170.0,172.0,166.0,166.0,504100
2026-03-16 00:00:00+07:00,166.0,169.0,160.0,169.0,276500
2026-03-17 00:00:00+07:00,169.0,170.0,164.0,169.0,1220500
2026-03-25 00:00:00+07:00,169.0,185.0,164.0,185.0,1543700
2026-03-26 00:00:00+07:00,186.0,195.0,176.0,184.0,2709300
2026-03-27 00:00:00+07:00,184.0,187.0,176.0,178.0,654000
2026-03-30 00:00:00+07:00,177.0,179.0,171.0,174.0,1390500
2026-03-31 00:00:00+07:00,175.0,182.0,174.0,175.0,122900
2026-04-01 00:00:00+07:00,180.0,180.0,172.0,173.0,639700
2026-04-02 00:00:00+07:00,179.0,180.0,174.0,176.0,330300
2026-04-06 00:00:00+07:00,176.0,179.0,172.0,173.0,1553200
2026-04-07 00:00:00+07:00,175.0,181.0,168.0,173.0,1105000
2026-04-08 00:00:00+07:00,179.0,179.0,172.0,174.0,653100
2026-04-09 00:00:00+07:00,176.0,176.0,172.0,175.0,207500
2026-04-10 00:00:00+07:00,175.0,175.0,170.0,175.0,1727700
2026-04-13 00:00:00+07:00,174.0,175.0,172.0,172.0,404800
2026-04-14 00:00:00+07:00,175.0,178.0,173.0,176.0,662900
2026-04-15 00:00:00+07:00,178.0,186.0,176.0,183.0,1606300
2026-04-16 00:00:00+07:00,184.0,190.0,181.0,183.0,2171200
2026-04-17 00:00:00+07:00,183.0,183.0,180.0,181.0,225400
2026-04-20 00:00:00+07:00,182.0,189.0,180.0,185.0,1128900
2026-04-21 00:00:00+07:00,186.0,187.0,182.0,185.0,508500
2026-04-22 00:00:00+07:00,187.0,189.0,185.0,186.0,1628200
2026-04-23 00:00:00+07:00,187.0,190.0,187.0,189.0,875300
2026-04-24 00:00:00+07:00,190.0,192.0,178.0,182.0,770300
2026-04-27 00:00:00+07:00,182.0,182.0,178.0,180.0,108600
2026-04-28 00:00:00+07:00,181.0,188.0,181.0,186.0,1486400
2026-04-29 00:00:00+07:00,187.0,202.0,184.0,191.0,3853300
2026-04-30 00:00:00+07:00,194.0,196.0,180.0,186.0,2809800
2026-05-04 00:00:00+07:00,186.0,202.0,185.0,190.0,1274000
2026-05-05 00:00:00+07:00,186.0,196.0,186.0,188.0,2220600
2026-05-06 00:00:00+07:00,189.0,194.0,181.0,184.0,736800
2026-05-07 00:00:00+07:00,184.0,189.0,182.0,185.0,429000
2026-05-08 00:00:00+07:00,187.0,187.0,182.0,185.0,276100
2026-05-11 00:00:00+07:00,183.0,187.0,177.0,185.0,1970500
2026-05-12 00:00:00+07:00,185.0,186.0,182.0,183.0,335500
2026-05-13 00:00:00+07:00,183.0,183.0,179.0,180.0,300600
2026-05-14 00:00:00+07:00,180.0,180.0,180.0,180.0,0
2026-05-15 00:00:00+07:00,180.0,180.0,180.0,180.0,0
2026-05-18 00:00:00+07:00,180.0,180.0,175.0,177.0,254300
2026-05-19 00:00:00+07:00,179.0,187.0,172.0,172.0,1471500
2026-05-20 00:00:00+07:00,171.0,181.0,170.0,171.0,153200
2026-05-21 00:00:00+07:00,170.0,175.0,166.0,168.0,274800
2026-05-22 00:00:00+07:00,167.0,178.0,162.0,170.0,1869400
2026-05-25 00:00:00+07:00,173.0,180.0,167.0,171.0,365300
2026-05-26 00:00:00+07:00,172.0,172.0,168.0,171.0,44700
2026-05-27 00:00:00+07:00,171.0,171.0,171.0,171.0,0
2026-05-28 00:00:00+07:00,171.0,171.0,171.0,171.0,0
2026-05-29 00:00:00+07:00,171.0,175.0,167.0,172.0,167800
2026-06-02 00:00:00+07:00,172.0,172.0,166.0,168.0,1226200
2026-06-03 00:00:00+07:00,167.0,167.0,159.0,160.0,474700
2026-06-04 00:00:00+07:00,160.0,160.0,148.0,153.0,1581300
2026-06-05 00:00:00+07:00,151.0,155.0,147.0,147.0,288800
2026-06-08 00:00:00+07:00,138.0,146.0,138.0,142.0,409300
2026-06-09 00:00:00+07:00,142.0,154.0,131.0,153.0,282800
2026-06-10 00:00:00+07:00,153.0,162.0,153.0,157.0,1141900
2026-06-11 00:00:00+07:00,157.0,160.0,151.0,151.0,133900
2026-06-12 00:00:00+07:00,151.0,163.0,151.0,156.0,1148400
2026-06-15 00:00:00+07:00,161.0,172.0,161.0,168.0,319200
2026-06-17 00:00:00+07:00,169.0,176.0,161.0,168.0,142200
2026-06-18 00:00:00+07:00,168.0,175.0,164.0,166.0,47000
2026-06-19 00:00:00+07:00,164.0,174.0,164.0,168.0,1181300
2026-06-22 00:00:00+07:00,171.0,171.0,164.0,168.0,185200
2026-06-23 00:00:00+07:00,168.0,168.0,162.0,167.0,1105500
2026-06-24 00:00:00+07:00,167.0,170.0,159.0,165.0,201500
2026-06-25 00:00:00+07:00,164.0,166.0,161.0,164.0,77200
2026-06-26 00:00:00+07:00,164.0,167.0,154.0,160.0,44800
2026-06-29 00:00:00+07:00,162.0,167.0,155.0,160.0,1132000
2026-06-30 00:00:00+07:00,160.0,164.0,156.0,163.0,60900
2026-07-01 00:00:00+07:00,164.0,169.0,154.0,154.0,1187500
2026-07-02 00:00:00+07:00,154.0,163.0,154.0,159.0,126300
2026-07-03 00:00:00+07:00,159.0,161.0,158.0,160.0,81500
2026-07-06 00:00:00+07:00,160.0,204.0,154.0,165.0,16322900
2026-07-07 00:00:00+07:00,165.0,178.0,158.0,160.0,4526800
2026-07-08 00:00:00+07:00,167.0,167.0,160.0,161.0,609300
2026-07-09 00:00:00+07:00,161.0,163.0,157.0,160.0,1318600
2026-07-10 00:00:00+07:00,160.0,165.0,158.0,160.0,1699100
2026-07-13 00:00:00+07:00,161.0,164.0,160.0,163.0,404700
2026-07-14 00:00:00+07:00,164.0,165.0,161.0,164.0,494100
2026-07-15 00:00:00+07:00,164.0,169.0,162.0,166.0,400900
2026-07-16 00:00:00+07:00,165.0,169.0,163.0,165.0,1395200
2026-07-17 00:00:00+07:00,167.0,171.0,165.0,165.0,546700
2026-07-20 00:00:00+07:00,168.0,168.0,163.0,163.0,623000
2026-07-21 00:00:00+07:00,163.0,166.0,163.0,165.0,1404000
2026-07-22 00:00:00+07:00,167.0,177.0,165.0,168.0,3165500
2026-07-23 00:00:00+07:00,169.0,171.0,166.0,167.0,563000
2026-07-24 00:00:00+07:00,168.0,169.0,165.0,166.0,406300
2026-07-27 00:00:00+07:00,167.0,173.0,167.0,170.0,1561500
2026-07-28 00:00:00+07:00,170.0,171.0,167.0,168.0,184900
2026-07-29 00:00:00+07:00,167.0,170.0,164.0,168.0,203200
2026-07-30 00:00:00+07:00,168.0,175.0,164.0,165.0,997600
2026-07-31 00:00:00+07:00,170.0,178.0,166.0,169.0,1780000
2026-08-03 00:00:00+07:00,168.0,175.0,167.0,167.0,1239200
2026-08-04 00:00:00+07:00,168.0,170.0,166.0,168.0,294700
2026-08-05 00:00:00+07:00,168.0,173.0,166.0,168.0,1015900
2026-08-06 00:00:00+07:00,169.0,188.0,168.0,176.0,6689700
2026-08-07 00:00:00+07:00,175.0,176.0,171.0,172.0,473400
2026-08-10 00:00:00+07:00,172.0,174.0,170.0,171.0,387800
2026-08-11 00:00:00+07:00,171.0,172.0,169.0,169.0,323500
2026-08-12 00:00:00+07:00,169.0,172.0,169.0,170.0,1305400
2026-08-13 00:00:00+07:00,170.0,173.0,170.0,171.0,286700
2026-08-14 00:00:00+07:00,171.0,171.0,169.0,169.0,106500
2026-08-18 00:00:00+07:00,170.0,172.0,169.0,170.0,217200
2026-08-19 00:00:00+07:00,172.0,172.0,170.0,172.0,549800
2026-08-20 00:00:00+07:00,172.0,174.0,166.0,172.0,863100
2026-08-21 00:00:00+07:00,173.0,179.0,170.0,176.0,1739500
2026-08-24 00:00:00+07:00,176.0,178.0,174.0,175.0,636300
2026-08-26 00:00:00+07:00,175.0,177.0,166.0,171.0,2960100
2026-08-27 00:00:00+07:00,169.0,176.0,169.0,173.0,1211800
2026-08-28 00:00:00+07:00,177.0,177.0,174.0,175.0,1373700
2026-08-31 00:00:00+07:00,176.0,178.0,175.0,177.0,502800
2026-09-01 00:00:00+07:00,179.0,179.0,174.0,177.0,845800
2026-09-02 00:00:00+07:00,178.0,180.0,175.0,177.0,1893600
2026-09-03 00:00:00+07:00,179.0,179.0,176.0,177.0,1836300
2026-09-04 00:00:00+07:00,178.0,179.0,176.0,177.0,758100
2026-09-07 00:00:00+07:00,178.0,179.0,176.0,178.0,951300
2026-09-08 00:00:00+07:00,178.0,179.0,177.0,178.0,1258900
2026-09-09 00:00:00+07:00,179.0,179.0,175.0,175.0,1903600
2026-09-10 00:00:00+07:00,175.0,176.0,170.0,170.0,1076500
2026-09-11 00:00:00+07:00,170.0,172.0,167.0,171.0,655500
2026-09-14 00:00:00+07:00,170.0,175.0,170.0,172.0,524100
2026-09-15 00:00:00+07:00,172.0,172.0,170.0,171.0,159200
2026-09-16 00:00:00+07:00,172.0,175.0,171.0,172.0,321300
2026-09-17 00:00:00+07:00,172.0,181.0,170.0,172.0,5139800
2026-09-18 00:00:00+07:00,172.0,174.0,171.0,172.0,347100
2026-09-21 00:00:00+07:00,172.0,175.0,171.0,172.0,1411400
2026-09-22 00:00:00+07:00,172.0,173.0,168.0,172.0,604800
2026-09-23 00:00:00+07:00,176.0,181.0,172.0,173.0,3070300
2026-09-24 00:00:00+07:00,176.0,183.0,172.0,173.0,1241200
2026-09-25 00:00:00+07:00,178.0,179.0,166.0,173.0,1952800
