Date,Open,High,Low,Close,Volume
2026-02-27 00:00:00+07:00,126.0,128.0,125.0,126.0,371200
2026-03-02 00:00:00+07:00,124.0,127.0,115.0,121.0,915400
2026-03-03 00:00:00+07:00,121.0,123.0,116.0,120.0,545800
2026-03-04 00:00:00+07:00,120.0,126.0,111.0,121.0,1437800
2026-03-05 00:00:00+07:00,126.0,126.0,119.0,123.0,259400
2026-03-06 00:00:00+07:00,123.0,123.0,117.0,121.0,301800
2026-03-09 00:00:00+07:00,121.0,121.0,109.0,115.0,671200
2026-03-10 00:00:00+07:00,119.0,123.0,115.0,118.0,198600
2026-03-11 00:00:00+07:00,121.0,121.0,110.0,113.0,244200
2026-03-12 00:00:00+07:00,116.0,121.0,112.0,118.0,348800
2026-03-13 00:00:00+07:00,129.0,129.0,112.0,115.0,282800
2026-03-16 00:00:00+07:00,116.0,119.0,111.0,115.0,321200
2026-03-17 00:00:00+07:00,115.0,124.0,114.0,123.0,819000
2026-03-25 00:00:00+07:00,124.0,132.0,113.0,130.0,1067000
2026-03-26 00:00:00+07:00,130.0,133.0,120.0,128.0,659400
2026-03-27 00:00:00+07:00,128.0,133.0,126.0,132.0,488200
2026-03-30 00:00:00+07:00,135.0,135.0,121.0,125.0,1694000
2026-03-31 00:00:00+07:00,125.0,130.0,123.0,130.0,614200
2026-04-01 00:00:00+07:00,130.0,133.0,123.0,128.0,2793200
2026-04-02 00:00:00+07:00,130.0,130.0,116.0,117.0,4839200
2026-04-06 00:00:00+07:00,117.0,117.0,106.0,106.0,2710100
2026-04-07 00:00:00+07:00,106.0,110.0,97.0,105.0,1053600
2026-04-08 00:00:00+07:00,105.0,112.0,105.0,107.0,451200
2026-04-09 00:00:00+07:00,109.0,114.0,107.0,108.0,235600
2026-04-10 00:00:00+07:00,108.0,111.0,105.0,110.0,191200
2026-04-13 00:00:00+07:00,110.0,111.0,107.0,108.0,211700
2026-04-14 00:00:00+07:00,111.0,118.0,110.0,118.0,1426700
2026-04-15 00:00:00+07:00,120.0,129.0,118.0,129.0,799900
2026-04-16 00:00:00+07:00,135.0,141.0,127.0,135.0,1858300
2026-04-17 00:00:00+07:00,135.0,136.0,124.0,130.0,787500
2026-04-20 00:00:00+07:00,130.0,130.0,120.0,127.0,610900
2026-04-21 00:00:00+07:00,126.0,131.0,123.0,126.0,275200
2026-04-22 00:00:00+07:00,131.0,136.0,124.0,131.0,557300
2026-04-23 00:00:00+07:00,128.0,135.0,123.0,128.0,446700
2026-04-24 00:00:00+07:00,116.0,123.0,116.0,116.0,1739600
2026-04-27 00:00:00+07:00,117.0,117.0,105.0,105.0,5703700
2026-04-28 00:00:00+07:00,106.0,109.0,99.0,104.0,1559100
2026-04-29 00:00:00+07:00,105.0,106.0,99.0,101.0,1262100
2026-04-30 00:00:00+07:00,105.0,105.0,99.0,102.0,853700
2026-05-04 00:00:00+07:00,101.0,103.0,95.0,102.0,981100
2026-05-05 00:00:00+07:00,102.0,106.0,99.0,104.0,852700
2026-05-06 00:00:00+07:00,102.0,105.0,96.0,103.0,434100
2026-05-07 00:00:00+07:00,104.0,111.0,104.0,106.0,1567200
2026-05-08 00:00:00+07:00,104.0,105.0,99.0,99.0,1266000
2026-05-11 00:00:00+07:00,100.0,108.0,93.0,108.0,3010700
2026-05-12 00:00:00+07:00,108.0,116.0,100.0,100.0,2565700
2026-05-13 00:00:00+07:00,102.0,104.0,98.0,100.0,667300
2026-05-14 00:00:00+07:00,100.0,100.0,100.0,100.0,0
2026-05-15 00:00:00+07:00,100.0,100.0,100.0,100.0,0
2026-05-18 00:00:00+07:00,100.0,102.0,98.0,100.0,823100
2026-05-19 00:00:00+07:00,98.0,102.0,91.0,93.0,1481200
2026-05-20 00:00:00+07:00,93.0,96.0,84.0,84.0,2893600
2026-05-21 00:00:00+07:00,85.0,92.0,85.0,88.0,1358500
2026-05-22 00:00:00+07:00,89.0,96.0,83.0,96.0,1405500
2026-05-25 00:00:00+07:00,105.0,105.0,96.0,105.0,3920600
2026-05-26 00:00:00+07:00,115.0,115.0,105.0,115.0,4985200
2026-05-27 00:00:00+07:00,115.0,115.0,115.0,115.0,0
2026-05-28 00:00:00+07:00,115.0,115.0,115.0,115.0,0
2026-05-29 00:00:00+07:00,124.0,126.0,115.0,126.0,3490600
2026-06-02 00:00:00+07:00,126.0,137.0,123.0,137.0,6112800
2026-06-03 00:00:00+07:00,138.0,145.0,130.0,143.0,7293500
2026-06-04 00:00:00+07:00,149.0,157.0,139.0,156.0,9132200
2026-06-05 00:00:00+07:00,157.0,159.0,141.0,141.0,12410000
2026-06-08 00:00:00+07:00,137.0,141.0,127.0,127.0,7143200
2026-06-09 00:00:00+07:00,127.0,139.0,115.0,120.0,11872400
2026-06-10 00:00:00+07:00,120.0,132.0,112.0,123.0,7353300
2026-06-11 00:00:00+07:00,123.0,132.0,111.0,114.0,7315300
2026-06-12 00:00:00+07:00,115.0,115.0,103.0,113.0,17704000
2026-06-15 00:00:00+07:00,112.0,119.0,104.0,114.0,8941800
2026-06-17 00:00:00+07:00,116.0,120.0,103.0,103.0,4802500
2026-06-18 00:00:00+07:00,103.0,108.0,94.0,101.0,7746800
2026-06-19 00:00:00+07:00,102.0,111.0,102.0,111.0,9294300
2026-06-22 00:00:00+07:00,111.0,122.0,105.0,106.0,2672900
2026-06-23 00:00:00+07:00,110.0,113.0,103.0,106.0,672700
2026-06-24 00:00:00+07:00,106.0,115.0,104.0,109.0,5033400
2026-06-25 00:00:00+07:00,109.0,119.0,107.0,118.0,3460100
2026-06-26 00:00:00+07:00,119.0,127.0,113.0,115.0,5739700
2026-06-29 00:00:00+07:00,114.0,122.0,106.0,117.0,5785500
2026-06-30 00:00:00+07:00,124.0,127.0,116.0,120.0,3667400
2026-07-01 00:00:00+07:00,118.0,123.0,115.0,120.0,1517300
2026-07-02 00:00:00+07:00,120.0,130.0,114.0,130.0,5728100
2026-07-03 00:00:00+07:00,131.0,138.0,125.0,137.0,5332400
2026-07-06 00:00:00+07:00,137.0,147.0,137.0,147.0,12763200
2026-07-07 00:00:00+07:00,147.0,148.0,134.0,141.0,4052100
2026-07-08 00:00:00+07:00,141.0,141.0,127.0,128.0,6837300
2026-07-09 00:00:00+07:00,130.0,133.0,121.0,130.0,1867400
2026-07-10 00:00:00+07:00,128.0,136.0,125.0,131.0,5619800
2026-07-13 00:00:00+07:00,131.0,135.0,126.0,129.0,924200
2026-07-14 00:00:00+07:00,129.0,141.0,118.0,141.0,14467700
2026-07-15 00:00:00+07:00,142.0,149.0,139.0,147.0,14254700
2026-07-16 00:00:00+07:00,147.0,151.0,136.0,150.0,14852100
2026-07-17 00:00:00+07:00,150.0,150.0,140.0,143.0,14667100
2026-07-20 00:00:00+07:00,143.0,145.0,130.0,139.0,3084400
2026-07-21 00:00:00+07:00,140.0,140.0,130.0,131.0,11943000
2026-07-22 00:00:00+07:00,132.0,136.0,126.0,130.0,4912300
2026-07-23 00:00:00+07:00,130.0,134.0,127.0,131.0,5330400
2026-07-24 00:00:00+07:00,131.0,142.0,128.0,129.0,11310000
2026-07-27 00:00:00+07:00,131.0,141.0,129.0,133.0,20181800
2026-07-28 00:00:00+07:00,136.0,146.0,130.0,146.0,82155800
2026-07-29 00:00:00+07:00,147.0,160.0,140.0,153.0,30245300
2026-07-30 00:00:00+07:00,154.0,161.0,143.0,156.0,24139600
2026-07-31 00:00:00+07:00,150.0,169.0,145.0,169.0,22072400
2026-08-03 00:00:00+07:00,168.0,170.0,155.0,157.0,17544700
2026-08-04 00:00:00+07:00,157.0,169.0,148.0,168.0,14153100
2026-08-05 00:00:00+07:00,162.0,169.0,159.0,167.0,10972500
2026-08-06 00:00:00+07:00,166.0,179.0,163.0,173.0,21855400
2026-08-07 00:00:00+07:00,174.0,175.0,165.0,173.0,14636300
2026-08-10 00:00:00+07:00,169.0,176.0,166.0,175.0,25134400
2026-08-11 00:00:00+07:00,174.0,180.0,166.0,180.0,17500500
2026-08-12 00:00:00+07:00,179.0,190.0,175.0,187.0,11607800
2026-08-13 00:00:00+07:00,186.0,189.0,180.0,185.0,7575400
2026-08-14 00:00:00+07:00,185.0,197.0,181.0,195.0,34208900
2026-08-18 00:00:00+07:00,195.0,208.0,181.0,181.0,35644700
2026-08-19 00:00:00+07:00,181.0,185.0,172.0,172.0,22869600
2026-08-20 00:00:00+07:00,177.0,177.0,164.0,174.0,15295800
2026-08-21 00:00:00+07:00,174.0,181.0,168.0,180.0,44819000
2026-08-24 00:00:00+07:00,180.0,180.0,172.0,176.0,39503300
2026-08-26 00:00:00+07:00,175.0,181.0,160.0,160.0,37640900
2026-08-27 00:00:00+07:00,163.0,174.0,145.0,151.0,47323400
2026-08-28 00:00:00+07:00,153.0,160.0,149.0,155.0,21276300
2026-08-31 00:00:00+07:00,156.0,158.0,151.0,152.0,21040400
2026-09-01 00:00:00+07:00,157.0,164.0,152.0,164.0,65855500
2026-09-02 00:00:00+07:00,171.0,173.0,163.0,169.0,63297500
2026-09-03 00:00:00+07:00,165.0,172.0,156.0,160.0,31512200
2026-09-04 00:00:00+07:00,162.0,163.0,155.0,160.0,9388600
2026-09-07 00:00:00+07:00,157.0,162.0,150.0,160.0,37095900
2026-09-08 00:00:00+07:00,160.0,164.0,155.0,160.0,14788300
2026-09-09 00:00:00+07:00,159.0,164.0,154.0,156.0,67170900
2026-09-10 00:00:00+07:00,156.0,160.0,141.0,141.0,54847200
2026-09-11 00:00:00+07:00,142.0,142.0,132.0,136.0,26269600
2026-09-14 00:00:00+07:00,136.0,139.0,128.0,133.0,29286800
2026-09-15 00:00:00+07:00,136.0,137.0,131.0,136.0,32029100
2026-09-16 00:00:00+07:00,137.0,139.0,130.0,130.0,18233500
2026-09-17 00:00:00+07:00,126.0,134.0,120.0,131.0,22887000
2026-09-18 00:00:00+07:00,130.0,133.0,123.0,123.0,12019600
2026-09-21 00:00:00+07:00,124.0,132.0,121.0,121.0,15810900
2026-09-22 00:00:00+07:00,121.0,124.0,113.0,117.0,6888700
2026-09-23 00:00:00+07:00,116.0,128.0,112.0,128.0,14311200
2026-09-24 00:00:00+07:00,130.0,130.0,120.0,125.0,12743300
