Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,76.0,77.0,70.0,72.0,48515200
2026-02-27 00:00:00+07:00,73.0,74.0,69.0,72.0,77209700
2026-03-02 00:00:00+07:00,72.0,84.0,71.0,82.0,500494500
2026-03-03 00:00:00+07:00,84.0,86.0,76.0,78.0,180413200
2026-03-04 00:00:00+07:00,79.0,82.0,69.0,70.0,156622400
2026-03-05 00:00:00+07:00,71.0,73.0,69.0,70.0,71290900
2026-03-06 00:00:00+07:00,71.0,75.0,69.0,70.0,70197300
2026-03-09 00:00:00+07:00,73.0,75.0,60.0,70.0,151131000
2026-03-10 00:00:00+07:00,70.0,71.0,67.0,69.0,77094500
2026-03-11 00:00:00+07:00,69.0,70.0,67.0,69.0,20711600
2026-03-12 00:00:00+07:00,69.0,69.0,65.0,65.0,55462400
2026-03-13 00:00:00+07:00,65.0,66.0,61.0,61.0,26277300
2026-03-16 00:00:00+07:00,61.0,61.0,54.0,55.0,38181500
2026-03-17 00:00:00+07:00,55.0,60.0,55.0,56.0,25696200
2026-03-25 00:00:00+07:00,57.0,75.0,57.0,75.0,210308000
2026-03-26 00:00:00+07:00,75.0,76.0,66.0,69.0,241245100
2026-03-27 00:00:00+07:00,69.0,70.0,65.0,68.0,58490600
2026-03-30 00:00:00+07:00,67.0,69.0,64.0,67.0,41440600
2026-03-31 00:00:00+07:00,68.0,69.0,64.0,64.0,48002100
2026-04-01 00:00:00+07:00,66.0,80.0,65.0,78.0,315346600
2026-04-02 00:00:00+07:00,75.0,80.0,73.0,77.0,52170500
2026-04-06 00:00:00+07:00,75.0,82.0,74.0,76.0,56482300
2026-04-07 00:00:00+07:00,76.0,77.0,74.0,74.0,14750200
2026-04-08 00:00:00+07:00,75.0,82.0,75.0,79.0,64488200
2026-04-09 00:00:00+07:00,79.0,80.0,77.0,78.0,14330900
2026-04-10 00:00:00+07:00,79.0,81.0,76.0,76.0,36259900
2026-04-13 00:00:00+07:00,77.0,81.0,77.0,78.0,42649000
2026-04-14 00:00:00+07:00,78.0,82.0,78.0,80.0,81970200
2026-04-15 00:00:00+07:00,80.0,87.0,79.0,80.0,150469600
2026-04-16 00:00:00+07:00,80.0,81.0,79.0,80.0,23319900
2026-04-17 00:00:00+07:00,80.0,80.0,77.0,78.0,19379600
2026-04-20 00:00:00+07:00,78.0,79.0,76.0,77.0,19363300
2026-04-21 00:00:00+07:00,76.0,77.0,74.0,76.0,16025800
2026-04-22 00:00:00+07:00,75.0,81.0,74.0,78.0,57292500
2026-04-23 00:00:00+07:00,79.0,85.0,78.0,82.0,238658800
2026-04-24 00:00:00+07:00,83.0,86.0,75.0,78.0,176867200
2026-04-27 00:00:00+07:00,78.0,83.0,75.0,82.0,71617000
2026-04-28 00:00:00+07:00,83.0,84.0,79.0,81.0,33990400
2026-04-29 00:00:00+07:00,81.0,85.0,78.0,79.0,103322800
2026-04-30 00:00:00+07:00,80.0,81.0,78.0,79.0,28707800
2026-05-04 00:00:00+07:00,80.0,81.0,78.0,79.0,20395400
2026-05-05 00:00:00+07:00,79.0,80.0,78.0,78.0,21863700
2026-05-06 00:00:00+07:00,79.0,79.0,77.0,77.0,16156900
2026-05-07 00:00:00+07:00,78.0,79.0,76.0,77.0,19826800
2026-05-08 00:00:00+07:00,77.0,83.0,75.0,75.0,112407000
2026-05-11 00:00:00+07:00,75.0,76.0,72.0,73.0,16814300
2026-05-12 00:00:00+07:00,73.0,75.0,72.0,73.0,8721500
2026-05-13 00:00:00+07:00,74.0,74.0,71.0,71.0,10950000
2026-05-14 00:00:00+07:00,71.0,71.0,71.0,71.0,0
2026-05-15 00:00:00+07:00,71.0,71.0,71.0,71.0,0
2026-05-18 00:00:00+07:00,71.0,72.0,65.0,67.0,11781800
2026-05-19 00:00:00+07:00,67.0,69.0,65.0,66.0,13774200
2026-05-20 00:00:00+07:00,65.0,69.0,63.0,64.0,14871300
2026-05-21 00:00:00+07:00,64.0,65.0,57.0,59.0,10078800
2026-05-22 00:00:00+07:00,56.0,62.0,56.0,61.0,14422800
2026-05-25 00:00:00+07:00,62.0,69.0,61.0,63.0,31249400
2026-05-26 00:00:00+07:00,63.0,65.0,62.0,63.0,2935900
2026-05-27 00:00:00+07:00,63.0,63.0,63.0,63.0,0
2026-05-28 00:00:00+07:00,63.0,63.0,63.0,63.0,0
2026-05-29 00:00:00+07:00,63.0,64.0,61.0,62.0,3219400
2026-06-02 00:00:00+07:00,62.0,64.0,61.0,62.0,5125600
2026-06-03 00:00:00+07:00,62.0,63.0,56.0,62.0,7509400
2026-06-04 00:00:00+07:00,61.0,61.0,55.0,58.0,11540500
2026-06-05 00:00:00+07:00,58.0,59.0,53.0,56.0,4077300
2026-06-08 00:00:00+07:00,54.0,55.0,51.0,52.0,7871100
2026-06-09 00:00:00+07:00,52.0,56.0,51.0,55.0,9445800
2026-06-10 00:00:00+07:00,55.0,58.0,54.0,55.0,7038800
2026-06-11 00:00:00+07:00,55.0,59.0,54.0,56.0,11514900
2026-06-12 00:00:00+07:00,56.0,60.0,55.0,58.0,14444100
2026-06-15 00:00:00+07:00,59.0,61.0,58.0,59.0,11253600
2026-06-17 00:00:00+07:00,59.0,60.0,57.0,57.0,3726100
2026-06-18 00:00:00+07:00,57.0,57.0,56.0,56.0,2435600
2026-06-19 00:00:00+07:00,57.0,58.0,55.0,56.0,2776800
2026-06-22 00:00:00+07:00,56.0,58.0,54.0,56.0,2486200
2026-06-23 00:00:00+07:00,56.0,56.0,54.0,55.0,2844500
2026-06-24 00:00:00+07:00,56.0,57.0,54.0,56.0,4686400
2026-06-25 00:00:00+07:00,56.0,57.0,54.0,57.0,2551000
2026-06-26 00:00:00+07:00,57.0,60.0,55.0,60.0,9483500
2026-06-29 00:00:00+07:00,61.0,62.0,58.0,59.0,4109900
2026-06-30 00:00:00+07:00,60.0,60.0,55.0,56.0,3358800
2026-07-01 00:00:00+07:00,55.0,57.0,54.0,55.0,2568500
2026-07-02 00:00:00+07:00,55.0,57.0,55.0,56.0,2381000
2026-07-03 00:00:00+07:00,56.0,57.0,55.0,56.0,3062200
2026-07-06 00:00:00+07:00,56.0,59.0,55.0,57.0,4718500
2026-07-07 00:00:00+07:00,57.0,63.0,56.0,59.0,23978900
2026-07-08 00:00:00+07:00,58.0,60.0,55.0,57.0,9650900
2026-07-09 00:00:00+07:00,56.0,66.0,56.0,58.0,85908200
2026-07-10 00:00:00+07:00,59.0,60.0,57.0,57.0,9810100
2026-07-13 00:00:00+07:00,59.0,60.0,57.0,58.0,11422000
2026-07-14 00:00:00+07:00,58.0,65.0,58.0,61.0,46650000
2026-07-15 00:00:00+07:00,61.0,62.0,59.0,60.0,11181400
2026-07-16 00:00:00+07:00,59.0,61.0,59.0,60.0,7009000
2026-07-17 00:00:00+07:00,61.0,61.0,59.0,60.0,5762500
2026-07-20 00:00:00+07:00,60.0,61.0,60.0,60.0,3941800
2026-07-21 00:00:00+07:00,61.0,61.0,59.0,60.0,4968000
2026-07-22 00:00:00+07:00,60.0,61.0,60.0,60.0,5816900
2026-07-23 00:00:00+07:00,61.0,63.0,60.0,61.0,16351900
2026-07-24 00:00:00+07:00,62.0,65.0,60.0,61.0,33318500
2026-07-27 00:00:00+07:00,61.0,61.0,57.0,58.0,9307400
2026-07-28 00:00:00+07:00,59.0,59.0,58.0,58.0,2824200
2026-07-29 00:00:00+07:00,59.0,59.0,58.0,58.0,3643600
2026-07-30 00:00:00+07:00,59.0,59.0,57.0,58.0,4446100
2026-07-31 00:00:00+07:00,56.0,58.0,55.0,57.0,26789900
2026-08-03 00:00:00+07:00,57.0,60.0,56.0,59.0,16988400
2026-08-04 00:00:00+07:00,60.0,62.0,58.0,59.0,25596100
2026-08-05 00:00:00+07:00,60.0,65.0,58.0,61.0,54285600
2026-08-06 00:00:00+07:00,60.0,62.0,59.0,61.0,14177500
2026-08-07 00:00:00+07:00,61.0,63.0,60.0,60.0,8445600
2026-08-10 00:00:00+07:00,61.0,62.0,60.0,60.0,6920800
2026-08-11 00:00:00+07:00,61.0,63.0,59.0,62.0,22338200
2026-08-12 00:00:00+07:00,63.0,64.0,61.0,61.0,7871700
2026-08-13 00:00:00+07:00,62.0,62.0,59.0,61.0,16716400
