Date,Open,High,Low,Close,Volume
2026-02-26 00:00:00+07:00,148.0,149.0,123.0,127.0,461224900
2026-02-27 00:00:00+07:00,125.0,138.0,114.0,124.0,360834900
2026-03-02 00:00:00+07:00,108.0,120.0,106.0,106.0,315821200
2026-03-03 00:00:00+07:00,106.0,112.0,96.0,103.0,182055000
2026-03-04 00:00:00+07:00,103.0,107.0,91.0,94.0,98690700
2026-03-05 00:00:00+07:00,98.0,107.0,97.0,99.0,151737100
2026-03-06 00:00:00+07:00,99.0,99.0,92.0,94.0,48273600
2026-03-09 00:00:00+07:00,90.0,93.0,82.0,88.0,90708900
2026-03-10 00:00:00+07:00,92.0,115.0,91.0,105.0,1118332100
2026-03-11 00:00:00+07:00,106.0,124.0,106.0,113.0,1138608200
2026-03-12 00:00:00+07:00,113.0,114.0,97.0,98.0,242953600
2026-03-13 00:00:00+07:00,98.0,107.0,92.0,94.0,208439200
2026-03-16 00:00:00+07:00,90.0,95.0,86.0,90.0,72396500
2026-03-17 00:00:00+07:00,87.0,98.0,87.0,89.0,112875900
2026-03-25 00:00:00+07:00,89.0,95.0,89.0,94.0,85747200
2026-03-26 00:00:00+07:00,100.0,108.0,94.0,97.0,319649000
2026-03-27 00:00:00+07:00,98.0,102.0,95.0,96.0,55339500
2026-03-30 00:00:00+07:00,96.0,97.0,91.0,95.0,41506200
2026-03-31 00:00:00+07:00,95.0,97.0,92.0,93.0,32036000
2026-04-01 00:00:00+07:00,96.0,98.0,94.0,97.0,86799500
2026-04-02 00:00:00+07:00,97.0,97.0,92.0,93.0,38874600
2026-04-06 00:00:00+07:00,84.0,96.0,84.0,91.0,82734100
2026-04-07 00:00:00+07:00,92.0,106.0,92.0,99.0,447507100
2026-04-08 00:00:00+07:00,103.0,114.0,100.0,114.0,501185400
2026-04-09 00:00:00+07:00,114.0,117.0,105.0,106.0,499298900
2026-04-10 00:00:00+07:00,107.0,111.0,104.0,105.0,181396500
2026-04-13 00:00:00+07:00,105.0,117.0,101.0,112.0,311922800
2026-04-14 00:00:00+07:00,115.0,120.0,110.0,114.0,372190200
2026-04-15 00:00:00+07:00,114.0,117.0,110.0,111.0,115580900
2026-04-16 00:00:00+07:00,115.0,121.0,112.0,117.0,323163100
2026-04-17 00:00:00+07:00,119.0,131.0,112.0,113.0,961392700
2026-04-20 00:00:00+07:00,113.0,116.0,105.0,107.0,145587800
2026-04-21 00:00:00+07:00,107.0,112.0,103.0,110.0,111421900
2026-04-22 00:00:00+07:00,110.0,121.0,108.0,115.0,375880300
2026-04-23 00:00:00+07:00,116.0,118.0,107.0,109.0,138722900
2026-04-24 00:00:00+07:00,109.0,109.0,97.0,98.0,105096700
2026-04-27 00:00:00+07:00,102.0,107.0,100.0,101.0,54182200
2026-04-28 00:00:00+07:00,101.0,111.0,99.0,107.0,162413000
2026-04-29 00:00:00+07:00,107.0,109.0,103.0,104.0,57818600
2026-04-30 00:00:00+07:00,104.0,108.0,98.0,103.0,97392500
2026-05-04 00:00:00+07:00,103.0,106.0,101.0,102.0,29452500
2026-05-05 00:00:00+07:00,102.0,104.0,100.0,102.0,22701700
2026-05-06 00:00:00+07:00,104.0,107.0,102.0,104.0,45906800
2026-05-07 00:00:00+07:00,106.0,108.0,102.0,103.0,60168600
2026-05-08 00:00:00+07:00,104.0,104.0,97.0,98.0,47223400
2026-05-11 00:00:00+07:00,98.0,99.0,93.0,95.0,31127700
2026-05-12 00:00:00+07:00,95.0,101.0,93.0,95.0,52802300
2026-05-13 00:00:00+07:00,95.0,99.0,92.0,95.0,37286000
2026-05-14 00:00:00+07:00,95.0,95.0,95.0,95.0,0
2026-05-15 00:00:00+07:00,95.0,95.0,95.0,95.0,0
2026-05-18 00:00:00+07:00,95.0,95.0,88.0,91.0,28811400
2026-05-19 00:00:00+07:00,92.0,98.0,85.0,89.0,56142400
2026-05-20 00:00:00+07:00,89.0,93.0,86.0,88.0,35705700
2026-05-21 00:00:00+07:00,90.0,91.0,75.0,76.0,36213900
2026-05-22 00:00:00+07:00,74.0,80.0,69.0,80.0,28297800
2026-05-25 00:00:00+07:00,84.0,84.0,78.0,79.0,27275200
2026-05-26 00:00:00+07:00,80.0,81.0,76.0,77.0,15764800
2026-05-27 00:00:00+07:00,77.0,77.0,77.0,77.0,0
2026-05-28 00:00:00+07:00,77.0,77.0,77.0,77.0,0
2026-05-29 00:00:00+07:00,77.0,81.0,76.0,79.0,22585600
2026-06-02 00:00:00+07:00,80.0,89.0,78.0,87.0,101853100
2026-06-03 00:00:00+07:00,86.0,87.0,74.0,77.0,48595300
2026-06-04 00:00:00+07:00,77.0,77.0,66.0,68.0,35473400
2026-06-05 00:00:00+07:00,69.0,69.0,58.0,61.0,37255400
2026-06-08 00:00:00+07:00,52.0,60.0,52.0,60.0,44755900
2026-06-09 00:00:00+07:00,57.0,66.0,57.0,64.0,72072300
